periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,02,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,146872,21960,4836,1,1,1
Q,U,S,02,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,142004,17666,3040,1,1,1
Q,U,S,02,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,517,290,3510,1,1,1
Q,U,S,02,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,162,72,1980,1,1,1
Q,U,S,02,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,12601,838,11160,1,1,1
Q,U,S,02,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,1719,132,10005,1,1,1
Q,U,S,02,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,1562,101,6636,1,1,1
Q,U,S,02,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,645,44,4485,1,1,1
Q,U,S,02,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,10916,2475,4722,1,1,1
Q,U,S,02,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,1952,436,3247,1,1,1
Q,U,S,02,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,6782,2872,3617,1,1,1
Q,U,S,02,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,2722,836,2324,1,1,1
Q,U,S,02,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,4498,459,4996,1,1,1
Q,U,S,02,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,1665,200,3189,1,1,1
Q,U,S,02,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,17939,2319,2933,1,1,1
Q,U,S,02,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,16750,2121,2051,1,1,1
Q,U,S,02,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,13156,1288,5693,1,1,1
Q,U,S,02,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,4674,409,3405,1,1,1
Q,U,S,02,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,3715,270,5118,1,1,1
Q,U,S,02,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,2631,214,4184,1,1,1
Q,U,S,02,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,2540,234,7925,1,1,1
Q,U,S,02,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,6206,421,4297,1,1,1
Q,U,S,02,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,2757,410,3489,1,1,1
Q,U,S,02,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,2070,286,2784,1,1,1
Q,U,S,02,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,7809,1168,6234,1,1,1
Q,U,S,02,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,6541,1079,3764,1,1,1
Q,U,S,02,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,829,129,6667,1,1,1
Q,U,S,02,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,654,109,4355,1,1,1
Q,U,S,02,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,6550,1312,3726,1,1,1
Q,U,S,02,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,4117,1062,2641,1,1,1
Q,U,S,02,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,10462,1074,3604,1,1,1
Q,U,S,02,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,21665,1339,2949,1,1,1
Q,U,S,02,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,10035,1177,4310,1,1,1
Q,U,S,02,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,31924,3464,3195,1,1,1
Q,U,S,02,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,1543,500,1579,1,1,1
Q,U,S,02,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,2169,456,1174,1,1,1
Q,U,S,02,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,11854,3098,1887,1,1,1
Q,U,S,02,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,12483,2997,1506,1,1,1
Q,U,S,02,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,4051,772,3304,1,1,1
Q,U,S,02,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,5342,968,2242,1,1,1
Q,U,S,02,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,16759,1170,4627,1,1,1
Q,U,S,02,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,15913,1022,3655,1,1,9
Q,U,S,02,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,177926,40456,5210,1,1,1
Q,U,S,02,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,154464,31212,3173,1,1,1
Q,U,S,02,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,1142,753,4444,1,1,1
Q,U,S,02,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,416,268,2711,1,1,1
Q,U,S,02,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,14190,1372,9860,1,1,1
Q,U,S,02,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,1989,233,8022,1,1,1
Q,U,S,02,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,1727,156,7582,1,1,1
Q,U,S,02,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,696,44,4740,1,1,1
Q,U,S,02,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,16518,6747,6900,1,1,1
Q,U,S,02,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,2821,1021,4313,1,1,1
Q,U,S,02,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,14046,5784,4136,1,1,1
Q,U,S,02,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,5314,3450,2901,1,1,1
Q,U,S,02,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,5603,874,4922,1,1,1
Q,U,S,02,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,2094,427,3360,1,1,1
Q,U,S,02,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,20021,4106,3159,1,1,1
Q,U,S,02,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,18985,4454,2274,1,1,1
Q,U,S,02,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,16814,2024,5768,1,1,1
Q,U,S,02,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,6776,875,3232,1,1,1
Q,U,S,02,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,3910,330,5515,1,1,1
Q,U,S,02,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,2699,294,4179,1,1,1
Q,U,S,02,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,2704,366,6686,1,1,1
Q,U,S,02,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,6507,619,4190,1,1,1
Q,U,S,02,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,3301,960,3942,1,1,1
Q,U,S,02,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,2408,535,3065,1,1,1
Q,U,S,02,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,8994,1621,7182,1,1,1
Q,U,S,02,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,7035,1151,4337,1,1,1
Q,U,S,02,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,1051,172,6369,1,1,1
Q,U,S,02,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,775,120,4244,1,1,1
Q,U,S,02,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,8036,2428,4327,1,1,1
Q,U,S,02,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,4872,1457,2886,1,1,1
Q,U,S,02,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,7387,1064,3020,1,1,1
Q,U,S,02,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,14453,1721,2105,1,1,1
Q,U,S,02,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,10760,1609,4899,1,1,1
Q,U,S,02,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,33520,4561,3597,1,1,1
Q,U,S,02,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,2786,1007,2208,1,1,1
Q,U,S,02,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,3273,965,1571,1,1,1
Q,U,S,02,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,16438,5867,2312,1,1,1
Q,U,S,02,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,17329,6050,1894,1,1,1
Q,U,S,02,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,4443,1116,3709,1,1,1
Q,U,S,02,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,5724,1263,2440,1,1,1
Q,U,S,02,S,92,A00,1,A00,A0,A0,E0,0,0,2011,3,18057,2100,5068,1,1,1
Q,U,S,02,S,92,A00,2,A00,A0,A0,E0,0,0,2011,3,16778,1707,3888,1,1,1
Q,U,S,02,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,150612,24592,5154,1,1,1
Q,U,S,02,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,142797,18543,3242,1,1,1
Q,U,S,02,S,11,A00,1,A00,A0,A0,E0,0,0,2012,1,512,180,3775,1,1,1
Q,U,S,02,S,11,A00,2,A00,A0,A0,E0,0,0,2012,1,159,38,2336,1,1,1
Q,U,S,02,S,21,A00,1,A00,A0,A0,E0,0,0,2012,1,13234,1429,11807,1,1,1
Q,U,S,02,S,21,A00,2,A00,A0,A0,E0,0,0,2012,1,1875,208,10975,1,1,1
Q,U,S,02,S,22,A00,1,A00,A0,A0,E0,0,0,2012,1,1489,104,7322,1,1,1
Q,U,S,02,S,22,A00,2,A00,A0,A0,E0,0,0,2012,1,636,50,4826,1,1,1
Q,U,S,02,S,23,A00,1,A00,A0,A0,E0,0,0,2012,1,11572,2970,5129,1,1,1
Q,U,S,02,S,23,A00,2,A00,A0,A0,E0,0,0,2012,1,1995,469,3506,1,1,1
Q,U,S,02,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,1,7723,2841,4058,1,1,1
Q,U,S,02,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,1,2918,1039,2637,1,1,1
Q,U,S,02,S,42,A00,1,A00,A0,A0,E0,0,0,2012,1,4469,391,5038,1,1,1
Q,U,S,02,S,42,A00,2,A00,A0,A0,E0,0,0,2012,1,1645,192,3279,1,1,1
Q,U,S,02,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,1,18059,2422,3068,1,1,1
Q,U,S,02,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,1,16937,2278,2136,1,1,1
Q,U,S,02,S,48-49,A00,1,A00,A0,A0,E0,0,0,2012,1,13504,1394,5829,1,1,1
Q,U,S,02,S,48-49,A00,2,A00,A0,A0,E0,0,0,2012,1,4840,429,3427,1,1,1
Q,U,S,02,S,51,A00,1,A00,A0,A0,E0,0,0,2012,1,3642,259,5706,1,1,1
Q,U,S,02,S,51,A00,2,A00,A0,A0,E0,0,0,2012,1,2614,233,4423,1,1,1
Q,U,S,02,S,52,A00,1,A00,A0,A0,E0,0,0,2012,1,2493,260,8753,1,1,1
Q,U,S,02,S,52,A00,2,A00,A0,A0,E0,0,0,2012,1,5957,529,4651,1,1,1
Q,U,S,02,S,53,A00,1,A00,A0,A0,E0,0,0,2012,1,2741,453,3888,1,1,1
