periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,01,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,858937,112119,3919,1,1,1
Q,U,S,01,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,864207,95631,2546,1,1,1
Q,U,S,01,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,8757,1267,2851,1,1,1
Q,U,S,01,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2260,354,2036,1,1,1
Q,U,S,01,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,6920,435,5914,1,1,1
Q,U,S,01,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,696,35,4451,1,1,1
Q,U,S,01,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,15334,620,7219,1,1,1
Q,U,S,01,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,5259,227,5480,1,1,1
Q,U,S,01,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,65403,13193,3484,1,1,1
Q,U,S,01,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,11580,1755,2604,1,1,1
Q,U,S,01,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,172683,12817,4461,1,1,1
Q,U,S,01,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,65567,4503,3021,1,1,1
Q,U,S,01,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,51165,3899,4704,1,1,1
Q,U,S,01,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,19561,1583,3330,1,1,1
Q,U,S,01,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,102259,13464,2626,1,1,1
Q,U,S,01,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,121408,14750,1742,1,1,1
Q,U,S,01,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,39785,4986,3413,1,1,1
