periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,04,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1170175,172443,4520,1,1,1
Q,U,S,04,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1131896,138357,2981,1,1,1
Q,U,S,04,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,22856,5790,2274,1,1,1
Q,U,S,04,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,10149,2434,1830,1,1,1
Q,U,S,04,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,10359,706,7540,1,1,1
Q,U,S,04,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,3543,269,6539,1,1,1
Q,U,S,04,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,16015,321,7566,1,1,1
Q,U,S,04,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,5933,157,5283,1,1,1
Q,U,S,04,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,90963,18520,3804,1,1,1
Q,U,S,04,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,20325,3025,2952,1,1,1
Q,U,S,04,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,110381,7969,7042,1,1,1
Q,U,S,04,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,43841,2830,4763,1,1,1
Q,U,S,04,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,66103,6406,6160,1,1,1
Q,U,S,04,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,29925,3269,4400,1,1,1
Q,U,S,04,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,143712,18880,3081,1,1,1
Q,U,S,04,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,137876,14731,2088,1,1,1
Q,U,S,04,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,51220,5669,4307,1,1,1
Q,U,S,04,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,22679,1778,3142,1,1,1
Q,U,S,04,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,23576,1861,5336,1,1,1
Q,U,S,04,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,14933,1263,4083,1,1,1
Q,U,S,04,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,47687,4922,8039,1,1,1
Q,U,S,04,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,73481,5812,4854,1,1,1
Q,U,S,04,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,24330,3139,4360,1,1,1
Q,U,S,04,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,20956,2677,3001,1,1,1
Q,U,S,04,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,64949,9832,6904,1,1,1
Q,U,S,04,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,57683,8662,3824,1,1,1
Q,U,S,04,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,11207,1049,6433,1,1,1
Q,U,S,04,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,13147,997,4125,1,1,1
Q,U,S,04,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,110689,33857,3239,1,1,1
Q,U,S,04,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,84029,23005,2473,1,1,1
Q,U,S,04,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,72685,5706,3307,1,1,1
Q,U,S,04,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,145846,8447,2698,1,1,1
Q,U,S,04,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,74024,7671,5428,1,1,1
Q,U,S,04,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,224910,22752,3128,1,1,1
Q,U,S,04,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,26387,4160,3109,1,1,1
Q,U,S,04,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,21243,2889,1879,1,1,1
Q,U,S,04,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,107507,27253,1774,1,1,1
Q,U,S,04,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,111608,25867,1473,1,1,1
Q,U,S,04,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,33401,6428,3055,1,1,1
Q,U,S,04,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,33929,5402,2131,1,1,1
Q,U,S,04,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,62125,2305,4016,1,1,1
