periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,06,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,7076266,889117,5493,1,1,1
Q,U,S,06,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,6874091,771904,3590,1,1,1
Q,U,S,06,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,195968,74804,2117,1,1,1
Q,U,S,06,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,108997,48948,1575,1,1,1
Q,U,S,06,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,21020,1377,11596,1,1,1
Q,U,S,06,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,3940,225,10466,1,1,1
Q,U,S,06,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,74757,1914,9322,1,1,1
Q,U,S,06,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,30077,876,7476,1,1,1
Q,U,S,06,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,428856,76271,4589,1,1,1
Q,U,S,06,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,107931,18108,3216,1,1,1
Q,U,S,06,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,811256,50154,7218,1,1,1
Q,U,S,06,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,402987,26984,4769,1,1,1
Q,U,S,06,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,405475,34665,6170,1,1,1
Q,U,S,06,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,226948,21506,4311,1,1,1
Q,U,S,06,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,754485,74214,3104,1,1,1
Q,U,S,06,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,713183,61270,2094,1,1,1
Q,U,S,06,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,305124,24553,4182,1,1,1
Q,U,S,06,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,130596,8911,3246,1,1,1
Q,U,S,06,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,315169,53457,7820,1,1,1
Q,U,S,06,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,186103,31046,5769,1,1,1
Q,U,S,06,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,206413,49937,15165,1,1,1
Q,U,S,06,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,306780,67058,6154,1,1,1
Q,U,S,06,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,129407,12722,5112,1,1,1
Q,U,S,06,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,112777,11084,3439,1,1,1
Q,U,S,06,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,554959,79409,9473,1,1,1
Q,U,S,06,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,456075,66748,5445,1,1,1
Q,U,S,06,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,103161,5938,9076,1,1,1
Q,U,S,06,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,114726,6036,5275,1,1,1
Q,U,S,06,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,492505,123342,3446,1,1,1
Q,U,S,06,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,345632,87976,2709,1,1,1
Q,U,S,06,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,435104,31278,4658,1,1,1
Q,U,S,06,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,886444,49101,3854,1,1,1
Q,U,S,06,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,431684,35874,5611,1,1,1
Q,U,S,06,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,1182893,90803,3838,1,1,1
Q,U,S,06,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,156513,20097,3931,1,1,1
Q,U,S,06,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,134232,16815,2333,1,1,1
Q,U,S,06,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,611011,93556,1869,1,1,1
Q,U,S,06,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,629376,93971,1558,1,1,1
Q,U,S,06,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,307283,37725,2617,1,1,1
Q,U,S,06,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,471445,57249,1592,1,1,1
Q,U,S,06,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,336115,7828,5938,1,1,1
