periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,09,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,743597,70729,7545,1,1,1
Q,U,S,09,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,803383,63796,3999,1,1,1
Q,U,S,09,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,1999,282,2799,1,1,1
Q,U,S,09,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,1260,171,1898,1,1,1
Q,U,S,09,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,389,30,4383,1,9,1
Q,U,S,09,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,75,4,2803,1,1,1
Q,U,S,09,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,6675,133,9314,1,1,1
Q,U,S,09,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1751,85,5989,1,9,1
Q,U,S,09,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,39220,6256,4817,1,1,1
Q,U,S,09,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,8883,1132,3218,1,1,1
Q,U,S,09,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,119162,4961,7579,1,1,1
Q,U,S,09,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,49386,2082,5405,1,1,1
Q,U,S,09,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,43317,3194,7781,1,1,1
Q,U,S,09,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,18841,1364,5361,1,1,1
Q,U,S,09,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,89579,8583,3409,1,1,1
Q,U,S,09,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,86630,6874,1890,1,1,1
Q,U,S,09,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,25818,2429,4182,1,1,1
Q,U,S,09,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,12816,768,2580,1,1,1
Q,U,S,09,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,21177,1297,8227,1,1,1
Q,U,S,09,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,14891,848,5306,1,1,1
Q,U,S,09,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,52021,3049,28570,1,1,1
Q,U,S,09,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,64747,2692,9270,1,1,1
Q,U,S,09,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,10469,1138,6577,1,1,1
Q,U,S,09,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,8299,643,3965,1,1,1
Q,U,S,09,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,43745,4176,9849,1,1,1
Q,U,S,09,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,40793,4147,5337,1,1,1
Q,U,S,09,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,14357,855,21620,1,1,1
Q,U,S,09,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,15128,772,7702,1,1,1
Q,U,S,09,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,43909,12689,3858,1,1,1
Q,U,S,09,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,31515,7644,2938,1,1,1
Q,U,S,09,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,56857,3242,5031,1,1,1
Q,U,S,09,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,114002,5376,3861,1,1,1
Q,U,S,09,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,53821,3824,5429,1,1,1
Q,U,S,09,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,201611,13703,3398,1,1,1
Q,U,S,09,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,20121,1734,3031,1,1,1
Q,U,S,09,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,19667,1710,2008,1,1,1
Q,U,S,09,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,47555,8646,1800,1,1,1
Q,U,S,09,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,57533,9208,1307,1,1,1
Q,U,S,09,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,23808,2969,3150,1,1,1
Q,U,S,09,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,30918,3505,2020,1,1,1
Q,U,S,09,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,29597,1242,6465,1,1,1
Q,U,S,09,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,24638,1066,5318,1,1,1
Q,U,S,09,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,779635,99304,6205,1,1,1
Q,U,S,09,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,805363,97451,3739,1,1,1
Q,U,S,09,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,3686,1377,3171,1,1,1
Q,U,S,09,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,2125,823,2280,1,1,1
Q,U,S,09,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,476,31,4749,1,1,1
Q,U,S,09,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,87,6,3217,1,1,1
Q,U,S,09,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,6751,185,8098,1,1,1
Q,U,S,09,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,1834,93,5251,1,1,1
