periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,13,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1736662,237291,4907,1,1,1
Q,U,S,13,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1822843,209730,2947,1,1,1
Q,U,S,13,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,14858,2771,2699,1,1,1
Q,U,S,13,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,5543,1347,1790,1,1,1
Q,U,S,13,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,4132,139,4900,1,1,1
Q,U,S,13,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,504,31,3950,1,1,9
Q,U,S,13,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,14428,601,8431,1,1,1
Q,U,S,13,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4800,325,6149,1,9,1
Q,U,S,13,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,113501,21473,3915,1,1,1
Q,U,S,13,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,24820,4321,2793,1,1,1
Q,U,S,13,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,234573,19048,5017,1,1,1
Q,U,S,13,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,108706,8115,3473,1,1,1
Q,U,S,13,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,132912,10573,6712,1,1,1
Q,U,S,13,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,61955,5406,4533,1,1,1
Q,U,S,13,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,202864,26594,2854,1,1,1
Q,U,S,13,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,221531,25883,1761,1,1,1
Q,U,S,13,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,117112,14375,4929,1,1,1
Q,U,S,13,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,51682,5145,3405,1,1,1
Q,U,S,13,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,59735,4632,8979,1,1,1
Q,U,S,13,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,46229,3322,6111,1,1,1
Q,U,S,13,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,55547,4213,12804,1,1,1
Q,U,S,13,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,96589,6025,4705,1,1,1
Q,U,S,13,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,28684,3192,4905,1,1,1
Q,U,S,13,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,24912,2926,3238,1,1,1
Q,U,S,13,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,113331,18011,7694,1,1,1
Q,U,S,13,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,105836,16268,4329,1,1,1
Q,U,S,13,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,28154,2187,10467,1,1,1
Q,U,S,13,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,29069,2083,5123,1,1,1
Q,U,S,13,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,135607,47329,3394,1,1,1
Q,U,S,13,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,110276,32443,2482,1,1,1
Q,U,S,13,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,100012,5563,3863,1,1,1
Q,U,S,13,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,262630,10123,2902,1,1,1
Q,U,S,13,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,79533,7633,5647,1,1,1
Q,U,S,13,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,360844,32636,2813,1,1,1
Q,U,S,13,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,18768,3376,2939,1,1,1
Q,U,S,13,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,16459,3098,1457,1,1,1
Q,U,S,13,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,140174,33927,1776,1,1,1
Q,U,S,13,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,178879,40987,1258,1,1,1
Q,U,S,13,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,46775,7725,2970,1,1,1
Q,U,S,13,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,42709,6351,2011,1,1,1
Q,U,S,13,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,95963,3927,3058,1,1,1
Q,U,S,13,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,68870,2895,2682,1,1,1
Q,U,S,13,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1809277,286895,4648,1,1,1
Q,U,S,13,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1843427,273418,3008,1,1,1
Q,U,S,13,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,17179,3763,2838,1,1,1
Q,U,S,13,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,7147,2054,1797,1,1,1
Q,U,S,13,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,3970,210,4244,1,1,1
Q,U,S,13,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,496,31,3493,1,1,1
Q,U,S,13,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,14277,319,6544,1,1,1
Q,U,S,13,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,4906,148,4734,1,1,1
Q,U,S,13,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,121564,25101,4171,1,1,1
Q,U,S,13,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,26193,4380,3057,1,1,1
Q,U,S,13,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,241663,20334,4922,1,1,1
Q,U,S,13,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,109997,9004,3460,1,1,1
Q,U,S,13,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,135612,12132,6232,1,1,1
Q,U,S,13,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,63217,6494,4291,1,1,1
Q,U,S,13,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,208958,34126,2939,1,1,1
Q,U,S,13,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,222093,39138,1896,1,1,1
Q,U,S,13,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,120750,13797,4526,1,1,1
Q,U,S,13,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,52426,4674,3251,1,1,1
Q,U,S,13,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,58517,5995,7174,1,1,1
Q,U,S,13,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,45057,4591,5086,1,1,1
Q,U,S,13,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,55874,4849,8466,1,1,1
Q,U,S,13,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,94405,7032,4188,1,1,1
Q,U,S,13,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,29106,4647,4657,1,1,1
Q,U,S,13,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,25447,3762,3359,1,1,1
Q,U,S,13,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,117669,18023,7603,1,1,1
Q,U,S,13,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,106693,17995,4499,1,1,1
Q,U,S,13,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,29026,2394,7200,1,1,1
Q,U,S,13,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,29521,2493,4316,1,1,1
Q,U,S,13,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,153014,61568,3436,1,1,1
Q,U,S,13,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,117885,43198,2665,1,1,1
Q,U,S,13,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,95600,9843,4061,1,1,1
Q,U,S,13,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,245474,19492,3035,1,1,1
Q,U,S,13,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,81576,10009,6552,1,1,1
Q,U,S,13,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,360868,42024,3148,1,1,1
Q,U,S,13,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,24508,4765,3488,1,1,1
Q,U,S,13,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,21349,4185,1750,1,1,1
Q,U,S,13,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,150964,42201,1774,1,1,1
Q,U,S,13,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,191358,51750,1357,1,1,1
Q,U,S,13,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,50632,8475,3251,1,1,1
Q,U,S,13,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,48440,7655,2154,1,1,1
Q,U,S,13,S,92,A00,1,A00,A0,A0,E0,0,0,2011,3,98818,4345,3318,1,1,1
Q,U,S,13,S,92,A00,2,A00,A0,A0,E0,0,0,2011,3,70455,3319,2899,1,1,1
Q,U,S,13,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,1783725,251570,5170,1,1,1
Q,U,S,13,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,1862007,232581,3110,1,1,1
Q,U,S,13,S,11,A00,1,A00,A0,A0,E0,0,0,2012,1,14645,3389,2890,1,1,1
Q,U,S,13,S,11,A00,2,A00,A0,A0,E0,0,0,2012,1,5619,1528,1869,1,1,1
Q,U,S,13,S,21,A00,1,A00,A0,A0,E0,0,0,2012,1,3789,207,5066,1,1,1
Q,U,S,13,S,21,A00,2,A00,A0,A0,E0,0,0,2012,1,461,29,4226,1,1,9
