periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,15,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,246791,30361,3909,1,1,1
Q,U,S,15,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,236299,25199,2789,1,1,1
Q,U,S,15,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,4139,329,3161,1,1,1
Q,U,S,15,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2426,176,2338,1,1,1
Q,U,S,15,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,222,5,6032,9,1,9
Q,U,S,15,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,35,,4579,9,5,9
Q,U,S,15,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,3992,112,7319,1,1,1
Q,U,S,15,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1458,68,5764,1,1,1
Q,U,S,15,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,24225,3006,4854,1,1,1
Q,U,S,15,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,4539,481,3498,1,1,1
Q,U,S,15,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,8431,824,4099,1,1,1
Q,U,S,15,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,5130,376,2287,1,1,1
Q,U,S,15,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,11297,824,4376,1,1,1
Q,U,S,15,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,6112,407,3223,1,1,1
Q,U,S,15,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,28875,2911,2885,1,1,1
Q,U,S,15,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,37821,3537,2117,1,1,1
Q,U,S,15,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,16830,1356,4080,1,1,1
Q,U,S,15,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,8629,597,2892,1,1,1
Q,U,S,15,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,6227,1845,5473,1,1,1
Q,U,S,15,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,3976,1117,4112,1,1,1
Q,U,S,15,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,4720,276,8345,1,1,1
Q,U,S,15,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,10494,515,4415,1,1,1
Q,U,S,15,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,5943,568,3817,1,1,1
