periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,19,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,687963,77329,4020,1,1,1
Q,U,S,19,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,709694,69147,2574,1,1,1
Q,U,S,19,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,10952,1707,3566,1,1,1
Q,U,S,19,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,4007,701,2703,1,1,1
Q,U,S,19,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,1678,83,3488,1,1,9
Q,U,S,19,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,203,14,2721,9,1,9
Q,U,S,19,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,6123,98,6549,1,1,1
Q,U,S,19,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1946,48,4649,1,1,1
Q,U,S,19,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,47201,5921,3415,1,1,1
Q,U,S,19,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,6675,730,2505,1,1,1
Q,U,S,19,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,147928,10765,4511,1,1,1
Q,U,S,19,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,57251,3494,3224,1,1,1
Q,U,S,19,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,49012,3413,4888,1,1,1
Q,U,S,19,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,16572,1237,3561,1,1,1
Q,U,S,19,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,81010,8519,2507,1,1,1
Q,U,S,19,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,89647,9299,1519,1,1,1
Q,U,S,19,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,42104,6452,3233,1,1,1
Q,U,S,19,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,11722,1091,2398,1,1,1
Q,U,S,19,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,14265,1270,4545,1,1,1
Q,U,S,19,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,14043,1169,3230,1,1,1
Q,U,S,19,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,31118,1684,8464,1,1,1
Q,U,S,19,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,55311,2980,4210,1,1,1
Q,U,S,19,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,6517,665,4189,1,1,1
Q,U,S,19,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,6077,530,2865,1,1,1
Q,U,S,19,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,19701,2153,5639,1,1,1
Q,U,S,19,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,22236,2629,3098,1,1,1
Q,U,S,19,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,7523,562,5976,1,1,1
Q,U,S,19,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,7733,533,3176,1,1,1
Q,U,S,19,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,36763,13917,2487,1,1,1
Q,U,S,19,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,28685,8518,2010,1,1,1
Q,U,S,19,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,45473,2765,3866,1,1,1
Q,U,S,19,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,101501,5383,2801,1,1,1
Q,U,S,19,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,35756,3010,5409,1,1,1
Q,U,S,19,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,168425,13414,2622,1,1,1
Q,U,S,19,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,8143,1098,2021,1,1,1
Q,U,S,19,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,9287,1114,1355,1,1,1
Q,U,S,19,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,42769,9533,1243,1,1,1
Q,U,S,19,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,59286,12231,992,1,1,1
Q,U,S,19,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,19163,2559,2948,1,1,1
Q,U,S,19,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,21808,2955,1584,1,1,1
Q,U,S,19,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,34765,1154,3849,1,1,1
Q,U,S,19,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,27280,1077,2965,1,1,1
