periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,16,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,288779,33269,3559,1,1,1
Q,U,S,16,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,282654,29378,2203,1,1,1
Q,U,S,16,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,12579,1724,2480,1,1,1
Q,U,S,16,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,4895,761,1818,1,1,1
Q,U,S,16,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,1906,170,5757,1,1,1
Q,U,S,16,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,273,25,4188,1,1,1
Q,U,S,16,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,2460,92,6089,1,1,1
Q,U,S,16,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,745,36,4245,1,1,1
Q,U,S,16,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,22863,3424,2862,1,1,1
Q,U,S,16,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,4412,607,2059,1,1,1
Q,U,S,16,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,39209,2761,4544,1,1,1
Q,U,S,16,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,14926,929,3094,1,1,1
Q,U,S,16,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,17759,1519,4403,1,1,1
Q,U,S,16,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,7311,695,2581,1,1,1
Q,U,S,16,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,36417,3530,2679,1,1,1
Q,U,S,16,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,37384,3240,1635,1,1,1
Q,U,S,16,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,13322,1682,3025,1,1,1
Q,U,S,16,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,4077,390,2046,1,1,1
Q,U,S,16,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,5371,517,3821,1,1,1
Q,U,S,16,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,4586,413,2472,1,1,1
Q,U,S,16,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,6342,461,6597,1,1,1
Q,U,S,16,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,14107,950,3199,1,1,1
Q,U,S,16,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,3291,363,2530,1,1,1
Q,U,S,16,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,3207,381,1870,1,1,1
Q,U,S,16,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,17238,1860,5298,1,1,1
Q,U,S,16,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,13198,1931,2959,1,1,1
Q,U,S,16,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,3299,179,8047,1,1,1
Q,U,S,16,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,2963,150,3672,1,1,1
Q,U,S,16,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,19857,5143,2594,1,1,1
Q,U,S,16,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,15942,3159,1934,1,1,1
Q,U,S,16,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,17714,1419,3159,1,1,1
Q,U,S,16,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,37946,2205,2161,1,1,1
Q,U,S,16,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,17737,1992,4844,1,1,1
Q,U,S,16,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,63359,6630,2412,1,1,1
Q,U,S,16,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,4448,696,1792,1,1,1
Q,U,S,16,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,4696,644,1264,1,1,1
Q,U,S,16,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,20242,3904,1271,1,1,1
Q,U,S,16,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,26161,4577,1017,1,1,1
