periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,17,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,2634255,279100,5489,1,1,1
Q,U,S,17,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,2706630,242698,3241,1,1,1
Q,U,S,17,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,9213,1086,3025,1,1,1
Q,U,S,17,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,3615,523,2019,1,1,1
Q,U,S,17,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,7851,685,5222,1,1,1
Q,U,S,17,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,840,70,3529,1,1,1
Q,U,S,17,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,20901,586,9075,1,1,1
Q,U,S,17,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,5787,173,6622,1,1,1
Q,U,S,17,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,145295,24849,4768,1,1,1
Q,U,S,17,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,27316,3657,3090,1,1,1
Q,U,S,17,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,393486,22444,5792,1,1,1
Q,U,S,17,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,172000,9344,3936,1,1,1
Q,U,S,17,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,189098,12335,6558,1,1,1
Q,U,S,17,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,93623,6383,4423,1,1,1
Q,U,S,17,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,282617,27064,2846,1,1,1
Q,U,S,17,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,313912,25348,1810,1,1,1
Q,U,S,17,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,155786,14787,4068,1,1,1
Q,U,S,17,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,66451,4647,2991,1,1,1
Q,U,S,17,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,62328,4207,6904,1,1,1
Q,U,S,17,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,51083,3922,4693,1,1,1
Q,U,S,17,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,118546,8677,16650,1,1,1
Q,U,S,17,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,165026,8714,5849,1,1,1
Q,U,S,17,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,38335,3508,5604,1,1,1
Q,U,S,17,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,29984,2774,3415,1,1,1
Q,U,S,17,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,181718,19970,8503,1,1,1
Q,U,S,17,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,158792,17718,4856,1,1,1
Q,U,S,17,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,51064,2325,12830,1,1,1
Q,U,S,17,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,50050,2133,6712,1,1,1
Q,U,S,17,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,201000,60335,3276,1,1,1
Q,U,S,17,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,154370,40086,2479,1,1,1
Q,U,S,17,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,165290,10922,4363,1,1,1
Q,U,S,17,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,372441,18010,3449,1,1,1
