periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,20,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,623156,75618,4097,1,1,1
Q,U,S,20,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,631772,66660,2518,1,1,1
Q,U,S,20,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,7032,921,3052,1,1,1
Q,U,S,20,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2448,349,2132,1,1,1
Q,U,S,20,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,7184,1069,4536,1,1,1
Q,U,S,20,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,1294,145,3032,1,1,1
Q,U,S,20,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,7830,213,7405,1,1,1
Q,U,S,20,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,2318,66,5122,1,1,1
Q,U,S,20,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,41053,7076,3396,1,1,1
Q,U,S,20,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,7468,1020,2300,1,1,1
Q,U,S,20,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,118559,7498,4697,1,1,1
Q,U,S,20,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,43646,2413,3367,1,1,1
Q,U,S,20,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,41874,3611,5228,1,1,1
Q,U,S,20,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,16404,1416,3565,1,1,1
Q,U,S,20,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,67470,8419,2526,1,1,1
Q,U,S,20,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,70327,8196,1558,1,1,1
Q,U,S,20,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,29516,4156,3409,1,1,1
Q,U,S,20,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,10220,840,2213,1,1,1
Q,U,S,20,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,16884,923,6974,1,1,1
Q,U,S,20,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,14653,778,4787,1,1,1
Q,U,S,20,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,19853,1481,8607,1,1,1
