periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,21,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,825463,106127,4015,1,1,1
Q,U,S,21,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,839492,89579,2596,1,1,1
Q,U,S,21,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,4535,667,2699,1,1,1
Q,U,S,21,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2059,359,2196,1,1,1
Q,U,S,21,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,20977,2289,5782,1,1,1
Q,U,S,21,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,1053,110,3706,1,1,1
Q,U,S,21,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,9126,192,5441,1,1,1
Q,U,S,21,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,2524,68,3891,1,1,1
Q,U,S,21,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,51357,9786,3424,1,1,1
Q,U,S,21,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,7564,979,2507,1,1,1
Q,U,S,21,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,156745,10137,4651,1,1,1
Q,U,S,21,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,57938,3078,3312,1,1,1
Q,U,S,21,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,49429,4089,4795,1,1,1
Q,U,S,21,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,20570,1672,3474,1,1,1
Q,U,S,21,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,92893,12025,2574,1,1,1
Q,U,S,21,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,110280,12656,1746,1,1,1
Q,U,S,21,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,60060,5788,4460,1,1,1
Q,U,S,21,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,21902,1334,2735,1,1,1
Q,U,S,21,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,15812,1254,4074,1,1,1
Q,U,S,21,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,14583,1120,2804,1,1,1
Q,U,S,21,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,20787,1380,7951,1,1,1
Q,U,S,21,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,43592,2368,3705,1,1,1
Q,U,S,21,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,10249,1187,3646,1,1,1
Q,U,S,21,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,8147,980,2472,1,1,1
Q,U,S,21,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,33313,4538,5494,1,1,1
Q,U,S,21,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,34848,4814,3236,1,1,1
Q,U,S,21,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,10069,814,8468,1,1,1
Q,U,S,21,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,10488,863,4203,1,1,1
Q,U,S,21,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,53375,22342,2329,1,1,1
Q,U,S,21,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,35017,12205,1963,1,1,1
