periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,25,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1472339,152075,6944,1,1,1
Q,U,S,25,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1554382,135736,3859,1,1,1
Q,U,S,25,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,3275,604,4516,1,1,1
Q,U,S,25,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,1872,236,3001,1,1,1
Q,U,S,25,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,699,69,3980,1,9,1
Q,U,S,25,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,122,9,3426,1,1,1
Q,U,S,25,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,9613,286,8327,1,1,1
Q,U,S,25,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,3537,180,5601,1,1,1
Q,U,S,25,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,86644,12738,5014,1,1,1
Q,U,S,25,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,19865,1983,3547,1,1,1
Q,U,S,25,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,176188,9110,7553,1,1,1
Q,U,S,25,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,77987,3982,4896,1,1,1
Q,U,S,25,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,83074,6570,7558,1,1,1
Q,U,S,25,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,38086,3039,5284,1,1,1
Q,U,S,25,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,170312,16467,2925,1,1,1
Q,U,S,25,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,166847,13652,1817,1,1,1
Q,U,S,25,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,52805,4966,3946,1,1,1
Q,U,S,25,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,22341,1618,2675,1,1,1
Q,U,S,25,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,53924,4135,9890,1,1,1
Q,U,S,25,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,35730,2467,6362,1,1,1
Q,U,S,25,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,74889,4636,19922,1,1,1
Q,U,S,25,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,94761,4404,7483,1,1,1
Q,U,S,25,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,22705,2009,6173,1,1,1
Q,U,S,25,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,15577,1318,4005,1,1,1
Q,U,S,25,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,137815,13164,15367,1,1,1
Q,U,S,25,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,111504,10799,7495,1,1,1
Q,U,S,25,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,28418,2043,10235,1,1,1
Q,U,S,25,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,33406,1955,5563,1,1,1
Q,U,S,25,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,91142,26640,3581,1,1,1
Q,U,S,25,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,59001,14724,2771,1,1,1
Q,U,S,25,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,125636,8644,4890,1,1,1
Q,U,S,25,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,189815,12256,3623,1,1,1
Q,U,S,25,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,119459,7786,5664,1,1,1
Q,U,S,25,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,392916,24972,3657,1,1,1
Q,U,S,25,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,22747,3335,3465,1,1,1
Q,U,S,25,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,24228,3247,1710,1,1,1
Q,U,S,25,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,112462,19520,1870,1,1,1
Q,U,S,25,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,132175,20789,1351,1,1,1
Q,U,S,25,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,52945,7194,2977,1,1,1
Q,U,S,25,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,78593,11573,1831,1,1,1
Q,U,S,25,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,47588,2161,4755,1,1,1
Q,U,S,25,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,56020,2535,3782,1,1,1
Q,U,S,25,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1563284,221775,6067,1,1,1
Q,U,S,25,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1580972,214200,3776,1,1,1
Q,U,S,25,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,4918,1630,5428,1,1,1
Q,U,S,25,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,3138,867,2651,1,1,1
Q,U,S,25,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,850,56,4900,1,1,1
Q,U,S,25,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,141,7,3623,1,1,1
Q,U,S,25,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,9706,285,8009,1,1,1
Q,U,S,25,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,3394,134,5461,1,1,1
Q,U,S,25,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,105992,22089,5601,1,1,1
Q,U,S,25,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,21463,2851,3607,1,1,1
Q,U,S,25,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,180114,10409,6863,1,1,1
Q,U,S,25,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,79659,5023,4811,1,1,1
Q,U,S,25,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,86046,7129,7374,1,1,1
Q,U,S,25,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,38728,3320,5180,1,1,1
Q,U,S,25,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,175975,27034,3151,1,1,1
Q,U,S,25,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,170011,29803,2024,1,1,1
Q,U,S,25,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,55035,6341,4203,1,1,1
Q,U,S,25,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,22273,2320,2817,1,1,1
Q,U,S,25,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,55767,5395,8826,1,1,1
Q,U,S,25,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,36388,3396,5859,1,1,1
Q,U,S,25,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,76710,5332,12120,1,1,1
Q,U,S,25,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,95384,5332,5961,1,1,1
Q,U,S,25,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,25368,2715,7355,1,1,1
Q,U,S,25,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,16986,1887,4157,1,1,1
Q,U,S,25,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,144882,14335,9846,1,1,1
Q,U,S,25,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,115727,11750,6149,1,1,1
Q,U,S,25,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,29269,2440,8665,1,1,1
Q,U,S,25,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,33304,2716,5086,1,1,1
Q,U,S,25,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,105607,33123,3846,1,1,1
Q,U,S,25,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,63699,19406,3037,1,1,1
Q,U,S,25,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,116323,14968,5543,1,1,1
Q,U,S,25,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,165166,22276,3709,1,1,1
Q,U,S,25,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,120893,12755,6267,1,1,1
Q,U,S,25,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,392963,36429,3924,1,1,1
Q,U,S,25,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,33409,7055,3826,1,1,1
Q,U,S,25,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,30637,6641,1817,1,1,1
Q,U,S,25,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,131170,34961,2159,1,1,1
Q,U,S,25,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,155920,40444,1617,1,1,1
Q,U,S,25,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,58340,9648,3185,1,1,1
Q,U,S,25,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,84375,15418,2040,1,1,1
Q,U,S,25,S,92,A00,1,A00,A0,A0,E0,0,0,2011,3,46912,4075,5382,1,1,1
Q,U,S,25,S,92,A00,2,A00,A0,A0,E0,0,0,2011,3,51615,4183,4029,1,1,1
Q,U,S,25,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,1501806,163167,6784,1,1,1
Q,U,S,25,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,1573900,156611,4023,1,1,1
Q,U,S,25,S,11,A00,1,A00,A0,A0,E0,0,0,2012,1,3474,670,5102,1,1,1
Q,U,S,25,S,11,A00,2,A00,A0,A0,E0,0,0,2012,1,1998,245,3194,1,1,1
Q,U,S,25,S,21,A00,1,A00,A0,A0,E0,0,0,2012,1,663,36,3962,1,1,1
Q,U,S,25,S,21,A00,2,A00,A0,A0,E0,0,0,2012,1,117,7,3207,1,9,1
Q,U,S,25,S,22,A00,1,A00,A0,A0,E0,0,0,2012,1,9736,256,8618,1,1,1
Q,U,S,25,S,22,A00,2,A00,A0,A0,E0,0,0,2012,1,3609,124,6014,1,1,1
Q,U,S,25,S,23,A00,1,A00,A0,A0,E0,0,0,2012,1,91569,13569,5320,1,1,1
Q,U,S,25,S,23,A00,2,A00,A0,A0,E0,0,0,2012,1,20357,2277,3856,1,1,1
Q,U,S,25,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,1,175235,8568,7757,1,1,1
Q,U,S,25,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,1,77194,3877,5227,1,1,1
Q,U,S,25,S,42,A00,1,A00,A0,A0,E0,0,0,2012,1,82739,6470,7700,1,1,1
Q,U,S,25,S,42,A00,2,A00,A0,A0,E0,0,0,2012,1,36427,3114,5416,1,1,1
Q,U,S,25,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,1,173167,17363,3083,1,1,1
Q,U,S,25,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,1,170077,14818,1948,1,1,1
