periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,24,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1107484,121486,5176,1,1,1
Q,U,S,24,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1165193,108373,3376,1,1,1
Q,U,S,24,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,2830,494,2759,1,1,1
Q,U,S,24,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,1492,265,1969,1,1,1
Q,U,S,24,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,1178,62,4563,1,1,1
Q,U,S,24,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,145,12,4591,1,1,1
Q,U,S,24,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,7792,199,12297,1,1,1
Q,U,S,24,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,2154,72,8990,1,1,1
Q,U,S,24,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,111931,14807,4607,1,1,1
Q,U,S,24,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,24629,3265,3314,1,1,1
Q,U,S,24,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,78042,4380,6206,1,1,1
Q,U,S,24,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,34072,1922,4671,1,1,1
Q,U,S,24,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,58314,4806,6341,1,1,1
Q,U,S,24,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,25725,2202,4696,1,1,1
Q,U,S,24,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,138946,15245,2827,1,1,1
Q,U,S,24,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,136681,13632,1809,1,1,1
Q,U,S,24,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,51664,5017,4134,1,1,1
Q,U,S,24,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,20822,1589,3129,1,1,1
Q,U,S,24,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,26268,2042,7399,1,1,1
Q,U,S,24,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,21326,1521,5048,1,1,1
Q,U,S,24,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,36357,2745,13031,1,1,1
Q,U,S,24,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,59784,3362,5255,1,1,1
Q,U,S,24,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,22817,2071,6387,1,1,1
Q,U,S,24,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,18221,1626,3932,1,1,1
Q,U,S,24,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,125530,12683,8304,1,1,1
Q,U,S,24,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,98912,10183,5231,1,1,1
Q,U,S,24,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,10424,756,11731,1,1,1
Q,U,S,24,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,11306,799,6286,1,1,1
Q,U,S,24,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,76108,18534,3384,1,1,1
Q,U,S,24,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,59440,13290,2556,1,1,1
Q,U,S,24,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,79905,4577,4525,1,1,1
Q,U,S,24,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,176680,7537,3776,1,1,1
Q,U,S,24,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,72204,5966,5089,1,1,1
Q,U,S,24,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,253586,19359,3189,1,1,1
Q,U,S,24,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,14895,2268,2289,1,1,1
Q,U,S,24,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,15197,2300,1359,1,1,1
Q,U,S,24,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,87721,16885,1744,1,1,1
Q,U,S,24,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,96377,17520,1347,1,1,1
Q,U,S,24,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,37381,4749,3441,1,1,1
Q,U,S,24,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,47968,5183,2351,1,1,1
Q,U,S,24,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,67177,3199,4413,1,1,1
Q,U,S,24,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,60676,2734,3640,1,1,1
Q,U,S,24,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1160892,169952,5207,1,1,1
Q,U,S,24,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1174990,159115,3469,1,1,1
Q,U,S,24,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,3540,664,3019,1,1,1
Q,U,S,24,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,1949,384,2198,1,1,1
Q,U,S,24,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,1299,178,4853,1,1,1
Q,U,S,24,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,156,21,3769,1,1,1
Q,U,S,24,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,7861,218,8353,1,1,1
Q,U,S,24,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,2192,67,6334,1,1,1
Q,U,S,24,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,121272,21798,5015,1,1,1
Q,U,S,24,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,26279,4168,3671,1,1,1
Q,U,S,24,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,79400,4975,6096,1,1,1
Q,U,S,24,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,34617,2332,4577,1,1,1
Q,U,S,24,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,60319,5403,6478,1,1,1
Q,U,S,24,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,26349,2752,4767,1,1,1
Q,U,S,24,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,141931,24229,3102,1,1,1
Q,U,S,24,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,137475,26257,2023,1,1,1
Q,U,S,24,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,53011,6965,4440,1,1,1
Q,U,S,24,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,19875,2546,3122,1,1,1
Q,U,S,24,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,27415,2209,6739,1,1,1
Q,U,S,24,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,21945,1608,4663,1,1,1
Q,U,S,24,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,36911,3554,9142,1,1,1
Q,U,S,24,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,59512,4390,4656,1,1,1
Q,U,S,24,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,24200,2685,5240,1,1,1
Q,U,S,24,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,18924,2169,3887,1,1,1
Q,U,S,24,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,129970,13850,8536,1,1,1
Q,U,S,24,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,100534,11055,5498,1,1,1
Q,U,S,24,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,10896,978,7821,1,1,1
Q,U,S,24,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,11711,1140,4968,1,1,1
Q,U,S,24,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,86513,26477,3668,1,1,1
Q,U,S,24,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,64147,19312,2792,1,1,1
Q,U,S,24,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,71562,7832,4878,1,1,1
Q,U,S,24,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,150234,13149,3543,1,1,1
Q,U,S,24,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,74559,8300,5895,1,1,1
Q,U,S,24,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,257668,26432,3569,1,1,1
Q,U,S,24,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,23093,4889,2934,1,1,1
Q,U,S,24,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,21118,4385,1589,1,1,1
Q,U,S,24,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,97784,25334,1887,1,1,1
Q,U,S,24,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,108609,26938,1507,1,1,1
Q,U,S,24,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,38724,5918,3837,1,1,1
Q,U,S,24,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,49512,6654,2628,1,1,1
