periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,26,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1788283,206958,4770,1,1,1
Q,U,S,26,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1900399,181761,2786,1,1,1
Q,U,S,26,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,12234,2150,2443,1,1,1
Q,U,S,26,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,5798,1360,1588,1,1,1
Q,U,S,26,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,4790,226,6698,1,1,1
Q,U,S,26,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,783,31,4393,1,1,1
Q,U,S,26,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,14999,286,9673,9,1,9
Q,U,S,26,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,5424,114,6597,9,1,9
Q,U,S,26,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,96171,14013,3964,1,1,1
Q,U,S,26,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,16948,2102,2731,1,1,1
Q,U,S,26,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,366696,25658,5828,1,1,1
Q,U,S,26,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,133262,8527,4091,1,1,1
Q,U,S,26,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,107547,7758,6069,1,1,1
Q,U,S,26,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,45402,3557,3891,1,1,1
Q,U,S,26,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,205651,18795,2676,1,1,1
Q,U,S,26,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,224165,17557,1651,1,1,1
Q,U,S,26,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,64068,6861,3714,1,1,1
Q,U,S,26,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,23650,1883,2690,1,1,1
Q,U,S,26,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,32176,2559,5872,1,1,1
Q,U,S,26,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,26855,1839,3913,1,1,1
Q,U,S,26,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,42374,2929,9747,1,1,1
Q,U,S,26,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,88306,4494,4080,1,1,1
Q,U,S,26,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,25892,2864,3538,1,1,1
Q,U,S,26,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,22872,2375,2474,1,1,1
Q,U,S,26,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,129094,15409,7478,1,1,1
Q,U,S,26,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,103662,12418,4088,1,1,1
Q,U,S,26,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,31094,1595,11019,1,1,1
Q,U,S,26,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,20932,1060,6011,1,1,1
Q,U,S,26,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,137165,50502,3104,1,1,1
