periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1210267,126064,4988,1,1,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1294048,121778,3112,1,1,1
Q,U,S,27,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,11494,1820,2692,1,1,1
Q,U,S,27,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,4362,714,1942,1,1,1
Q,U,S,27,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,4703,211,7643,1,1,9
Q,U,S,27,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,478,27,5314,1,1,1
Q,U,S,27,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,10593,546,7883,1,1,1
Q,U,S,27,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,3253,101,5883,1,1,1
Q,U,S,27,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,72617,8660,4210,1,1,1
Q,U,S,27,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,11993,1175,3164,1,1,1
Q,U,S,27,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,209416,12072,5275,1,1,1
Q,U,S,27,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,89384,4959,3858,1,1,1
Q,U,S,27,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,84789,5952,6524,1,1,1
Q,U,S,27,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,37773,3068,4569,1,1,1
Q,U,S,27,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,132373,12416,2559,1,1,1
Q,U,S,27,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,143059,12147,1629,1,1,1
Q,U,S,27,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,49837,4952,3303,1,1,1
Q,U,S,27,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,15910,1192,2530,1,1,1
Q,U,S,27,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,30661,2007,5936,1,1,1
Q,U,S,27,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,25169,1571,4055,1,1,1
Q,U,S,27,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,51431,3803,13317,1,1,1
Q,U,S,27,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,80752,4468,6040,1,1,1
Q,U,S,27,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,20712,1914,5786,1,1,1
Q,U,S,27,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,20496,1980,4148,1,1,1
Q,U,S,27,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,64275,7346,7486,1,1,1
Q,U,S,27,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,60745,7009,4457,1,1,1
Q,U,S,27,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,33259,3839,12095,1,1,1
Q,U,S,27,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,34110,4136,6213,1,9,1
Q,U,S,27,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,72462,21855,2936,1,1,1
Q,U,S,27,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,51182,13430,2409,1,1,1
Q,U,S,27,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,74190,6169,4086,1,1,1
Q,U,S,27,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,161585,11495,3084,1,1,1
Q,U,S,27,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,87991,8092,5132,1,1,1
Q,U,S,27,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,325101,27960,2855,1,1,1
Q,U,S,27,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,21597,2695,2830,1,1,1
Q,U,S,27,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,22065,2491,1496,1,1,1
Q,U,S,27,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,84934,14225,1407,1,1,1
Q,U,S,27,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,105621,15753,1154,1,1,1
Q,U,S,27,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,35855,4241,2880,1,1,1
Q,U,S,27,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,47555,5512,1769,1,1,1
Q,U,S,27,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,57077,3248,3993,1,1,1
Q,U,S,27,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,53455,2591,3494,1,1,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1292122,197009,4883,1,1,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1303359,189976,3193,1,1,1
Q,U,S,27,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,14442,3565,2848,1,1,1
Q,U,S,27,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,6094,1640,2079,1,1,1
Q,U,S,27,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,5729,400,7259,1,1,1
Q,U,S,27,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,597,41,5591,1,1,1
Q,U,S,27,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,11037,460,7169,1,1,1
Q,U,S,27,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,3413,157,5163,1,1,1
