periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,29,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1191462,142226,4125,1,1,1
Q,U,S,29,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1271645,134187,2573,1,1,1
Q,U,S,29,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,7313,1015,2435,1,1,1
Q,U,S,29,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2737,396,1915,1,1,1
Q,U,S,29,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,3440,202,5846,1,1,9
Q,U,S,29,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,453,34,4223,1,1,9
Q,U,S,29,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,15041,267,6245,1,1,1
Q,U,S,29,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4749,109,4317,1,1,1
Q,U,S,29,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,91849,13104,3748,1,1,1
Q,U,S,29,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,17134,1913,2797,1,1,1
Q,U,S,29,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,164956,11036,4401,1,1,1
Q,U,S,29,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,68643,4058,3161,1,1,1
Q,U,S,29,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,81871,6794,5325,1,1,1
Q,U,S,29,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,32903,2874,3677,1,1,1
Q,U,S,29,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,142795,16111,2542,1,1,1
Q,U,S,29,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,151333,15664,1625,1,1,1
Q,U,S,29,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,62765,6642,3440,1,1,1
Q,U,S,29,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,24498,1794,2462,1,1,1
Q,U,S,29,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,25630,1730,6779,1,1,1
Q,U,S,29,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,22572,1551,3823,1,1,1
Q,U,S,29,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,37793,4355,9368,1,1,1
Q,U,S,29,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,68811,5025,3919,1,1,1
Q,U,S,29,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,18419,1989,3458,1,1,1
Q,U,S,29,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,15713,1660,2438,1,1,1
Q,U,S,29,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,59506,6860,6625,1,1,1
Q,U,S,29,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,62493,7480,3740,1,1,1
Q,U,S,29,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,31661,1972,8901,1,1,1
Q,U,S,29,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,33785,2067,4471,1,1,1
Q,U,S,29,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,79576,25762,2835,1,1,1
Q,U,S,29,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,61175,17164,2173,1,1,1
Q,U,S,29,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,67458,3714,3303,1,1,1
Q,U,S,29,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,163384,6719,2630,1,1,1
Q,U,S,29,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,81001,7755,5202,1,1,1
Q,U,S,29,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,308261,29530,2670,1,1,1
Q,U,S,29,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,24139,2610,2899,1,1,1
Q,U,S,29,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,20635,2337,1656,1,1,1
Q,U,S,29,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,100427,21441,1449,1,1,1
Q,U,S,29,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,121119,23740,1129,1,1,1
Q,U,S,29,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,39198,5781,2647,1,1,1
Q,U,S,29,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,47877,8228,1556,1,1,1
Q,U,S,29,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,56623,3087,3191,1,1,1
Q,U,S,29,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,43370,1845,2500,1,1,1
Q,U,S,29,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1245506,200048,4240,1,1,1
Q,U,S,29,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1268030,192373,2676,1,1,1
Q,U,S,29,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,8652,2006,2776,1,1,1
Q,U,S,29,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,3314,890,2137,1,1,1
Q,U,S,29,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,3700,332,5599,1,1,1
Q,U,S,29,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,514,47,4161,1,1,1
Q,U,S,29,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,15194,281,6202,1,1,1
Q,U,S,29,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,4943,140,4273,1,1,1
Q,U,S,29,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,107075,23178,4423,1,1,1
Q,U,S,29,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,19100,2855,2999,1,1,1
Q,U,S,29,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,168311,14003,4502,1,1,1
Q,U,S,29,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,69546,5156,3262,1,1,1
Q,U,S,29,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,84277,7672,5276,1,1,1
Q,U,S,29,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,33671,3392,3730,1,1,1
Q,U,S,29,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,146586,24334,2739,1,1,1
Q,U,S,29,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,152231,28452,1792,1,1,1
Q,U,S,29,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,63946,8857,3790,1,1,1
Q,U,S,29,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,23283,2637,2586,1,1,1
Q,U,S,29,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,25724,2274,6401,1,1,1
Q,U,S,29,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,22856,2124,3773,1,1,1
Q,U,S,29,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,40268,4138,7078,1,1,1
Q,U,S,29,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,71174,5661,3657,1,1,1
