periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,28,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,494155,73950,3507,1,1,1
Q,U,S,28,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,535741,65220,2268,1,1,1
Q,U,S,28,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,9239,1484,2343,1,1,1
Q,U,S,28,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2039,372,1912,1,1,1
Q,U,S,28,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,4850,620,6200,1,1,1
Q,U,S,28,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,596,64,3805,1,1,1
Q,U,S,28,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,7118,230,6196,1,1,1
Q,U,S,28,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,2272,117,4063,1,1,1
Q,U,S,28,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,42715,10596,3353,1,1,1
Q,U,S,28,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,6668,1148,2607,1,1,1
Q,U,S,28,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,94901,9767,3837,1,1,1
Q,U,S,28,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,38140,3819,2500,1,1,1
Q,U,S,28,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,25441,2305,4183,1,1,1
Q,U,S,28,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,8967,836,2972,1,1,1
Q,U,S,28,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,60522,8676,2572,1,1,1
Q,U,S,28,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,75864,10520,1657,1,1,1
Q,U,S,28,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,29197,4138,3320,1,1,1
Q,U,S,28,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,9630,1007,2277,1,1,1
Q,U,S,28,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,6995,469,4373,1,1,1
Q,U,S,28,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,6883,566,2750,1,1,1
Q,U,S,28,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,9216,1067,7497,1,1,1
Q,U,S,28,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,23780,2303,2981,1,1,1
Q,U,S,28,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,6411,830,2864,1,1,1
Q,U,S,28,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,5234,654,2130,1,1,1
Q,U,S,28,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,14241,1857,5448,1,1,1
Q,U,S,28,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,17415,2626,2848,1,1,1
Q,U,S,28,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,4811,381,7320,1,1,1
Q,U,S,28,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,6262,446,3237,1,1,1
Q,U,S,28,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,29021,12182,2358,1,1,1
Q,U,S,28,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,21309,7390,1761,1,1,1
Q,U,S,28,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,31480,1720,3553,1,1,1
Q,U,S,28,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,84254,3285,2582,1,1,1
Q,U,S,28,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,26773,2274,5113,1,1,1
Q,U,S,28,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,124949,11435,2489,1,1,1
Q,U,S,28,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,5157,756,1960,1,1,1
Q,U,S,28,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,5693,786,1454,1,1,1
Q,U,S,28,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,42469,11222,1728,1,1,1
Q,U,S,28,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,62341,15391,1331,1,1,1
Q,U,S,28,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,11034,1899,2866,1,1,1
Q,U,S,28,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,10042,1395,1732,1,1,1
Q,U,S,28,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,32563,1477,2634,1,1,1
Q,U,S,28,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,23404,1061,2385,1,1,1
Q,U,S,28,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,503619,85297,3689,1,1,1
Q,U,S,28,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,524306,81319,2374,1,1,1
Q,U,S,28,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,10517,2596,2842,1,1,1
Q,U,S,28,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,2264,695,2033,1,1,1
Q,U,S,28,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,5845,747,5929,1,1,1
Q,U,S,28,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,665,62,3552,1,1,1
Q,U,S,28,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,7067,224,5714,1,1,1
Q,U,S,28,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,2233,89,3584,1,1,1
Q,U,S,28,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,45892,12047,3706,1,1,1
Q,U,S,28,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,7014,1272,2807,1,1,1
Q,U,S,28,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,95999,9947,3886,1,1,1
Q,U,S,28,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,38289,3859,2659,1,1,1
Q,U,S,28,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,25671,2352,4490,1,1,1
Q,U,S,28,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,8659,917,3157,1,1,1
Q,U,S,28,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,61533,10149,2717,1,1,1
Q,U,S,28,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,75671,13945,1776,1,1,1
Q,U,S,28,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,29622,4798,3689,1,1,1
Q,U,S,28,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,9705,1374,2525,1,1,1
