periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,30,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,186296,23079,3539,1,1,1
Q,U,S,30,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,207163,21622,2235,1,1,1
Q,U,S,30,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,2921,547,2657,1,1,1
Q,U,S,30,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,957,198,1571,1,1,1
Q,U,S,30,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,6005,969,7142,1,1,1
Q,U,S,30,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,704,103,4897,1,1,1
Q,U,S,30,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,2539,45,7251,1,1,1
Q,U,S,30,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,811,39,5064,1,1,1
Q,U,S,30,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,17478,2469,3106,1,1,1
Q,U,S,30,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,2964,356,2283,1,1,1
Q,U,S,30,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,12060,1074,3990,1,1,1
Q,U,S,30,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,4394,381,2516,1,1,1
Q,U,S,30,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,11460,919,4577,1,1,1
Q,U,S,30,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,3818,305,2621,1,1,1
Q,U,S,30,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,25919,2790,2533,1,1,1
Q,U,S,30,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,27259,2712,1592,1,1,1
Q,U,S,30,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,8135,1079,3246,1,1,1
Q,U,S,30,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,2615,266,2153,1,1,1
Q,U,S,30,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,4208,311,3847,1,1,1
Q,U,S,30,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,3088,262,2723,1,1,1
Q,U,S,30,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,4321,270,7741,1,1,1
Q,U,S,30,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,10564,500,3309,1,1,1
Q,U,S,30,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,2667,398,2555,1,1,1
Q,U,S,30,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,2527,298,1917,1,1,1
Q,U,S,30,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,8583,967,5330,1,1,1
Q,U,S,30,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,9978,1056,2863,1,1,1
Q,U,S,30,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,1002,67,5992,1,1,1
Q,U,S,30,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,1228,72,2928,1,1,1
Q,U,S,30,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,9500,2446,2423,1,1,1
Q,U,S,30,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,7916,1759,1826,1,1,1
Q,U,S,30,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,14096,1290,3360,1,1,1
Q,U,S,30,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,29023,1981,2565,1,1,1
Q,U,S,30,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,12745,1204,4766,1,1,1
Q,U,S,30,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,47859,4198,2531,1,1,1
Q,U,S,30,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,4554,715,1831,1,1,1
Q,U,S,30,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,5586,841,1170,1,1,1
Q,U,S,30,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,17694,3841,1318,1,1,1
Q,U,S,30,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,23370,4368,1086,1,1,1
Q,U,S,30,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,6826,976,2579,1,1,1
Q,U,S,30,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,8435,1047,1532,1,1,1
Q,U,S,30,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,13582,702,3533,1,1,1
Q,U,S,30,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,14066,880,2713,1,1,1
Q,U,S,30,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,204100,43617,3806,1,1,1
