periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,37,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1776741,284619,4652,1,1,1
Q,U,S,37,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1911974,258579,2892,1,1,1
Q,U,S,37,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,16166,4713,2763,1,1,1
Q,U,S,37,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,6698,2956,2114,1,1,1
Q,U,S,37,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,2310,152,4148,1,1,1
Q,U,S,37,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,345,50,3608,1,1,9
Q,U,S,37,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,10265,249,7756,1,1,1
Q,U,S,37,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,2838,108,5250,1,1,1
Q,U,S,37,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,131817,39102,3394,1,1,1
Q,U,S,37,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,29853,17527,2528,1,1,1
Q,U,S,37,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,292102,22798,5257,1,1,1
Q,U,S,37,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,145788,11345,3621,1,1,1
Q,U,S,37,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,116549,10641,5721,1,1,1
Q,U,S,37,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,49711,5385,3862,1,1,1
Q,U,S,37,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,211595,29232,2699,1,1,1
Q,U,S,37,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,231582,27991,1729,1,1,1
Q,U,S,37,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,76430,8819,3915,1,1,1
Q,U,S,37,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,28514,2724,2759,1,1,1
Q,U,S,37,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,34959,3406,7429,1,1,1
Q,U,S,37,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,28276,2856,5255,1,1,1
Q,U,S,37,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,54749,5505,14507,1,1,1
Q,U,S,37,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,89377,6600,5267,1,1,1
Q,U,S,37,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,23031,3353,3749,1,1,1
Q,U,S,37,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,20637,2900,2615,1,1,1
Q,U,S,37,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,93189,15690,7030,1,1,1
Q,U,S,37,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,93497,14797,3942,1,1,1
Q,U,S,37,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,39750,3381,10589,1,1,1
Q,U,S,37,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,44567,3807,5003,1,1,1
Q,U,S,37,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,131522,49939,2930,1,1,1
Q,U,S,37,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,100671,36720,2204,1,1,1
Q,U,S,37,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,109077,7559,3890,1,1,1
