periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,38,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,175685,28516,4195,1,1,1
Q,U,S,38,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,172317,19378,2387,1,1,1
Q,U,S,38,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,2313,398,2680,1,1,1
Q,U,S,38,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,688,119,1684,1,1,1
Q,U,S,38,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,12420,4276,7391,1,1,1
Q,U,S,38,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,993,251,5085,1,1,1
Q,U,S,38,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,2682,86,6338,1,1,1
Q,U,S,38,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,588,8,4568,1,1,1
Q,U,S,38,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,17036,3779,3547,1,1,1
Q,U,S,38,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,2154,432,2585,1,1,1
Q,U,S,38,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,17326,1584,4013,1,1,1
Q,U,S,38,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,5821,463,2689,1,1,1
Q,U,S,38,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,16383,1643,5123,1,1,1
Q,U,S,38,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,4748,435,2803,1,1,1
Q,U,S,38,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,20915,2664,2726,1,1,1
Q,U,S,38,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,21880,2792,1538,1,1,1
Q,U,S,38,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,9860,2382,4351,1,1,1
Q,U,S,38,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,2149,391,2555,1,1,1
Q,U,S,38,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,4133,232,4857,1,1,1
Q,U,S,38,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,3368,199,3275,1,1,1
Q,U,S,38,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,4944,380,7031,1,1,1
Q,U,S,38,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,11141,949,3359,1,1,1
Q,U,S,38,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,2402,477,4862,1,1,1
Q,U,S,38,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,1753,229,1906,1,1,1
Q,U,S,38,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,6190,807,5368,1,1,1
Q,U,S,38,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,5885,879,2788,1,1,1
Q,U,S,38,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,2659,158,7019,1,1,1
Q,U,S,38,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,2311,135,3712,1,1,1
Q,U,S,38,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,6360,2446,2416,1,1,1
Q,U,S,38,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,5529,1271,1950,1,1,1
