periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,31,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,424980,47395,3868,1,1,1
Q,U,S,31,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,434995,39502,2489,1,1,1
Q,U,S,31,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,8185,955,3029,1,1,1
Q,U,S,31,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2328,301,1986,1,1,1
Q,U,S,31,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,803,92,4048,1,1,1
Q,U,S,31,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,95,11,3013,1,1,1
Q,U,S,31,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,6780,103,6374,1,1,1
Q,U,S,31,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1972,30,4913,1,1,1
Q,U,S,31,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,31442,4270,3232,1,1,1
Q,U,S,31,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,4852,588,2211,1,1,1
Q,U,S,31,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,66910,4888,3983,1,1,1
Q,U,S,31,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,27814,1577,2839,1,1,1
Q,U,S,31,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,29045,2061,4476,1,1,1
Q,U,S,31,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,9853,716,2947,1,1,1
Q,U,S,31,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,48215,5182,2413,1,1,1
Q,U,S,31,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,52484,5077,1450,1,1,1
