periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,33,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,279358,30758,4793,1,1,1
Q,U,S,33,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,305840,25853,2924,1,1,1
Q,U,S,33,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,990,161,3050,1,1,1
Q,U,S,33,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,469,95,1798,1,1,1
Q,U,S,33,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,345,23,3636,1,1,1
Q,U,S,33,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,47,,2923,1,5,1
Q,U,S,33,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,2269,33,9065,1,1,1
Q,U,S,33,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,432,8,6186,1,1,1
Q,U,S,33,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,17799,3014,3839,1,1,1
Q,U,S,33,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,3061,443,2753,1,1,1
Q,U,S,33,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,44369,2638,5734,1,1,1
Q,U,S,33,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,21092,1113,3859,1,1,1
Q,U,S,33,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,18198,1329,7120,1,1,1
Q,U,S,33,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,7370,620,4589,1,1,1
Q,U,S,33,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,45368,4185,2811,1,1,1
Q,U,S,33,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,46548,3420,1651,1,1,1
Q,U,S,33,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,8865,939,3309,1,1,1
Q,U,S,33,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,4196,268,2106,1,1,1
Q,U,S,33,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,6527,511,7188,1,1,1
Q,U,S,33,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,4703,353,4742,1,1,1
Q,U,S,33,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,9418,771,10244,1,1,1
Q,U,S,33,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,16008,867,4884,1,1,1
Q,U,S,33,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,3750,455,4058,1,1,1
Q,U,S,33,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,2715,293,2648,1,1,1
Q,U,S,33,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,15294,1878,7718,1,1,1
Q,U,S,33,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,14842,1709,4076,1,1,1
Q,U,S,33,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,3575,261,9148,1,1,1
Q,U,S,33,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,4568,267,4187,1,1,1
Q,U,S,33,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,15865,5497,3667,1,1,1
Q,U,S,33,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,10622,2973,2777,1,1,1
Q,U,S,33,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,19066,1385,4151,1,1,1
