periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,34,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1751291,183773,6354,1,1,1
Q,U,S,34,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1839885,160398,3835,1,1,1
Q,U,S,34,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,3767,680,2436,1,1,1
Q,U,S,34,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2399,501,1600,1,1,1
Q,U,S,34,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,995,88,4490,1,9,1
Q,U,S,34,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,155,10,3798,1,1,1
Q,U,S,34,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,15011,217,8397,1,1,1
Q,U,S,34,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,3489,68,6061,1,1,1
Q,U,S,34,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,94226,17665,4922,1,1,1
Q,U,S,34,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,22690,2709,3205,1,1,1
Q,U,S,34,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,166932,10290,7410,1,1,1
Q,U,S,34,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,92126,5920,5911,1,1,1
Q,U,S,34,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,137363,10626,7574,1,1,1
Q,U,S,34,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,72456,5790,5225,1,1,1
Q,U,S,34,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,223138,24051,3283,1,1,1
Q,U,S,34,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,217465,18147,1960,1,1,1
Q,U,S,34,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,110141,9873,4523,1,1,1
Q,U,S,34,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,49651,3718,2935,1,1,1
Q,U,S,34,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,46485,3370,9277,1,1,1
Q,U,S,34,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,29895,2195,6380,1,1,1
Q,U,S,34,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,79415,5366,17206,1,1,1
Q,U,S,34,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,97941,4956,7121,1,1,1
Q,U,S,34,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,31463,2763,5849,1,1,1
Q,U,S,34,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,21978,1737,3835,1,1,1
Q,U,S,34,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,147384,14407,9353,1,1,1
Q,U,S,34,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,130337,12749,5500,1,1,1
Q,U,S,34,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,41204,1941,17918,1,1,1
Q,U,S,34,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,41759,1923,9093,1,1,1
Q,U,S,34,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,120138,32829,4102,1,1,1
Q,U,S,34,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,95330,24334,2825,1,1,1
Q,U,S,34,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,108830,6743,5097,1,1,1
Q,U,S,34,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,256030,12776,4320,1,1,1
Q,U,S,34,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,120751,9486,5596,1,1,1
