periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,35,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,363848,54497,3691,1,1,1
Q,U,S,35,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,374215,44826,2520,1,1,1
Q,U,S,35,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,6885,1311,2397,1,1,1
Q,U,S,35,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2684,566,2041,1,1,1
Q,U,S,35,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,16983,3172,6380,1,1,1
Q,U,S,35,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,2815,422,4384,1,1,1
Q,U,S,35,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,4957,253,6180,1,1,1
Q,U,S,35,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1698,85,4336,1,1,1
Q,U,S,35,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,37815,7818,3393,1,1,1
Q,U,S,35,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,7942,1398,2484,1,1,1
Q,U,S,35,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,19177,1582,4648,1,1,1
Q,U,S,35,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,8555,724,3009,1,1,1
Q,U,S,35,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,15289,1439,4353,1,1,1
Q,U,S,35,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,5710,557,3164,1,1,1
Q,U,S,35,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,46800,6967,2665,1,1,1
Q,U,S,35,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,47774,6033,1856,1,1,1
Q,U,S,35,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,12204,1922,3681,1,1,1
Q,U,S,35,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,4896,510,2336,1,1,1
Q,U,S,35,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,8340,1732,3735,1,1,1
Q,U,S,35,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,6302,1154,2936,1,1,1
Q,U,S,35,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,5619,473,6622,1,1,1
Q,U,S,35,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,14684,1070,3507,1,1,1
Q,U,S,35,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,5666,712,3201,1,1,1
Q,U,S,35,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,4246,506,2256,1,1,1
Q,U,S,35,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,25572,2477,5908,1,1,1
Q,U,S,35,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,20322,2614,3587,1,1,1
Q,U,S,35,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,2656,345,5408,1,1,1
Q,U,S,35,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,2991,265,3580,1,1,1
Q,U,S,35,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,24480,6091,3180,1,1,1
Q,U,S,35,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,17483,4292,2353,1,1,1
Q,U,S,35,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,25118,1615,3326,1,1,1
Q,U,S,35,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,55461,2654,2766,1,1,1
Q,U,S,35,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,27076,2832,4443,1,1,1
Q,U,S,35,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,91162,8848,2702,1,1,1
Q,U,S,35,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,8354,992,2346,1,1,1
Q,U,S,35,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,7406,754,1824,1,1,1
Q,U,S,35,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,37232,9284,1501,1,1,1
Q,U,S,35,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,42585,9737,1271,1,1,1
Q,U,S,35,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,10423,1873,2814,1,1,1
Q,U,S,35,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,10071,1577,1843,1,1,1
Q,U,S,35,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,23203,1605,3394,1,1,1
Q,U,S,35,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,19428,1060,2839,1,1,1
Q,U,S,35,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,376179,73834,4101,1,1,1
Q,U,S,35,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,365927,62775,2742,1,1,1
Q,U,S,35,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,8692,4173,2491,1,1,1
Q,U,S,35,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,3394,1536,2099,1,1,1
Q,U,S,35,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,17520,3788,6317,1,1,1
Q,U,S,35,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,2965,534,4391,1,1,1
Q,U,S,35,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,4987,234,6042,1,1,1
Q,U,S,35,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,1799,106,3991,1,1,1
Q,U,S,35,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,38576,9930,3834,1,1,1
Q,U,S,35,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,8156,1823,2810,1,1,1
