periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,32,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,551842,81484,4042,1,1,1
Q,U,S,32,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,524787,64361,2911,1,1,1
Q,U,S,32,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,1381,224,2762,1,1,1
Q,U,S,32,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,587,91,1959,1,1,1
Q,U,S,32,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,10650,1192,7278,1,1,1
Q,U,S,32,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,1680,175,5697,1,1,1
Q,U,S,32,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,3453,92,9608,1,1,1
Q,U,S,32,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1519,33,6843,1,1,1
Q,U,S,32,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,42249,9058,4493,1,1,1
Q,U,S,32,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,10241,2260,2928,1,1,1
Q,U,S,32,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,26062,2509,4417,1,1,1
Q,U,S,32,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,10782,1066,3212,1,1,1
Q,U,S,32,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,22662,2052,5595,1,1,1
Q,U,S,32,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,9686,960,4032,1,1,1
Q,U,S,32,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,60536,7864,2783,1,1,1
Q,U,S,32,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,66996,7421,2051,1,1,1
Q,U,S,32,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,31967,3979,3514,1,1,1
Q,U,S,32,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,12131,1304,2720,1,1,1
Q,U,S,32,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,7945,1556,4862,1,1,1
Q,U,S,32,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,5351,801,3736,1,1,1
Q,U,S,32,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,10382,879,7069,1,1,1
Q,U,S,32,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,20583,1570,3941,1,1,1
Q,U,S,32,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,11418,1711,3643,1,1,1
Q,U,S,32,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,9795,1496,2925,1,1,1
Q,U,S,32,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,23088,3488,6582,1,1,1
Q,U,S,32,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,22548,3678,3819,1,1,1
Q,U,S,32,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,9633,1061,11730,1,1,1
Q,U,S,32,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,9328,897,5221,1,1,1
Q,U,S,32,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,44615,17699,2773,1,1,1
Q,U,S,32,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,29150,10139,2180,1,1,1
Q,U,S,32,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,25081,1664,4321,1,1,1
