periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,36,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,3988328,433387,8087,1,1,1
Q,U,S,36,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,4171222,386497,4149,1,1,1
Q,U,S,36,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,12517,1801,2450,1,1,1
Q,U,S,36,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,6019,992,1929,1,1,1
Q,U,S,36,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,3073,200,5032,1,1,1
Q,U,S,36,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,605,35,3709,1,1,1
Q,U,S,36,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,32528,511,8559,1,1,1
Q,U,S,36,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,8425,205,6341,1,1,1
Q,U,S,36,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,229970,42945,4948,1,1,1
Q,U,S,36,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,42850,7294,3184,1,1,1
Q,U,S,36,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,310595,19701,5706,1,1,1
Q,U,S,36,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,142548,10054,3945,1,1,1
Q,U,S,36,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,209261,16764,6800,1,1,1
Q,U,S,36,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,117163,10918,4954,1,1,1
Q,U,S,36,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,442760,45991,3162,1,1,1
Q,U,S,36,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,427329,41618,2089,1,1,1
Q,U,S,36,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,204787,15188,4642,1,1,1
Q,U,S,36,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,83032,5660,3173,1,1,1
Q,U,S,36,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,146307,20635,10029,1,1,1
