periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,40,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,710549,109042,4095,1,1,1
Q,U,S,40,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,711445,92979,2480,1,1,1
Q,U,S,40,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,7396,1124,2841,1,1,1
Q,U,S,40,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2994,443,2241,1,1,1
Q,U,S,40,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,35944,6518,9493,1,1,1
Q,U,S,40,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,11332,1016,6489,1,1,1
Q,U,S,40,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,12213,407,7249,1,1,1
Q,U,S,40,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,3907,146,5038,1,1,1
Q,U,S,40,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,56975,11342,3306,1,1,1
Q,U,S,40,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,12097,1901,2338,1,1,1
Q,U,S,40,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,94479,9202,4214,1,1,1
Q,U,S,40,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,29786,2448,2879,1,1,1
Q,U,S,40,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,39880,4367,4492,1,1,1
Q,U,S,40,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,16103,1896,2912,1,1,1
Q,U,S,40,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,79916,12201,2596,1,1,1
Q,U,S,40,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,84728,12431,1609,1,1,1
Q,U,S,40,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,32453,4060,4455,1,1,1
Q,U,S,40,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,8126,853,3211,1,1,1
Q,U,S,40,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,15034,1062,4725,1,1,1
Q,U,S,40,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,11500,932,3369,1,1,1
Q,U,S,40,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,17398,1163,7103,1,1,1
Q,U,S,40,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,37501,2387,3310,1,1,1
Q,U,S,40,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,11355,1834,3669,1,1,1
Q,U,S,40,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,9907,1305,2433,1,1,1
Q,U,S,40,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,32075,4196,5186,1,1,1
Q,U,S,40,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,32051,4485,2973,1,1,1
Q,U,S,40,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,8331,859,8951,1,1,1
Q,U,S,40,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,7444,678,3966,1,1,1
Q,U,S,40,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,53377,19857,2917,1,1,1
Q,U,S,40,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,37874,11206,2141,1,1,1
Q,U,S,40,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,45974,3287,3457,1,1,1
Q,U,S,40,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,105313,5548,2546,1,1,1
Q,U,S,40,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,40964,4204,5160,1,1,1
Q,U,S,40,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,161029,19023,2564,1,1,1
Q,U,S,40,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,15887,1961,2855,1,1,1
Q,U,S,40,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,16797,2111,1996,1,1,1
Q,U,S,40,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,52944,16192,1375,1,1,1
Q,U,S,40,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,66805,19574,1113,1,1,1
Q,U,S,40,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,17665,3290,2883,1,1,1
Q,U,S,40,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,17189,2744,1807,1,1,1
Q,U,S,40,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,40290,1917,3344,1,1,1
Q,U,S,40,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,38962,1853,2810,1,1,1
Q,U,S,40,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,739499,147423,4351,1,1,1
Q,U,S,40,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,706077,132301,2626,1,1,1
Q,U,S,40,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,7450,1024,3137,1,1,1
Q,U,S,40,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,3060,416,2486,1,1,1
Q,U,S,40,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,39846,9165,9552,1,1,1
Q,U,S,40,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,12137,1247,6402,1,1,1
Q,U,S,40,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,12359,485,6283,1,1,1
Q,U,S,40,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,4053,184,4482,1,1,1
Q,U,S,40,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,60590,15114,3887,1,1,1
Q,U,S,40,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,12851,2365,2741,1,1,1
Q,U,S,40,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,100613,12266,4444,1,1,1
Q,U,S,40,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,30775,3579,3140,1,1,1
Q,U,S,40,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,41635,5584,4831,1,1,1
Q,U,S,40,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,16575,2427,3196,1,1,1
Q,U,S,40,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,81116,17234,2839,1,1,1
Q,U,S,40,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,84672,21169,1770,1,1,1
