periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,41,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,767622,96221,4288,1,1,1
Q,U,S,41,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,767343,84248,2796,1,1,1
Q,U,S,41,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,23468,6060,2462,1,1,1
Q,U,S,41,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,9701,3391,1725,1,1,1
Q,U,S,41,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,1248,97,3141,1,1,1
Q,U,S,41,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,212,15,2560,1,1,1
Q,U,S,41,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,4919,151,6816,1,1,1
Q,U,S,41,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1993,68,5192,1,1,1
Q,U,S,41,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,54163,9251,3836,1,1,1
Q,U,S,41,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,12510,2060,2764,1,1,1
Q,U,S,41,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,117576,8497,5834,1,1,1
Q,U,S,41,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,43076,3289,3883,1,1,1
Q,U,S,41,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,49455,3887,5580,1,1,1
Q,U,S,41,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,21188,1911,3945,1,1,1
Q,U,S,41,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,88934,9433,2630,1,1,1
Q,U,S,41,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,89978,8192,1810,1,1,1
Q,U,S,41,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,35521,4168,3512,1,1,1
Q,U,S,41,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,14315,1110,2673,1,1,1
Q,U,S,41,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,20208,2361,5897,1,1,1
Q,U,S,41,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,12393,1479,3962,1,1,1
Q,U,S,41,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,19503,1481,8851,1,1,1
