periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,42,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,2608128,274450,4537,1,1,1
Q,U,S,42,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,2698190,237205,2951,1,1,1
Q,U,S,42,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,13098,1663,2535,1,1,1
Q,U,S,42,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,6707,952,1826,1,1,1
Q,U,S,42,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,25025,4501,5864,1,1,1
Q,U,S,42,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,2471,419,4692,1,1,1
Q,U,S,42,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,24996,595,8385,1,1,1
Q,U,S,42,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,7187,214,5763,1,1,1
Q,U,S,42,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,175787,27302,4048,1,1,1
Q,U,S,42,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,28051,2958,2887,1,1,1
Q,U,S,42,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,408810,23256,4847,1,1,1
Q,U,S,42,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,151006,7838,3675,1,1,1
Q,U,S,42,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,158613,11317,5608,1,1,1
Q,U,S,42,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,65557,4688,4225,1,1,1
Q,U,S,42,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,296729,30850,2670,1,1,1
Q,U,S,42,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,323547,29913,1673,1,1,1
Q,U,S,42,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,155783,15561,3481,1,1,1
Q,U,S,42,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,65936,4718,2360,1,1,1
Q,U,S,42,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,54647,3877,5836,1,1,1
Q,U,S,42,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,41353,2991,3913,1,1,1
Q,U,S,42,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,107231,6160,8342,1,1,1
Q,U,S,42,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,168767,7409,4563,1,1,1
Q,U,S,42,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,32836,3132,4360,1,1,1
Q,U,S,42,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,23883,1849,3095,1,1,1
Q,U,S,42,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,164966,14932,7438,1,1,1
Q,U,S,42,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,146950,13886,4672,1,1,1
Q,U,S,42,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,64610,4522,8424,1,1,1
Q,U,S,42,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,62153,4072,4907,1,1,1
Q,U,S,42,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,152404,48829,2956,1,1,1
Q,U,S,42,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,115765,30949,2248,1,1,1
