periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,44,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,195455,19953,4491,1,1,1
Q,U,S,44,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,227225,19993,2926,1,1,1
Q,U,S,44,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,261,20,1942,1,1,1
Q,U,S,44,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,160,18,1301,1,1,1
Q,U,S,44,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,113,14,3363,1,9,1
Q,U,S,44,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,18,,2615,1,5,1
Q,U,S,44,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,1144,24,6367,1,9,1
Q,U,S,44,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,230,6,4145,1,1,1
Q,U,S,44,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,11947,1719,4057,1,1,1
Q,U,S,44,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,2495,292,2976,1,1,1
Q,U,S,44,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,27156,1362,4770,1,1,1
Q,U,S,44,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,13390,694,2871,1,1,1
Q,U,S,44,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,10055,863,5910,1,1,1
Q,U,S,44,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,5236,503,4020,1,1,1
Q,U,S,44,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,23282,2369,2603,1,1,1
Q,U,S,44,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,23044,1916,1680,1,1,1
Q,U,S,44,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,6485,499,3761,1,1,1
Q,U,S,44,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,3255,115,2590,1,1,1
Q,U,S,44,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,5556,366,6234,1,1,1
Q,U,S,44,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,4786,291,3851,1,1,1
Q,U,S,44,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,8611,513,10679,1,1,1
Q,U,S,44,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,13980,617,4778,1,1,1
Q,U,S,44,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,3302,329,3389,1,1,1
Q,U,S,44,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,2117,239,2601,1,1,1
Q,U,S,44,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,10230,1101,6271,1,1,1
Q,U,S,44,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,10133,1073,3595,1,1,1
Q,U,S,44,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,4010,233,11691,1,1,1
Q,U,S,44,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,5616,251,5788,1,1,1
Q,U,S,44,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,11664,3237,2710,1,1,1
Q,U,S,44,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,9476,2370,2061,1,1,1
Q,U,S,44,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,16746,1613,4289,1,1,1
Q,U,S,44,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,30450,2378,3558,1,1,1
Q,U,S,44,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,16834,1156,4535,1,1,1
Q,U,S,44,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,61559,4269,2898,1,1,1
Q,U,S,44,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,3653,385,2776,1,1,1
Q,U,S,44,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,3089,311,1587,1,1,1
Q,U,S,44,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,16813,2953,1471,1,1,1
Q,U,S,44,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,21330,3381,1114,1,1,1
Q,U,S,44,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,7986,813,2767,1,1,1
Q,U,S,44,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,9780,985,1812,1,1,1
Q,U,S,44,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,9605,386,5095,1,1,1
Q,U,S,44,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,7081,282,4143,1,9,9
Q,U,S,44,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,209474,29747,4485,1,1,1
Q,U,S,44,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,231231,29766,2994,1,1,1
Q,U,S,44,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,520,118,2594,1,1,1
Q,U,S,44,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,311,92,1831,1,1,1
Q,U,S,44,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,171,14,4354,1,1,1
Q,U,S,44,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,16,,3096,1,5,1
Q,U,S,44,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,1142,38,6786,1,1,9
Q,U,S,44,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,227,13,4257,1,1,1
Q,U,S,44,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,14995,3134,4540,1,1,1
Q,U,S,44,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,2830,436,3184,1,1,1
Q,U,S,44,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,27140,1556,4698,1,1,1
Q,U,S,44,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,13323,821,2900,1,1,1
Q,U,S,44,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,10527,869,5696,1,1,1
Q,U,S,44,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,5434,448,4001,1,1,1
Q,U,S,44,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,23780,3513,2828,1,1,1
Q,U,S,44,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,23328,3789,1900,1,1,1
Q,U,S,44,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,6632,747,3690,1,1,1
Q,U,S,44,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,2849,328,2338,1,1,1
Q,U,S,44,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,5902,543,5691,1,1,1
Q,U,S,44,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,4900,345,3905,1,1,1
Q,U,S,44,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,8742,674,8643,1,1,1
Q,U,S,44,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,13708,700,4397,1,1,1
Q,U,S,44,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,3652,461,3587,1,1,1
