periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,45,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,820545,118258,3978,1,1,1
Q,U,S,45,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,871576,107396,2493,1,1,1
Q,U,S,45,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,6778,1214,2600,1,1,1
Q,U,S,45,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2339,499,1602,1,1,1
Q,U,S,45,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,987,61,4409,1,9,1
Q,U,S,45,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,129,11,3756,1,9,1
Q,U,S,45,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,13775,233,7561,1,1,1
Q,U,S,45,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4347,83,4888,1,1,1
Q,U,S,45,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,59953,11268,3581,1,1,1
Q,U,S,45,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,13053,2078,2652,1,1,1
Q,U,S,45,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,150903,12788,4884,1,1,1
Q,U,S,45,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,62861,5049,3217,1,1,1
Q,U,S,45,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,45302,3701,5095,1,1,1
Q,U,S,45,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,18531,1770,3644,1,1,1
Q,U,S,45,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,100366,14029,2543,1,1,1
Q,U,S,45,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,118002,14894,1587,1,1,1
Q,U,S,45,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,34008,4137,3255,1,1,1
Q,U,S,45,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,12932,1264,2358,1,1,1
Q,U,S,45,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,15816,1372,4748,1,1,1
Q,U,S,45,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,13541,1238,3381,1,1,1
Q,U,S,45,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,20760,1605,8307,1,1,1
Q,U,S,45,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,47090,2704,3617,1,1,1
Q,U,S,45,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,12448,1456,3328,1,1,1
Q,U,S,45,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,11892,1458,2451,1,1,1
Q,U,S,45,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,38422,5401,6212,1,1,1
Q,U,S,45,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,36822,5532,3249,1,1,1
Q,U,S,45,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,8084,559,6126,1,1,1
Q,U,S,45,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,8258,576,3696,1,1,1
Q,U,S,45,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,72870,25856,3215,1,1,1
Q,U,S,45,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,51980,16678,2171,1,1,1
