periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,46,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,175213,19676,3513,1,1,1
Q,U,S,46,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,190759,18330,2269,1,1,1
Q,U,S,46,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,2855,424,2624,1,1,1
Q,U,S,46,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,968,202,1983,1,1,1
Q,U,S,46,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,627,28,4306,1,1,1
Q,U,S,46,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,77,4,3371,1,1,1
Q,U,S,46,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,1718,38,6263,1,9,1
Q,U,S,46,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,683,15,4127,9,9,9
Q,U,S,46,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,15661,2052,3026,1,1,1
Q,U,S,46,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,2173,239,2011,1,1,1
Q,U,S,46,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,26377,2532,3658,1,1,1
Q,U,S,46,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,10950,732,2640,1,1,1
Q,U,S,46,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,14344,1060,4305,1,1,1
Q,U,S,46,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,4212,373,2642,1,1,1
Q,U,S,46,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,23578,2375,2551,1,1,1
Q,U,S,46,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,25681,2579,1488,1,1,1
Q,U,S,46,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,7419,814,3175,1,1,1
Q,U,S,46,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,1949,165,2287,1,1,1
Q,U,S,46,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,3788,225,3970,1,1,1
Q,U,S,46,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,2765,204,2591,1,1,1
Q,U,S,46,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,7763,430,6008,1,1,1
Q,U,S,46,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,15939,759,3056,1,1,1
Q,U,S,46,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,1969,194,2564,1,1,1
Q,U,S,46,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,1700,156,1935,1,1,1
Q,U,S,46,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,5611,564,5014,1,1,1
Q,U,S,46,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,5880,773,2878,1,1,1
Q,U,S,46,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,1763,86,10509,1,1,1
Q,U,S,46,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,2311,122,3905,1,1,1
Q,U,S,46,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,6092,2498,2547,1,1,1
Q,U,S,46,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,6267,1734,1922,1,1,1
Q,U,S,46,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,11330,877,3471,1,1,1
Q,U,S,46,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,24629,1438,2623,1,1,1
Q,U,S,46,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,10905,764,5524,1,1,1
Q,U,S,46,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,47313,3323,2557,1,1,1
Q,U,S,46,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,3392,494,1819,1,1,1
Q,U,S,46,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,3654,595,1316,1,1,1
Q,U,S,46,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,14330,2968,1289,1,1,1
Q,U,S,46,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,19618,3784,975,1,1,1
Q,U,S,46,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,4899,676,2710,1,1,1
Q,U,S,46,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,4795,613,1605,1,1,1
Q,U,S,46,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,10792,577,2796,1,1,1
Q,U,S,46,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,9195,519,2237,1,1,1
Q,U,S,46,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,190186,33441,3731,1,1,1
Q,U,S,46,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,195909,32617,2409,1,1,1
Q,U,S,46,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,3339,688,2889,1,1,1
Q,U,S,46,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,1206,237,2103,1,1,1
Q,U,S,46,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,835,109,5035,1,9,1
Q,U,S,46,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,108,33,3787,1,9,1
Q,U,S,46,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,1815,46,6509,1,9,1
Q,U,S,46,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,685,21,4152,9,9,9
Q,U,S,46,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,20514,5804,3715,1,1,1
Q,U,S,46,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,2697,718,2438,1,1,1
Q,U,S,46,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,28271,3403,3821,1,1,1
Q,U,S,46,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,11508,1281,2815,1,1,1
Q,U,S,46,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,14969,1358,4548,1,1,1
Q,U,S,46,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,4431,524,2875,1,1,1
Q,U,S,46,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,24592,4144,2745,1,1,1
Q,U,S,46,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,26657,5261,1668,1,1,1
Q,U,S,46,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,7615,1034,3490,1,1,1
Q,U,S,46,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,1929,262,2430,1,1,1
Q,U,S,46,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,3823,306,4051,1,1,1
Q,U,S,46,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,2765,295,2772,1,1,1
Q,U,S,46,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,7711,527,5366,1,1,1
Q,U,S,46,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,15561,912,3102,1,1,1
Q,U,S,46,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,2131,351,2795,1,1,1
Q,U,S,46,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,1835,252,2094,1,1,1
Q,U,S,46,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,5840,645,5679,1,1,1
Q,U,S,46,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,5842,718,3036,1,1,1
Q,U,S,46,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,1887,128,7528,1,1,1
Q,U,S,46,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,2407,184,3712,1,1,1
Q,U,S,46,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,7246,3250,2671,1,1,1
Q,U,S,46,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,6699,2875,2078,1,1,1
Q,U,S,46,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,9430,1209,3382,1,1,1
Q,U,S,46,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,18917,2015,2393,1,1,1
Q,U,S,46,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,11135,964,6521,1,1,1
Q,U,S,46,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,48176,4510,2858,1,1,1
