periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,47,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1236980,160264,4387,1,1,1
Q,U,S,47,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1253304,137268,2754,1,1,1
Q,U,S,47,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,4388,1024,2259,1,1,1
Q,U,S,47,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,1565,335,1721,1,1,1
Q,U,S,47,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,2933,242,5632,1,1,1
Q,U,S,47,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,291,23,5773,1,1,1
Q,U,S,47,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,12291,226,4761,1,1,1
Q,U,S,47,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4095,111,3809,1,1,1
Q,U,S,47,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,84763,14449,3591,1,1,1
Q,U,S,47,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,14486,2106,2645,1,1,1
Q,U,S,47,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,216120,14280,5013,1,1,1
Q,U,S,47,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,88848,4853,3542,1,1,1
Q,U,S,47,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,79165,6487,5325,1,1,1
Q,U,S,47,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,36222,3141,3622,1,1,1
Q,U,S,47,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,149745,18426,3011,1,1,1
Q,U,S,47,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,158768,17747,1874,1,1,1
Q,U,S,47,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,92801,10812,4219,1,1,1
Q,U,S,47,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,31168,2514,2719,1,1,1
Q,U,S,47,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,25369,1724,5355,1,1,1
Q,U,S,47,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,19934,1286,3726,1,1,1
Q,U,S,47,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,33259,2504,10948,1,1,1
Q,U,S,47,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,67773,3845,4035,1,1,1
Q,U,S,47,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,17238,1820,3747,1,1,1
