periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,49,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,596769,78922,4183,1,1,1
Q,U,S,49,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,511172,59685,2329,1,1,1
Q,U,S,49,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,2648,373,2461,1,1,1
Q,U,S,49,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,1186,233,1637,1,1,1
Q,U,S,49,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,9570,1292,7069,1,1,1
Q,U,S,49,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,1201,153,4494,1,1,1
Q,U,S,49,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,4856,161,6676,1,1,1
Q,U,S,49,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,1218,43,4262,1,1,1
Q,U,S,49,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,50103,9021,3495,1,1,1
Q,U,S,49,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,10684,1868,2142,1,1,1
Q,U,S,49,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,79154,5333,4679,1,1,1
Q,U,S,49,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,32458,2061,2861,1,1,1
Q,U,S,49,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,32154,2961,5380,1,1,1
Q,U,S,49,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,12685,1305,3038,1,1,1
Q,U,S,49,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,67376,7991,2853,1,1,1
Q,U,S,49,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,65832,6879,1654,1,1,1
Q,U,S,49,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,33076,4555,3646,1,1,1
Q,U,S,49,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,13212,1147,2463,1,1,1
Q,U,S,49,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,18476,2254,6035,1,1,1
Q,U,S,49,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,11395,1516,3068,1,1,1
Q,U,S,49,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,22985,2188,6828,1,1,1
Q,U,S,49,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,28018,2182,3413,1,1,1
Q,U,S,49,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,9223,1184,3869,1,1,1
Q,U,S,49,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,6828,919,2313,1,1,1
Q,U,S,49,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,40157,5628,6209,1,1,1
Q,U,S,49,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,25644,3918,3113,1,1,1
Q,U,S,49,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,9507,890,7484,1,1,1
Q,U,S,49,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,8166,693,3331,1,1,1
Q,U,S,49,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,39937,12870,2974,1,1,1
Q,U,S,49,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,29561,7927,2041,1,1,1
Q,U,S,49,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,42586,4064,4027,1,1,1
Q,U,S,49,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,80523,6857,2533,1,1,1
Q,U,S,49,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,36788,3385,4887,1,1,1
Q,U,S,49,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,89081,7851,2366,1,1,1
Q,U,S,49,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,12581,1610,2519,1,1,1
Q,U,S,49,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,10484,1404,1245,1,1,1
Q,U,S,49,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,43418,9522,1522,1,1,1
Q,U,S,49,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,47864,9607,1187,1,1,1
Q,U,S,49,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,15493,2400,3030,1,1,1
Q,U,S,49,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,12597,2112,1587,1,1,1
Q,U,S,49,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,26682,1239,3502,1,1,1
Q,U,S,49,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,22533,1008,2494,1,1,1
Q,U,S,49,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,618494,110854,4339,1,1,1
Q,U,S,49,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,504477,85422,2452,1,1,1
Q,U,S,49,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,3294,1002,2738,1,1,1
