periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,51,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1631910,192314,5170,1,1,1
Q,U,S,51,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1662937,175991,3147,1,1,1
Q,U,S,51,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,6876,1180,2492,1,1,1
Q,U,S,51,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,2841,604,1736,1,1,1
Q,U,S,51,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,7609,780,5667,1,1,1
Q,U,S,51,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,525,68,4013,1,1,1
Q,U,S,51,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,12536,345,8376,1,1,1
Q,U,S,51,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4060,133,5902,1,1,1
Q,U,S,51,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,148086,21075,3896,1,1,1
Q,U,S,51,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,29430,4313,2931,1,1,1
Q,U,S,51,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,169390,10811,4899,1,1,1
Q,U,S,51,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,65608,3575,3360,1,1,1
Q,U,S,51,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,77474,5674,6215,1,1,1
Q,U,S,51,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,32826,2859,4440,1,1,1
Q,U,S,51,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,195639,23020,2680,1,1,1
Q,U,S,51,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,210439,21641,1746,1,1,1
Q,U,S,51,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,72588,7623,3862,1,1,1
Q,U,S,51,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,29606,2439,2753,1,1,1
Q,U,S,51,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,46005,3454,8022,1,1,1
Q,U,S,51,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,32435,2348,5250,1,1,1
Q,U,S,51,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,42726,3178,12938,1,1,1
Q,U,S,51,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,76395,4513,5230,1,1,1
Q,U,S,51,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,26916,2780,4440,1,1,1
Q,U,S,51,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,23252,2542,3106,1,1,1
Q,U,S,51,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,228216,23471,8980,1,1,1
Q,U,S,51,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,163636,18302,5538,1,1,1
Q,U,S,51,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,34917,2128,12683,1,1,1
Q,U,S,51,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,36909,2309,5544,1,1,1
Q,U,S,51,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,110945,29693,3386,1,1,1
Q,U,S,51,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,83277,20473,2441,1,1,1
Q,U,S,51,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,102149,7599,3961,1,1,1
Q,U,S,51,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,246582,12549,3121,1,1,1
Q,U,S,51,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,81724,8089,5529,1,1,1
Q,U,S,51,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,323835,31384,2931,1,1,1
Q,U,S,51,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,22613,3326,2589,1,1,1
Q,U,S,51,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,24336,3506,1655,1,1,1
Q,U,S,51,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,130529,27761,1606,1,1,1
Q,U,S,51,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,153618,31138,1255,1,1,1
Q,U,S,51,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,55577,8032,3860,1,1,1
Q,U,S,51,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,68593,8857,2580,1,1,1
Q,U,S,51,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,59396,2293,3751,1,1,1
Q,U,S,51,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,54734,2441,3079,1,1,1
Q,U,S,51,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1707319,266166,5205,1,1,1
Q,U,S,51,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1689309,252836,3253,1,1,1
Q,U,S,51,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,8808,2712,2722,1,1,1
Q,U,S,51,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,3839,1607,1975,1,1,1
Q,U,S,51,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,8178,995,6039,1,1,1
Q,U,S,51,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,580,61,4140,1,1,1
Q,U,S,51,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,14159,453,6912,1,1,1
Q,U,S,51,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,4663,219,4939,1,1,1
Q,U,S,51,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,162579,30576,4354,1,1,1
Q,U,S,51,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,32178,5445,3319,1,1,1
Q,U,S,51,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,173750,14040,4891,1,1,1
Q,U,S,51,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,65878,5177,3490,1,1,1
Q,U,S,51,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,79905,7374,6505,1,1,1
Q,U,S,51,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,33502,3328,4699,1,1,1
Q,U,S,51,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,198454,34042,2879,1,1,1
Q,U,S,51,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,211122,39417,1918,1,1,1
Q,U,S,51,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,3,68805,11248,4094,1,1,1
Q,U,S,51,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,3,29280,3855,2915,1,1,1
Q,U,S,51,S,51,A00,1,A00,A0,A0,E0,0,0,2011,3,48421,4186,7386,1,1,1
Q,U,S,51,S,51,A00,2,A00,A0,A0,E0,0,0,2011,3,33994,2978,4949,1,1,1
Q,U,S,51,S,52,A00,1,A00,A0,A0,E0,0,0,2011,3,46098,4422,8434,1,1,1
Q,U,S,51,S,52,A00,2,A00,A0,A0,E0,0,0,2011,3,80527,5991,4459,1,1,1
Q,U,S,51,S,53,A00,1,A00,A0,A0,E0,0,0,2011,3,28099,4256,4644,1,1,1
Q,U,S,51,S,53,A00,2,A00,A0,A0,E0,0,0,2011,3,24519,3588,3366,1,1,1
Q,U,S,51,S,54,A00,1,A00,A0,A0,E0,0,0,2011,3,233833,26539,9371,1,1,1
Q,U,S,51,S,54,A00,2,A00,A0,A0,E0,0,0,2011,3,166810,18993,5912,1,1,1
Q,U,S,51,S,55,A00,1,A00,A0,A0,E0,0,0,2011,3,36416,3098,8768,1,1,1
Q,U,S,51,S,55,A00,2,A00,A0,A0,E0,0,0,2011,3,37705,3182,4923,1,1,1
Q,U,S,51,S,56,A00,1,A00,A0,A0,E0,0,0,2011,3,121627,40023,3748,1,1,1
Q,U,S,51,S,56,A00,2,A00,A0,A0,E0,0,0,2011,3,86847,27882,2722,1,1,1
Q,U,S,51,S,61,A00,1,A00,A0,A0,E0,0,0,2011,3,92748,11644,4060,1,1,1
Q,U,S,51,S,61,A00,2,A00,A0,A0,E0,0,0,2011,3,214939,21204,2919,1,1,1
Q,U,S,51,S,62,A00,1,A00,A0,A0,E0,0,0,2011,3,83317,10193,6308,1,1,1
Q,U,S,51,S,62,A00,2,A00,A0,A0,E0,0,0,2011,3,324366,41925,3196,1,1,1
Q,U,S,51,S,71,A00,1,A00,A0,A0,E0,0,0,2011,3,38660,7111,2827,1,1,1
Q,U,S,51,S,71,A00,2,A00,A0,A0,E0,0,0,2011,3,37581,6385,1912,1,1,1
Q,U,S,51,S,72,A00,1,A00,A0,A0,E0,0,0,2011,3,141631,39830,1781,1,1,1
Q,U,S,51,S,72,A00,2,A00,A0,A0,E0,0,0,2011,3,168709,47297,1425,1,1,1
Q,U,S,51,S,81,A00,1,A00,A0,A0,E0,0,0,2011,3,60060,9844,4077,1,1,1
Q,U,S,51,S,81,A00,2,A00,A0,A0,E0,0,0,2011,3,74146,10757,2737,1,1,1
Q,U,S,51,S,92,A00,1,A00,A0,A0,E0,0,0,2011,3,61773,3580,4056,1,1,1
Q,U,S,51,S,92,A00,2,A00,A0,A0,E0,0,0,2011,3,58124,3544,3286,1,1,1
Q,U,S,51,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,1667563,206854,5472,1,1,1
Q,U,S,51,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,1701655,195824,3364,1,1,1
Q,U,S,51,S,11,A00,1,A00,A0,A0,E0,0,0,2012,1,7599,1390,2639,1,1,1
Q,U,S,51,S,11,A00,2,A00,A0,A0,E0,0,0,2012,1,3136,750,1888,1,1,1
Q,U,S,51,S,21,A00,1,A00,A0,A0,E0,0,0,2012,1,8363,895,5904,1,1,1
Q,U,S,51,S,21,A00,2,A00,A0,A0,E0,0,0,2012,1,534,78,4198,1,1,1
Q,U,S,51,S,22,A00,1,A00,A0,A0,E0,0,0,2012,1,13519,357,8004,1,1,1
Q,U,S,51,S,22,A00,2,A00,A0,A0,E0,0,0,2012,1,4508,148,5735,1,1,1
Q,U,S,51,S,23,A00,1,A00,A0,A0,E0,0,0,2012,1,146224,23315,4044,1,1,1
Q,U,S,51,S,23,A00,2,A00,A0,A0,E0,0,0,2012,1,29726,4882,3130,1,1,1
Q,U,S,51,S,31-33,A00,1,A00,A0,A0,E0,0,0,2012,1,177376,12384,5269,1,1,1
Q,U,S,51,S,31-33,A00,2,A00,A0,A0,E0,0,0,2012,1,66304,4043,3687,1,1,1
Q,U,S,51,S,42,A00,1,A00,A0,A0,E0,0,0,2012,1,79101,6347,6400,1,1,1
Q,U,S,51,S,42,A00,2,A00,A0,A0,E0,0,0,2012,1,33054,3229,4755,1,1,1
Q,U,S,51,S,44-45,A00,1,A00,A0,A0,E0,0,0,2012,1,191010,24458,2893,1,1,1
Q,U,S,51,S,44-45,A00,2,A00,A0,A0,E0,0,0,2012,1,204728,24941,1880,1,1,1
Q,U,S,51,S,48-49,A00,1,A00,A0,A0,E0,0,0,2012,1,74184,7954,4182,1,1,1
Q,U,S,51,S,48-49,A00,2,A00,A0,A0,E0,0,0,2012,1,30578,2789,3071,1,1,1
Q,U,S,51,S,51,A00,1,A00,A0,A0,E0,0,0,2012,1,46600,3283,8614,1,1,1
Q,U,S,51,S,51,A00,2,A00,A0,A0,E0,0,0,2012,1,32511,2535,5631,1,1,1
Q,U,S,51,S,52,A00,1,A00,A0,A0,E0,0,0,2012,1,46576,3603,12964,1,1,1
Q,U,S,51,S,52,A00,2,A00,A0,A0,E0,0,0,2012,1,79265,5481,5621,1,1,1
Q,U,S,51,S,53,A00,1,A00,A0,A0,E0,0,0,2012,1,27776,2935,4898,1,1,1
Q,U,S,51,S,53,A00,2,A00,A0,A0,E0,0,0,2012,1,24145,2923,3391,1,1,1
Q,U,S,51,S,54,A00,1,A00,A0,A0,E0,0,0,2012,1,231659,24044,9461,1,1,1
