periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,50,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,137529,13970,3888,1,1,1
Q,U,S,50,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,149183,14021,2623,1,1,1
Q,U,S,50,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,1534,195,2389,1,1,1
Q,U,S,50,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,739,101,1780,1,1,1
Q,U,S,50,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,453,10,4024,1,1,1
Q,U,S,50,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,72,,3496,1,5,1
Q,U,S,50,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,1648,40,8256,1,1,1
Q,U,S,50,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,543,17,6301,1,1,1
Q,U,S,50,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,10648,1201,3346,1,1,1
Q,U,S,50,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,1793,163,2596,1,1,1
Q,U,S,50,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,21963,1133,5134,1,1,1
Q,U,S,50,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,8940,543,3646,1,1,1
Q,U,S,50,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,6762,520,4479,1,1,1
Q,U,S,50,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,2696,252,3325,1,1,1
Q,U,S,50,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,18152,1841,2502,1,1,1
Q,U,S,50,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,18587,1926,1598,1,1,1
Q,U,S,50,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,5250,461,3207,1,1,1
Q,U,S,50,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,2092,148,2390,1,1,1
Q,U,S,50,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,2814,240,4477,1,1,1
Q,U,S,50,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,2624,151,3179,1,1,1
Q,U,S,50,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,2592,110,9593,1,1,1
Q,U,S,50,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,6345,264,4179,1,1,1
Q,U,S,50,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,1549,176,2952,1,1,1
Q,U,S,50,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,1311,148,2310,1,1,1
Q,U,S,50,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,7062,662,6201,1,1,1
Q,U,S,50,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,6763,649,3758,1,1,1
Q,U,S,50,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,734,57,7650,1,1,1
Q,U,S,50,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,647,64,3892,1,1,1
Q,U,S,50,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,5063,1366,2630,1,1,1
Q,U,S,50,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,3715,854,2351,1,1,1
Q,U,S,50,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,12650,1293,3602,1,1,1
Q,U,S,50,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,26187,1886,2761,1,1,1
