periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,53,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1325595,147413,5077,1,1,1
Q,U,S,53,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1333889,131220,3189,1,1,1
Q,U,S,53,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,40524,10966,2348,1,1,1
Q,U,S,53,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,21764,6481,1633,1,1,1
Q,U,S,53,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,1669,148,4732,1,1,1
Q,U,S,53,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,321,27,3563,1,1,1
Q,U,S,53,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,10949,317,6811,1,1,1
Q,U,S,53,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,4749,158,5069,1,1,1
Q,U,S,53,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,96606,17597,4257,1,1,1
Q,U,S,53,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,19911,3843,3008,1,1,1
Q,U,S,53,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,181677,12083,6023,1,1,1
Q,U,S,53,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,65929,4160,4595,1,1,1
Q,U,S,53,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,79740,6450,6092,1,1,1
Q,U,S,53,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,35082,3215,4144,1,1,1
Q,U,S,53,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,143582,14354,3204,1,1,1
Q,U,S,53,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,155620,13063,2175,1,1,1
Q,U,S,53,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,65219,5983,4697,1,1,1
Q,U,S,53,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,26848,1810,3635,1,1,1
Q,U,S,53,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,73929,3959,9879,1,1,1
Q,U,S,53,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,38552,2476,6579,1,1,1
Q,U,S,53,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,30841,2297,11102,1,1,1
Q,U,S,53,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,57291,3392,5088,1,1,1
Q,U,S,53,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,22804,2550,4046,1,1,1
Q,U,S,53,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,21338,2425,3091,1,1,1
Q,U,S,53,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,82898,10198,7685,1,1,1
Q,U,S,53,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,73680,8972,4603,1,1,1
Q,U,S,53,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,16797,815,8050,1,1,1
Q,U,S,53,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,19835,860,4711,1,1,1
Q,U,S,53,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,75448,17894,4146,1,1,1
Q,U,S,53,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,52317,11387,3009,1,1,1
Q,U,S,53,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,78620,5332,3988,1,1,1
Q,U,S,53,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,170138,8800,3020,1,1,1
Q,U,S,53,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,79699,7003,5358,1,1,1
Q,U,S,53,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,274810,23140,3279,1,1,1
Q,U,S,53,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,29824,3920,2481,1,1,1
Q,U,S,53,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,30319,3787,1795,1,1,1
Q,U,S,53,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,92780,16271,1694,1,1,1
Q,U,S,53,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,112877,18667,1452,1,1,1
Q,U,S,53,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,49149,7142,2693,1,1,1
Q,U,S,53,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,93062,12542,1446,1,1,1
Q,U,S,53,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,72839,2135,5137,1,1,1
Q,U,S,53,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,59444,2014,3956,1,1,1
Q,U,S,53,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1437445,292888,5659,1,1,1
Q,U,S,53,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1399771,242544,3452,1,1,1
Q,U,S,53,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,66508,76348,2648,1,1,1
Q,U,S,53,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,38630,49765,1920,1,1,1
Q,U,S,53,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,1993,247,5550,1,1,1
Q,U,S,53,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,357,57,3855,1,1,1
Q,U,S,53,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,11567,339,7372,1,1,1
Q,U,S,53,S,22,A00,2,A00,A0,A0,E0,0,0,2011,3,5018,158,5237,1,1,1
Q,U,S,53,S,23,A00,1,A00,A0,A0,E0,0,0,2011,3,109542,33109,4944,1,1,1
Q,U,S,53,S,23,A00,2,A00,A0,A0,E0,0,0,2011,3,22490,6274,3397,1,1,1
Q,U,S,53,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,3,195203,19036,5927,1,1,1
Q,U,S,53,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,3,70998,8421,4494,1,1,1
Q,U,S,53,S,42,A00,1,A00,A0,A0,E0,0,0,2011,3,84406,9128,6119,1,1,1
Q,U,S,53,S,42,A00,2,A00,A0,A0,E0,0,0,2011,3,37072,4894,4271,1,1,1
Q,U,S,53,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,3,151372,24544,3422,1,1,1
Q,U,S,53,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,3,160466,27134,2369,1,1,1
