periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,HirN,EarnS,sEmp,sHirN,sEarnS
Q,U,S,56,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,135292,19919,4521,1,1,1
Q,U,S,56,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,120795,15057,2561,1,1,1
Q,U,S,56,S,11,A00,1,A00,A0,A0,E0,0,0,2011,1,1600,246,2581,1,1,1
Q,U,S,56,S,11,A00,2,A00,A0,A0,E0,0,0,2011,1,575,104,1738,1,1,1
Q,U,S,56,S,21,A00,1,A00,A0,A0,E0,0,0,2011,1,22844,2877,7320,1,1,1
Q,U,S,56,S,21,A00,2,A00,A0,A0,E0,0,0,2011,1,3172,317,4968,1,1,1
Q,U,S,56,S,22,A00,1,A00,A0,A0,E0,0,0,2011,1,2232,57,6344,1,1,1
Q,U,S,56,S,22,A00,2,A00,A0,A0,E0,0,0,2011,1,481,12,4138,1,1,1
Q,U,S,56,S,23,A00,1,A00,A0,A0,E0,0,0,2011,1,15297,3713,3608,1,1,1
Q,U,S,56,S,23,A00,2,A00,A0,A0,E0,0,0,2011,1,2680,542,2466,1,1,1
Q,U,S,56,S,31-33,A00,1,A00,A0,A0,E0,0,0,2011,1,6830,720,5098,1,1,1
Q,U,S,56,S,31-33,A00,2,A00,A0,A0,E0,0,0,2011,1,1875,206,2756,1,1,1
Q,U,S,56,S,42,A00,1,A00,A0,A0,E0,0,0,2011,1,6368,732,5133,1,1,1
Q,U,S,56,S,42,A00,2,A00,A0,A0,E0,0,0,2011,1,2097,252,2698,1,1,1
Q,U,S,56,S,44-45,A00,1,A00,A0,A0,E0,0,0,2011,1,13115,1875,2714,1,1,1
Q,U,S,56,S,44-45,A00,2,A00,A0,A0,E0,0,0,2011,1,15083,2044,1743,1,1,1
Q,U,S,56,S,48-49,A00,1,A00,A0,A0,E0,0,0,2011,1,6889,1014,4088,1,1,1
Q,U,S,56,S,48-49,A00,2,A00,A0,A0,E0,0,0,2011,1,2027,234,2443,1,1,1
Q,U,S,56,S,51,A00,1,A00,A0,A0,E0,0,0,2011,1,2274,200,3808,1,1,1
Q,U,S,56,S,51,A00,2,A00,A0,A0,E0,0,0,2011,1,2176,165,2275,1,1,1
Q,U,S,56,S,52,A00,1,A00,A0,A0,E0,0,0,2011,1,1748,126,7402,1,1,1
Q,U,S,56,S,52,A00,2,A00,A0,A0,E0,0,0,2011,1,4919,315,3024,1,1,1
Q,U,S,56,S,53,A00,1,A00,A0,A0,E0,0,0,2011,1,2281,379,4265,1,1,1
Q,U,S,56,S,53,A00,2,A00,A0,A0,E0,0,0,2011,1,1689,228,2150,1,1,1
Q,U,S,56,S,54,A00,1,A00,A0,A0,E0,0,0,2011,1,4365,550,5571,1,1,1
Q,U,S,56,S,54,A00,2,A00,A0,A0,E0,0,0,2011,1,4397,791,2829,1,1,1
Q,U,S,56,S,55,A00,1,A00,A0,A0,E0,0,0,2011,1,868,56,9581,9,1,1
Q,U,S,56,S,55,A00,2,A00,A0,A0,E0,0,0,2011,1,362,35,4822,1,1,1
Q,U,S,56,S,56,A00,1,A00,A0,A0,E0,0,0,2011,1,3729,1447,2686,1,1,1
Q,U,S,56,S,56,A00,2,A00,A0,A0,E0,0,0,2011,1,2888,902,1877,1,1,1
Q,U,S,56,S,61,A00,1,A00,A0,A0,E0,0,0,2011,1,9414,759,4125,1,1,1
Q,U,S,56,S,61,A00,2,A00,A0,A0,E0,0,0,2011,1,20447,1076,3006,1,1,1
Q,U,S,56,S,62,A00,1,A00,A0,A0,E0,0,0,2011,1,6611,698,5388,1,1,1
Q,U,S,56,S,62,A00,2,A00,A0,A0,E0,0,0,2011,1,26081,2701,2824,1,1,1
Q,U,S,56,S,71,A00,1,A00,A0,A0,E0,0,0,2011,1,1248,374,1821,1,1,1
Q,U,S,56,S,71,A00,2,A00,A0,A0,E0,0,0,2011,1,1510,251,1394,1,1,1
Q,U,S,56,S,72,A00,1,A00,A0,A0,E0,0,0,2011,1,12146,2815,1666,1,1,1
Q,U,S,56,S,72,A00,2,A00,A0,A0,E0,0,0,2011,1,15312,3721,1283,1,1,1
Q,U,S,56,S,81,A00,1,A00,A0,A0,E0,0,0,2011,1,4304,845,3638,1,1,1
Q,U,S,56,S,81,A00,2,A00,A0,A0,E0,0,0,2011,1,3856,691,1921,1,1,1
Q,U,S,56,S,92,A00,1,A00,A0,A0,E0,0,0,2011,1,11127,437,4063,1,1,1
Q,U,S,56,S,92,A00,2,A00,A0,A0,E0,0,0,2011,1,9167,471,3353,1,1,1
Q,U,S,56,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,149532,35626,4738,1,1,1
Q,U,S,56,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,125963,26536,2656,1,1,1
Q,U,S,56,S,11,A00,1,A00,A0,A0,E0,0,0,2011,3,2171,360,2768,1,1,1
Q,U,S,56,S,11,A00,2,A00,A0,A0,E0,0,0,2011,3,850,175,1913,1,1,1
Q,U,S,56,S,21,A00,1,A00,A0,A0,E0,0,0,2011,3,24324,4155,7153,1,1,1
Q,U,S,56,S,21,A00,2,A00,A0,A0,E0,0,0,2011,3,3467,501,4810,1,1,1
Q,U,S,56,S,22,A00,1,A00,A0,A0,E0,0,0,2011,3,2273,65,7635,1,1,1
