geography,industry,sex,year,quarter,Emp,HirN,EarnS
02,00,1,2011,1,146872,21960,4836
02,00,2,2011,1,142004,17666,3040
02,11,1,2011,1,517,290,3510
02,11,2,2011,1,162,72,1980
02,21,1,2011,1,12601,838,11160
02,21,2,2011,1,1719,132,10005
02,22,1,2011,1,1562,101,6636
02,22,2,2011,1,645,44,4485
02,23,1,2011,1,10916,2475,4722
02,23,2,2011,1,1952,436,3247
02,31-33,1,2011,1,6782,2872,3617
02,31-33,2,2011,1,2722,836,2324
02,42,1,2011,1,4498,459,4996
02,42,2,2011,1,1665,200,3189
02,44-45,1,2011,1,17939,2319,2933
02,44-45,2,2011,1,16750,2121,2051
02,48-49,1,2011,1,13156,1288,5693
02,48-49,2,2011,1,4674,409,3405
02,51,1,2011,1,3715,270,5118
02,51,2,2011,1,2631,214,4184
02,52,1,2011,1,2540,234,7925
02,52,2,2011,1,6206,421,4297
02,53,1,2011,1,2757,410,3489
02,53,2,2011,1,2070,286,2784
02,54,1,2011,1,7809,1168,6234
02,54,2,2011,1,6541,1079,3764
02,55,1,2011,1,829,129,6667
02,55,2,2011,1,654,109,4355
02,56,1,2011,1,6550,1312,3726
02,56,2,2011,1,4117,1062,2641
02,61,1,2011,1,10462,1074,3604
02,61,2,2011,1,21665,1339,2949
02,62,1,2011,1,10035,1177,4310
02,62,2,2011,1,31924,3464,3195
02,71,1,2011,1,1543,500,1579
02,71,2,2011,1,2169,456,1174
02,72,1,2011,1,11854,3098,1887
02,72,2,2011,1,12483,2997,1506
02,81,1,2011,1,4051,772,3304
02,81,2,2011,1,5342,968,2242
02,92,1,2011,1,16759,1170,4627
02,92,2,2011,1,15913,1022,3655
02,00,1,2011,3,177926,40456,5210
02,00,2,2011,3,154464,31212,3173
02,11,1,2011,3,1142,753,4444
02,11,2,2011,3,416,268,2711
02,21,1,2011,3,14190,1372,9860
02,21,2,2011,3,1989,233,8022
02,22,1,2011,3,1727,156,7582
02,22,2,2011,3,696,44,4740
02,23,1,2011,3,16518,6747,6900
02,23,2,2011,3,2821,1021,4313
02,31-33,1,2011,3,14046,5784,4136
02,31-33,2,2011,3,5314,3450,2901
02,42,1,2011,3,5603,874,4922
02,42,2,2011,3,2094,427,3360
02,44-45,1,2011,3,20021,4106,3159
02,44-45,2,2011,3,18985,4454,2274
02,48-49,1,2011,3,16814,2024,5768
02,48-49,2,2011,3,6776,875,3232
02,51,1,2011,3,3910,330,5515
02,51,2,2011,3,2699,294,4179
02,52,1,2011,3,2704,366,6686
02,52,2,2011,3,6507,619,4190
02,53,1,2011,3,3301,960,3942
02,53,2,2011,3,2408,535,3065
02,54,1,2011,3,8994,1621,7182
02,54,2,2011,3,7035,1151,4337
02,55,1,2011,3,1051,172,6369
02,55,2,2011,3,775,120,4244
02,56,1,2011,3,8036,2428,4327
02,56,2,2011,3,4872,1457,2886
02,61,1,2011,3,7387,1064,3020
02,61,2,2011,3,14453,1721,2105
02,62,1,2011,3,10760,1609,4899
02,62,2,2011,3,33520,4561,3597
02,71,1,2011,3,2786,1007,2208
02,71,2,2011,3,3273,965,1571
02,72,1,2011,3,16438,5867,2312
02,72,2,2011,3,17329,6050,1894
02,81,1,2011,3,4443,1116,3709
02,81,2,2011,3,5724,1263,2440
02,92,1,2011,3,18057,2100,5068
02,92,2,2011,3,16778,1707,3888
02,00,1,2012,1,150612,24592,5154
02,00,2,2012,1,142797,18543,3242
02,11,1,2012,1,512,180,3775
02,11,2,2012,1,159,38,2336
02,21,1,2012,1,13234,1429,11807
02,21,2,2012,1,1875,208,10975
02,22,1,2012,1,1489,104,7322
02,22,2,2012,1,636,50,4826
02,23,1,2012,1,11572,2970,5129
02,23,2,2012,1,1995,469,3506
02,31-33,1,2012,1,7723,2841,4058
02,31-33,2,2012,1,2918,1039,2637
02,42,1,2012,1,4469,391,5038
02,42,2,2012,1,1645,192,3279
02,44-45,1,2012,1,18059,2422,3068
02,44-45,2,2012,1,16937,2278,2136
02,48-49,1,2012,1,13504,1394,5829
02,48-49,2,2012,1,4840,429,3427
02,51,1,2012,1,3642,259,5706
02,51,2,2012,1,2614,233,4423
02,52,1,2012,1,2493,260,8753
02,52,2,2012,1,5957,529,4651
02,53,1,2012,1,2741,453,3888
02,53,2,2012,1,2048,267,2926
02,54,1,2012,1,8076,1211,6653
02,54,2,2012,1,6560,996,4045
02,55,1,2012,1,932,377,6437
02,55,2,2012,1,914,138,4183
02,56,1,2012,1,6867,2019,3981
02,56,2,2012,1,4157,1204,2848
02,61,1,2012,1,9871,1020,3761
02,61,2,2012,1,20476,1306,3082
02,62,1,2012,1,10662,1196,4629
02,62,2,2012,1,33159,3462,3451
02,71,1,2012,1,1727,460,1745
02,71,2,2012,1,2217,465,1325
02,72,1,2012,1,11792,3175,2003
02,72,2,2012,1,12378,3190,1595
02,81,1,2012,1,4019,789,3553
02,81,2,2012,1,5253,856,2414
02,92,1,2012,1,17228,1643,4891
02,92,2,2012,1,16059,1193,3851
02,00,1,2012,3,181612,39830,5174
02,00,2,2012,3,156595,30181,3146
02,11,1,2012,3,1006,486,4323
02,11,2,2012,3,364,163,2559
02,21,1,2012,3,15201,1563,9800
02,21,2,2012,3,2185,237,8224
02,22,1,2012,3,1763,157,7742
02,22,2,2012,3,698,55,4789
02,23,1,2012,3,17245,6962,6726
02,23,2,2012,3,2959,1062,4235
02,31-33,1,2012,3,14221,5790,4220
02,31-33,2,2012,3,5658,2612,2878
02,42,1,2012,3,4890,663,4871
02,42,2,2012,3,1826,278,3266
02,44-45,1,2012,3,19943,4026,3119
02,44-45,2,2012,3,18908,4294,2214
02,48-49,1,2012,3,16857,2169,5724
02,48-49,2,2012,3,6948,898,3093
02,51,1,2012,3,3766,352,5440
02,51,2,2012,3,2701,285,4138
02,52,1,2012,3,2653,285,6587
02,52,2,2012,3,6159,617,4331
02,53,1,2012,3,3201,910,3840
02,53,2,2012,3,2355,616,2963
02,54,1,2012,3,9462,1590,7129
02,54,2,2012,3,7218,1167,4263
02,55,1,2012,3,1331,214,5360
02,55,2,2012,3,959,147,3913
02,56,1,2012,3,8331,2318,4148
02,56,2,2012,3,5006,1588,2836
02,61,1,2012,3,7345,923,2944
02,61,2,2012,3,14145,1472,2073
02,62,1,2012,3,11361,1529,4625
02,62,2,2012,3,34494,4550,3459
02,71,1,2012,3,3014,979,2170
02,71,2,2012,3,3290,944,1630
02,72,1,2012,3,16543,5654,2301
02,72,2,2012,3,17746,6182,1869
02,81,1,2012,3,4454,1089,3737
02,81,2,2012,3,5681,1170,2437
02,92,1,2012,3,19026,2171,5165
02,92,2,2012,3,17294,1843,4022
02,00,1,2013,1,152469,23378,5227
02,00,2,2013,1,144159,18394,3317
02,11,1,2013,1,495,135,3525
02,11,2,2013,1,153,36,2164
02,21,1,2013,1,13840,1296,12028
02,21,2,2013,1,1960,174,11155
02,22,1,2013,1,1533,83,7320
02,22,2,2013,1,656,34,4845
02,23,1,2013,1,11385,2895,5120
02,23,2,2013,1,1983,471,3513
02,31-33,1,2013,1,7632,2450,4041
02,31-33,2,2013,1,2994,842,2626
02,42,1,2013,1,4711,471,5099
02,42,2,2013,1,1681,210,3330
02,44-45,1,2013,1,18204,2386,3075
02,44-45,2,2013,1,16750,2197,2150
02,48-49,1,2013,1,13579,1327,5896
02,48-49,2,2013,1,4792,407,3562
02,51,1,2013,1,3523,272,5588
02,51,2,2013,1,2516,234,4292
02,52,1,2013,1,2006,152,8456
02,52,2,2013,1,5261,423,4592
