geography,industry,sex,year,quarter,Emp,HirN,EarnS
01,00,1,2011,1,858937,112119,3919
01,00,2,2011,1,864207,95631,2546
01,11,1,2011,1,8757,1267,2851
01,11,2,2011,1,2260,354,2036
01,21,1,2011,1,6920,435,5914
01,21,2,2011,1,696,35,4451
01,22,1,2011,1,15334,620,7219
01,22,2,2011,1,5259,227,5480
01,23,1,2011,1,65403,13193,3484
01,23,2,2011,1,11580,1755,2604
01,31-33,1,2011,1,172683,12817,4461
01,31-33,2,2011,1,65567,4503,3021
01,42,1,2011,1,51165,3899,4704
01,42,2,2011,1,19561,1583,3330
01,44-45,1,2011,1,102259,13464,2626
01,44-45,2,2011,1,121408,14750,1742
01,48-49,1,2011,1,39785,4986,3413
01,48-49,2,2011,1,13900,1121,2538
01,51,1,2011,1,13557,760,4650
01,51,2,2011,1,10822,880,3570
01,52,1,2011,1,21635,1872,7073
01,52,2,2011,1,47295,2777,3622
01,53,1,2011,1,11891,1343,3355
01,53,2,2011,1,10573,1289,2544
01,54,1,2011,1,50193,4734,6337
01,54,2,2011,1,43086,4824,3579
01,55,1,2011,1,7882,860,5679
01,55,2,2011,1,8767,892,3158
01,56,1,2011,1,58069,22662,2463
01,56,2,2011,1,40661,12624,1863
01,61,1,2011,1,45732,2445,3822
01,61,2,2011,1,118946,4980,2859
01,62,1,2011,1,42574,3248,5068
01,62,2,2011,1,189023,15308,2660
01,71,1,2011,1,8098,1241,1927
01,71,2,2011,1,7553,1237,1323
01,72,1,2011,1,60868,17531,1437
01,72,2,2011,1,85554,22468,1185
01,81,1,2011,1,22446,3145,3180
01,81,2,2011,1,22044,2849,1988
01,92,1,2011,1,53685,1597,3125
01,92,2,2011,1,39653,1174,2593
01,00,1,2011,3,884401,143135,4148
01,00,2,2011,3,863564,127130,2736
01,11,1,2011,3,8746,1322,3231
01,11,2,2011,3,2257,310,2251
01,21,1,2011,3,7151,856,5758
01,21,2,2011,3,701,69,4325
01,22,1,2011,3,15872,453,5951
01,22,2,2011,3,5445,205,4468
01,23,1,2011,3,68032,16299,3813
01,23,2,2011,3,12014,1936,2820
