geography,industry,sex,year,quarter,Emp,HirN,EarnS
05,00,1,2011,1,542201,77588,3900
05,00,2,2011,1,553106,66960,2446
05,11,1,2011,1,8388,1566,2534
05,11,2,2011,1,1991,475,1900
05,21,1,2011,1,7826,1249,6141
05,21,2,2011,1,1009,112,3986
05,22,1,2011,1,8109,198,5622
05,22,2,2011,1,2291,64,3874
05,23,1,2011,1,41660,7468,3175
05,23,2,2011,1,7634,1023,2361
05,31-33,1,2011,1,110430,9577,3778
05,31-33,2,2011,1,49104,3698,2466
05,42,1,2011,1,33295,3330,5193
05,42,2,2011,1,12749,1292,3651
05,44-45,1,2011,1,58570,8786,2981
05,44-45,2,2011,1,65086,9596,1758
05,48-49,1,2011,1,38367,6131,3635
05,48-49,2,2011,1,10770,1080,2974
05,51,1,2011,1,9364,603,4986
05,51,2,2011,1,7458,541,3500
05,52,1,2011,1,10479,677,9213
05,52,2,2011,1,23833,1229,3207
05,53,1,2011,1,6803,896,2829
05,53,2,2011,1,5958,650,2125
05,54,1,2011,1,18258,2709,5455
05,54,2,2011,1,18486,3450,3082
05,55,1,2011,1,15418,900,9452
05,55,2,2011,1,16158,791,4718
05,56,1,2011,1,30155,12412,2468
05,56,2,2011,1,22378,7118,1955
05,61,1,2011,1,30318,1796,3413
05,61,2,2011,1,81535,3593,2638
05,62,1,2011,1,34145,3269,5085
05,62,2,2011,1,141703,14401,2456
05,71,1,2011,1,5992,1022,2079
05,71,2,2011,1,4741,905,1422
05,72,1,2011,1,36466,11306,1292
05,72,2,2011,1,47333,13863,1060
05,81,1,2011,1,12066,2079,2615
05,81,2,2011,1,11822,1923,1764
05,92,1,2011,1,26094,1613,2939
05,92,2,2011,1,21068,1155,2552
05,00,1,2011,3,561379,99169,3856
05,00,2,2011,3,541715,90434,2478
05,11,1,2011,3,9980,1854,2949
05,11,2,2011,3,2353,604,2082
05,21,1,2011,3,8277,1966,6153
05,21,2,2011,3,1053,161,3828
05,22,1,2011,3,8177,263,5334
05,22,2,2011,3,2359,76,3656
05,23,1,2011,3,46030,10880,3678
05,23,2,2011,3,8250,1299,2649
05,31-33,1,2011,3,111230,10705,3834
05,31-33,2,2011,3,48239,4164,2682
05,42,1,2011,3,34710,3718,5096
05,42,2,2011,3,13088,1560,3778
05,44-45,1,2011,3,60199,10960,2885
05,44-45,2,2011,3,65267,14578,1824
05,48-49,1,2011,3,39143,7768,3875
05,48-49,2,2011,3,11118,1488,3000
05,51,1,2011,3,9231,801,4753
05,51,2,2011,3,7540,623,3349
05,52,1,2011,3,10714,847,6841
05,52,2,2011,3,23832,1689,3126
05,53,1,2011,3,7198,1132,3189
05,53,2,2011,3,6186,798,2336
05,54,1,2011,3,19151,2491,5713
05,54,2,2011,3,18442,2349,3323
05,55,1,2011,3,16037,1109,5324
05,55,2,2011,3,16453,1165,3459
05,56,1,2011,3,33936,17006,2660
05,56,2,2011,3,23350,10039,2165
05,61,1,2011,3,24368,3543,3106
05,61,2,2011,3,58852,6979,1954
05,62,1,2011,3,35196,4582,5818
05,62,2,2011,3,143421,20239,2775
05,71,1,2011,3,8244,1436,2320
05,71,2,2011,3,6366,1113,1639
05,72,1,2011,3,39442,13969,1418
05,72,2,2011,3,51450,18089,1179
05,81,1,2011,3,13133,2502,2969
