geography,industry,sex,year,quarter,Emp,HirN,EarnS
04,00,1,2011,1,1170175,172443,4520
04,00,2,2011,1,1131896,138357,2981
04,11,1,2011,1,22856,5790,2274
04,11,2,2011,1,10149,2434,1830
04,21,1,2011,1,10359,706,7540
04,21,2,2011,1,3543,269,6539
04,22,1,2011,1,16015,321,7566
04,22,2,2011,1,5933,157,5283
04,23,1,2011,1,90963,18520,3804
04,23,2,2011,1,20325,3025,2952
04,31-33,1,2011,1,110381,7969,7042
04,31-33,2,2011,1,43841,2830,4763
04,42,1,2011,1,66103,6406,6160
04,42,2,2011,1,29925,3269,4400
04,44-45,1,2011,1,143712,18880,3081
04,44-45,2,2011,1,137876,14731,2088
04,48-49,1,2011,1,51220,5669,4307
04,48-49,2,2011,1,22679,1778,3142
04,51,1,2011,1,23576,1861,5336
04,51,2,2011,1,14933,1263,4083
04,52,1,2011,1,47687,4922,8039
04,52,2,2011,1,73481,5812,4854
04,53,1,2011,1,24330,3139,4360
04,53,2,2011,1,20956,2677,3001
04,54,1,2011,1,64949,9832,6904
04,54,2,2011,1,57683,8662,3824
04,55,1,2011,1,11207,1049,6433
04,55,2,2011,1,13147,997,4125
04,56,1,2011,1,110689,33857,3239
04,56,2,2011,1,84029,23005,2473
04,61,1,2011,1,72685,5706,3307
04,61,2,2011,1,145846,8447,2698
04,62,1,2011,1,74024,7671,5428
04,62,2,2011,1,224910,22752,3128
04,71,1,2011,1,26387,4160,3109
04,71,2,2011,1,21243,2889,1879
04,72,1,2011,1,107507,27253,1774
04,72,2,2011,1,111608,25867,1473
04,81,1,2011,1,33401,6428,3055
04,81,2,2011,1,33929,5402,2131
04,92,1,2011,1,62125,2305,4016
04,92,2,2011,1,55858,2091,3066
04,00,1,2011,3,1160946,205925,4535
04,00,2,2011,3,1085652,172111,3080
04,11,1,2011,3,13416,4570,2471
04,11,2,2011,3,4776,1782,1934
04,21,1,2011,3,9224,751,5574
04,21,2,2011,3,1866,164,4791
04,22,1,2011,3,16003,377,6765
04,22,2,2011,3,6063,211,4955
04,23,1,2011,3,96656,26049,4178
04,23,2,2011,3,20988,3912,3294
04,31-33,1,2011,3,110636,9609,6322
04,31-33,2,2011,3,43747,3660,4577
04,42,1,2011,3,66504,7624,6064
04,42,2,2011,3,29841,3593,4457
04,44-45,1,2011,3,143819,25251,3208
04,44-45,2,2011,3,134817,23954,2241
04,48-49,1,2011,3,50045,6379,4374
04,48-49,2,2011,3,21211,2187,3214
04,51,1,2011,3,23856,2386,5259
04,51,2,2011,3,15065,1718,4054
04,52,1,2011,3,49971,5766,6319
04,52,2,2011,3,75350,7322,4341
04,53,1,2011,3,24366,3511,4318
04,53,2,2011,3,21095,2871,3125
04,54,1,2011,3,66396,10693,7146
04,54,2,2011,3,57218,8562,4174
04,55,1,2011,3,12284,1548,5924
04,55,2,2011,3,13823,1420,3766
04,56,1,2011,3,112472,42267,3272
04,56,2,2011,3,82074,28311,2582
04,61,1,2011,3,56002,8457,3631
04,61,2,2011,3,104603,14948,2588
04,62,1,2011,3,76369,9695,6031
04,62,2,2011,3,228626,28481,3398
04,71,1,2011,3,27002,4110,3453
04,71,2,2011,3,21805,3189,2024
04,72,1,2011,3,109795,27438,1778
04,72,2,2011,3,113279,27286,1505
04,81,1,2011,3,34242,6189,3226
04,81,2,2011,3,34378,5340,2209
04,92,1,2011,3,61888,3255,4554
04,92,2,2011,3,55027,3203,3504
04,00,1,2012,1,1192686,185327,4735
04,00,2,2012,1,1140664,151799,3135
04,11,1,2012,1,23099,5701,2417
04,11,2,2012,1,10326,2491,1894
04,21,1,2012,1,9477,641,8322
04,21,2,2012,1,1958,146,8280
04,22,1,2012,1,15922,360,7764
04,22,2,2012,1,5968,189,5481
04,23,1,2012,1,91386,21580,3990
04,23,2,2012,1,19926,3425,3149
04,31-33,1,2012,1,113500,9151,7401
04,31-33,2,2012,1,44108,3589,5056
04,42,1,2012,1,65830,6478,6568
04,42,2,2012,1,29891,3287,4742
04,44-45,1,2012,1,151587,19569,3168
04,44-45,2,2012,1,146077,15646,2228
04,48-49,1,2012,1,50873,5382,4272
04,48-49,2,2012,1,21549,1863,3071
04,51,1,2012,1,24809,2148,5556
04,51,2,2012,1,15279,1625,4247
04,52,1,2012,1,50180,4743,8458
04,52,2,2012,1,74620,6341,5151
04,53,1,2012,1,24758,3523,4812
04,53,2,2012,1,21473,3093,3232
04,54,1,2012,1,64283,9358,6906
04,54,2,2012,1,57233,8874,4049
04,55,1,2012,1,13167,1570,7662
04,55,2,2012,1,13306,1509,4122
04,56,1,2012,1,112566,36713,3452
04,56,2,2012,1,86300,25101,2569
04,61,1,2012,1,71134,5837,3467
04,61,2,2012,1,139801,9400,2778
04,62,1,2012,1,77603,9101,5600
04,62,2,2012,1,230770,25615,3313
04,71,1,2012,1,26999,4311,3579
04,71,2,2012,1,20493,3208,1954
04,72,1,2012,1,111148,30266,1946
04,72,2,2012,1,114850,28343,1628
04,81,1,2012,1,33091,6494,3196
04,81,2,2012,1,32487,5565,2228
04,92,1,2012,1,61273,2401,4150
04,92,2,2012,1,54248,2488,3244
04,00,1,2012,3,1185996,205147,4405
04,00,2,2012,3,1104015,171254,2986
04,11,1,2012,3,12496,3295,2533
04,11,2,2012,3,4474,1267,2033
04,21,1,2012,3,10392,867,5787
04,21,2,2012,3,2217,221,5133
04,22,1,2012,3,14314,474,6830
04,22,2,2012,3,5429,258,5055
04,23,1,2012,3,99580,27195,4112
04,23,2,2012,3,21275,4177,3230
04,31-33,1,2012,3,116046,9470,6144
04,31-33,2,2012,3,44921,3465,4505
04,42,1,2012,3,67875,7173,5853
04,42,2,2012,3,31003,3648,4331
04,44-45,1,2012,3,151720,24034,3084
04,44-45,2,2012,3,140716,21648,2156
04,48-49,1,2012,3,50809,6477,4260
04,48-49,2,2012,3,21126,2031,3079
04,51,1,2012,3,23740,2451,5249
04,51,2,2012,3,15109,1770,3999
04,52,1,2012,3,51122,5066,6449
04,52,2,2012,3,74352,7046,4321
04,53,1,2012,3,24654,3616,4290
04,53,2,2012,3,21614,2973,3087
04,54,1,2012,3,66135,10817,6917
04,54,2,2012,3,57169,8381,4183
04,55,1,2012,3,12536,1440,5964
04,55,2,2012,3,13568,1226,3724
04,56,1,2012,3,117947,42607,3188
04,56,2,2012,3,87336,28828,2552
04,61,1,2012,3,58801,8333,3351
04,61,2,2012,3,111646,15811,2427
04,62,1,2012,3,77964,10033,5768
04,62,2,2012,3,229439,28417,3293
04,71,1,2012,3,26683,4170,3519
04,71,2,2012,3,21114,3132,1929
04,72,1,2012,3,111199,27613,1733
04,72,2,2012,3,114357,27101,1476
04,81,1,2012,3,33780,6137,3159
04,81,2,2012,3,33385,5749,2196
04,92,1,2012,3,58203,3880,4263
04,92,2,2012,3,53765,4106,3278
04,00,1,2013,1,1226518,191065,4735
04,00,2,2013,1,1163672,160044,3155
04,11,1,2013,1,22027,5825,2377
04,11,2,2013,1,10023,2633,1838
04,21,1,2013,1,10422,676,7802
04,21,2,2013,1,2215,139,7691
04,22,1,2013,1,15747,533,7928
04,22,2,2013,1,6007,184,5732
04,23,1,2013,1,99031,21875,4046
04,23,2,2013,1,21332,3825,3252
04,31-33,1,2013,1,115528,8326,7226
04,31-33,2,2013,1,44137,3226,5118
04,42,1,2013,1,67155,6610,6291
04,42,2,2013,1,30485,3365,4608
04,44-45,1,2013,1,151264,20208,3114
04,44-45,2,2013,1,143790,16526,2165
04,48-49,1,2013,1,51704,5768,4470
04,48-49,2,2013,1,21885,1860,3281
04,51,1,2013,1,24926,2639,5710
04,51,2,2013,1,14901,1682,4430
04,52,1,2013,1,52442,6864,8944
04,52,2,2013,1,75288,10794,5358
04,53,1,2013,1,25278,3438,4567
04,53,2,2013,1,21660,3147,3248
04,54,1,2013,1,67351,10122,7374
04,54,2,2013,1,58438,9335,4218
04,55,1,2013,1,13131,1484,6835
04,55,2,2013,1,14035,1288,3893
04,56,1,2013,1,120007,36682,3407
04,56,2,2013,1,92385,26551,2726
04,61,1,2013,1,71395,5324,3501
04,61,2,2013,1,143311,8241,2747
04,62,1,2013,1,79672,8927,5470
04,62,2,2013,1,234762,25654,3289
04,71,1,2013,1,27692,4354,3281
04,71,2,2013,1,21351,3470,1993
04,72,1,2013,1,115845,32763,1904
04,72,2,2013,1,119568,30367,1599
04,81,1,2013,1,33985,6066,3224
04,81,2,2013,1,33903,5343,2224
04,92,1,2013,1,61914,2582,4248
04,92,2,2013,1,54196,2414,3310
04,00,1,2013,3,1225499,216882,4466
04,00,2,2013,3,1128101,187070,3033
04,11,1,2013,3,12215,3625,2608
04,11,2,2013,3,4584,1623,2088
04,21,1,2013,3,10558,629,5924
04,21,2,2013,3,2311,122,5361
04,22,1,2013,3,15342,475,6444
04,22,2,2013,3,5874,207,4786
04,23,1,2013,3,106844,26481,4164
04,23,2,2013,3,23143,4494,3302
04,31-33,1,2013,3,116599,9400,6161
04,31-33,2,2013,3,44791,3899,4532
04,42,1,2013,3,67780,7143,6013
04,42,2,2013,3,30487,3638,4431
04,44-45,1,2013,3,151485,27408,3060
04,44-45,2,2013,3,141815,25411,2131
04,48-49,1,2013,3,50380,7161,4331
04,48-49,2,2013,3,21121,2538,3172
04,51,1,2013,3,27309,2784,5365
04,51,2,2013,3,16097,1887,4208
04,52,1,2013,3,55953,5613,6432
04,52,2,2013,3,79434,6976,4374
04,53,1,2013,3,25323,3589,4335
04,53,2,2013,3,22040,3265,3185
04,54,1,2013,3,68724,9443,7233
04,54,2,2013,3,58720,8378,4291
04,55,1,2013,3,13964,1882,6651
04,55,2,2013,3,14258,1494,3864
04,56,1,2013,3,125071,45428,3251
04,56,2,2013,3,93377,30672,2669
04,61,1,2013,3,56399,7956,3393
04,61,2,2013,3,106153,14892,2461
04,62,1,2013,3,80303,12193,5770
04,62,2,2013,3,232770,34359,3304
04,71,1,2013,3,27636,4361,3769
04,71,2,2013,3,21945,3466,1964
04,72,1,2013,3,117641,31925,1811
04,72,2,2013,3,120783,31127,1536
04,81,1,2013,3,33828,6058,3288
04,81,2,2013,3,33475,5400,2360
04,92,1,2013,3,62145,3327,4181
04,92,2,2013,3,54922,3224,3303
04,00,1,2014,1,1262145,201660,4866
04,00,2,2014,1,1196709,164014,3225
04,11,1,2014,1,22323,5601,2520
04,11,2,2014,1,10243,2463,1966
04,21,1,2014,1,10247,655,7823
04,21,2,2014,1,2206,110,7761
04,22,1,2014,1,15462,505,7833
04,22,2,2014,1,5949,213,5622
04,23,1,2014,1,104044,22052,4256
04,23,2,2014,1,23442,4513,3390
04,31-33,1,2014,1,116767,9129,7255
04,31-33,2,2014,1,45148,3627,5088
04,42,1,2014,1,64024,6091,6581
04,42,2,2014,1,27655,2871,4784
04,44-45,1,2014,1,159898,23141,3201
04,44-45,2,2014,1,150319,18356,2221
04,48-49,1,2014,1,52064,6620,4714
04,48-49,2,2014,1,22085,2426,3479
04,51,1,2014,1,28064,2575,6183
04,51,2,2014,1,16364,1595,4934
04,52,1,2014,1,53563,5384,8952
04,52,2,2014,1,76185,6609,5267
04,53,1,2014,1,26075,3516,4840
04,53,2,2014,1,22150,2872,3400
04,54,1,2014,1,68759,10030,7786
04,54,2,2014,1,60176,9664,4339
04,55,1,2014,1,14596,1632,8000
04,55,2,2014,1,15082,1442,4521
04,56,1,2014,1,121287,40906,3535
04,56,2,2014,1,93774,29647,2858
04,61,1,2014,1,74992,5478,3592
04,61,2,2014,1,149735,7997,2813
04,62,1,2014,1,83237,9442,5501
04,62,2,2014,1,240351,25433,3346
04,71,1,2014,1,28773,4860,3610
04,71,2,2014,1,23005,3702,2012
04,72,1,2014,1,122270,35134,1967
04,72,2,2014,1,125359,32330,1651
04,81,1,2014,1,34172,6538,3443
04,81,2,2014,1,34028,5858,2409
04,92,1,2014,1,61528,2372,4125
04,92,2,2014,1,53454,2287,3265
04,00,1,2014,3,1247847,220470,4585
04,00,2,2014,3,1159054,195557,3133
04,11,1,2014,3,12125,3514,2678
04,11,2,2014,3,4543,1412,2147
04,21,1,2014,3,10391,600,5906
04,21,2,2014,3,2288,169,5342
04,22,1,2014,3,15874,587,7511
04,22,2,2014,3,6150,218,5552
04,23,1,2014,3,103596,23804,4147
04,23,2,2014,3,24241,4336,3377
04,31-33,1,2014,3,116756,9441,6293
04,31-33,2,2014,3,45078,4025,4600
04,42,1,2014,3,65463,6122,6213
04,42,2,2014,3,28497,3145,4730
04,44-45,1,2014,3,159943,28874,3124
04,44-45,2,2014,3,146652,26457,2196
04,48-49,1,2014,3,52139,7108,4424
04,48-49,2,2014,3,22116,2625,3203
04,51,1,2014,3,28743,2897,5477
04,51,2,2014,3,16906,2196,4340
04,52,1,2014,3,57711,7359,6534
04,52,2,2014,3,80235,10462,4510
04,53,1,2014,3,26022,3502,4446
04,53,2,2014,3,22182,3043,3311
04,54,1,2014,3,70644,10969,7347
04,54,2,2014,3,60408,9360,4368
04,55,1,2014,3,14593,1943,6491
04,55,2,2014,3,15266,1646,4042
04,56,1,2014,3,125092,45409,3358
04,56,2,2014,3,96313,33442,2748
04,61,1,2014,3,59720,8691,3428
04,61,2,2014,3,113927,16306,2496
04,62,1,2014,3,85239,11852,5857
04,62,2,2014,3,241602,31442,3434
04,71,1,2014,3,27409,5279,3911
04,71,2,2014,3,22007,4190,1984
04,72,1,2014,3,118466,32132,1839
04,72,2,2014,3,120823,31164,1567
04,81,1,2014,3,34605,6465,3595
04,81,2,2014,3,34394,5831,2407
04,92,1,2014,3,63317,3922,4534
04,92,2,2014,3,55426,4085,3496
04,00,1,2015,1,1290256,212796,4948
04,00,2,2015,1,1230941,179395,3305
04,11,1,2015,1,22547,5897,2600
04,11,2,2015,1,10576,2782,2015
04,21,1,2015,1,9758,444,8109
04,21,2,2015,1,2143,144,8111
04,22,1,2015,1,15830,552,7906
04,22,2,2015,1,6020,255,5776
04,23,1,2015,1,101288,21065,4241
04,23,2,2015,1,24031,4642,3436
04,31-33,1,2015,1,115405,9146,7361
04,31-33,2,2015,1,45099,3914,5184
04,42,1,2015,1,64119,6132,6895
04,42,2,2015,1,28172,2994,5139
04,44-45,1,2015,1,165369,24755,3256
04,44-45,2,2015,1,152466,20840,2231
04,48-49,1,2015,1,55415,7106,4738
04,48-49,2,2015,1,23601,2856,3550
04,51,1,2015,1,28954,4078,6377
04,51,2,2015,1,16680,2630,4855
04,52,1,2015,1,56276,5887,9108
04,52,2,2015,1,77861,7175,5527
04,53,1,2015,1,26221,3565,4882
04,53,2,2015,1,22671,2911,3517
04,54,1,2015,1,69651,10353,7872
