geography,industry,sex,year,quarter,Emp,HirN,EarnS
06,00,1,2011,1,7076266,889117,5493
06,00,2,2011,1,6874091,771904,3590
06,11,1,2011,1,195968,74804,2117
06,11,2,2011,1,108997,48948,1575
06,21,1,2011,1,21020,1377,11596
06,21,2,2011,1,3940,225,10466
06,22,1,2011,1,74757,1914,9322
06,22,2,2011,1,30077,876,7476
06,23,1,2011,1,428856,76271,4589
06,23,2,2011,1,107931,18108,3216
06,31-33,1,2011,1,811256,50154,7218
06,31-33,2,2011,1,402987,26984,4769
06,42,1,2011,1,405475,34665,6170
06,42,2,2011,1,226948,21506,4311
06,44-45,1,2011,1,754485,74214,3104
06,44-45,2,2011,1,713183,61270,2094
06,48-49,1,2011,1,305124,24553,4182
06,48-49,2,2011,1,130596,8911,3246
06,51,1,2011,1,315169,53457,7820
06,51,2,2011,1,186103,31046,5769
06,52,1,2011,1,206413,49937,15165
06,52,2,2011,1,306780,67058,6154
06,53,1,2011,1,129407,12722,5112
06,53,2,2011,1,112777,11084,3439
06,54,1,2011,1,554959,79409,9473
06,54,2,2011,1,456075,66748,5445
06,55,1,2011,1,103161,5938,9076
06,55,2,2011,1,114726,6036,5275
06,56,1,2011,1,492505,123342,3446
06,56,2,2011,1,345632,87976,2709
06,61,1,2011,1,435104,31278,4658
06,61,2,2011,1,886444,49101,3854
06,62,1,2011,1,431684,35874,5611
06,62,2,2011,1,1182893,90803,3838
06,71,1,2011,1,156513,20097,3931
06,71,2,2011,1,134232,16815,2333
06,72,1,2011,1,611011,93556,1869
06,72,2,2011,1,629376,93971,1558
06,81,1,2011,1,307283,37725,2617
06,81,2,2011,1,471445,57249,1592
06,92,1,2011,1,336115,7828,5938
06,92,2,2011,1,322949,7190,4505
06,00,1,2011,3,7312136,1238318,5391
06,00,2,2011,3,6897825,1069260,3617
06,11,1,2011,3,264860,147521,2596
06,11,2,2011,3,154978,104086,1983
06,21,1,2011,3,21799,2547,10563
06,21,2,2011,3,4035,377,7320
06,22,1,2011,3,75056,2372,8387
06,22,2,2011,3,30529,1138,6519
06,23,1,2011,3,465948,117685,5100
06,23,2,2011,3,115015,25338,3552
06,31-33,1,2011,3,827598,62420,6938
06,31-33,2,2011,3,414087,34519,4776
06,42,1,2011,3,418605,40070,6141
06,42,2,2011,3,234225,25584,4427
06,44-45,1,2011,3,760680,123839,3291
06,44-45,2,2011,3,708190,118197,2305
06,48-49,1,2011,3,313567,47647,4455
06,48-49,2,2011,3,131070,26716,3407
06,51,1,2011,3,318030,56305,8003
06,51,2,2011,3,188739,32555,5739
06,52,1,2011,3,209482,33410,10644
06,52,2,2011,3,306599,38617,5303
06,53,1,2011,3,134466,16880,4791
06,53,2,2011,3,115923,14231,3520
06,54,1,2011,3,583629,92922,8852
06,54,2,2011,3,471890,72661,5492
06,55,1,2011,3,103445,10223,7280
06,55,2,2011,3,114215,10425,4845
06,56,1,2011,3,517657,172852,3541
06,56,2,2011,3,353771,130944,2879
06,61,1,2011,3,385598,46882,4743
06,61,2,2011,3,748753,68952,3325
06,62,1,2011,3,440082,49373,6178
06,62,2,2011,3,1191177,114243,4209
06,71,1,2011,3,173740,29328,4157
06,71,2,2011,3,150454,25578,2524
06,72,1,2011,3,638557,129564,2009
06,72,2,2011,3,658787,147607,1704
06,81,1,2011,3,318611,46361,2757
06,81,2,2011,3,480527,67790,1661
06,92,1,2011,3,340727,10117,6369
06,92,2,2011,3,324858,9705,4791
06,00,1,2012,1,7270216,967832,5765
06,00,2,2012,1,6984568,814140,3817
06,11,1,2012,1,202651,82573,2265
06,11,2,2012,1,114006,55460,1694
06,21,1,2012,1,22307,2129,11759
06,21,2,2012,1,4088,321,11102
06,22,1,2012,1,75180,1878,9724
06,22,2,2012,1,30602,841,7752
06,23,1,2012,1,452352,87220,4862
06,23,2,2012,1,111669,20065,3423
06,31-33,1,2012,1,820989,54155,7606
06,31-33,2,2012,1,407296,28746,5177
06,42,1,2012,1,419108,39764,6449
06,42,2,2012,1,231819,24808,4586
06,44-45,1,2012,1,775284,83693,3331
06,44-45,2,2012,1,732613,74215,2251
06,48-49,1,2012,1,314115,25289,4491
06,48-49,2,2012,1,133846,9611,3517
06,51,1,2012,1,316375,48209,8006
06,51,2,2012,1,186570,28542,6082
06,52,1,2012,1,209096,31531,15215
06,52,2,2012,1,304927,28557,6623
06,53,1,2012,1,131972,14965,5626
06,53,2,2012,1,113318,12236,3734
06,54,1,2012,1,587607,88168,9875
06,54,2,2012,1,476656,71394,5799
06,55,1,2012,1,104253,7902,9284
06,55,2,2012,1,115325,9874,5663
06,56,1,2012,1,518050,145822,3782
06,56,2,2012,1,363426,107520,2900
06,61,1,2012,1,436124,31403,4927
06,61,2,2012,1,882774,48880,3989
06,62,1,2012,1,444932,40502,5939
06,62,2,2012,1,1195760,99851,4137
06,71,1,2012,1,159118,22439,4152
06,71,2,2012,1,136259,19075,2486
06,72,1,2012,1,636145,109318,1949
