geography,industry,sex,year,quarter,Emp,HirN,EarnS
08,00,1,2011,1,1067132,148618,4724
08,00,2,2011,1,1029715,125644,3137
08,11,1,2011,1,8142,1882,2602
08,11,2,2011,1,3992,1062,1981
08,21,1,2011,1,20468,3183,8709
08,21,2,2011,1,5155,512,8133
08,22,1,2011,1,11483,316,6446
08,22,2,2011,1,4030,113,5224
08,23,1,2011,1,87709,15246,4005
08,23,2,2011,1,19751,2938,2989
08,31-33,1,2011,1,93292,7319,5386
08,31-33,2,2011,1,38480,3063,4034
08,42,1,2011,1,63393,5865,6155
08,42,2,2011,1,28629,2744,4525
08,44-45,1,2011,1,114065,16172,2761
08,44-45,2,2011,1,113417,14545,1901
08,48-49,1,2011,1,42983,4990,3771
08,48-49,2,2011,1,15630,1491,2607
08,51,1,2011,1,45727,4031,7579
08,51,2,2011,1,30507,2517,5502
08,52,1,2011,1,38923,3754,8108
08,52,2,2011,1,59067,4478,4690
08,53,1,2011,1,22458,2911,3954
08,53,2,2011,1,19959,2575,3080
08,54,1,2011,1,97681,11303,7486
08,54,2,2011,1,74023,9475,4554
08,55,1,2011,1,17857,1530,8615
08,55,2,2011,1,16518,1330,5333
08,56,1,2011,1,69154,20273,3221
08,56,2,2011,1,54698,14621,2543
08,61,1,2011,1,61509,4882,4029
08,61,2,2011,1,134470,7782,3027
08,62,1,2011,1,56435,6606,5235
08,62,2,2011,1,199499,20799,3107
08,71,1,2011,1,24705,4229,2224
08,71,2,2011,1,23102,3631,1489
08,72,1,2011,1,104382,25563,1764
08,72,2,2011,1,108247,24050,1439
08,81,1,2011,1,31375,5996,3323
08,81,2,2011,1,32945,5380,2356
08,92,1,2011,1,55389,2567,4568
08,92,2,2011,1,47596,2536,3579
08,00,1,2011,3,1112123,197944,4914
08,00,2,2011,3,1051788,175143,3298
08,11,1,2011,3,9663,3663,2906
08,11,2,2011,3,4712,1964,2164
08,21,1,2011,3,22178,4521,7721
08,21,2,2011,3,5485,774,6162
08,22,1,2011,3,7977,396,6395
08,22,2,2011,3,3071,165,5224
08,23,1,2011,3,96224,23330,4595
08,23,2,2011,3,21056,4364,3440
08,31-33,1,2011,3,92047,9736,5420
08,31-33,2,2011,3,38233,4297,4059
08,42,1,2011,3,65330,6582,6289
08,42,2,2011,3,29410,3121,4645
08,44-45,1,2011,3,118775,23632,3013
08,44-45,2,2011,3,116967,24386,2082
08,48-49,1,2011,3,44597,5971,4051
08,48-49,2,2011,3,16347,1967,2837
08,51,1,2011,3,46210,3911,7194
08,51,2,2011,3,30427,2858,5143
08,52,1,2011,3,39747,3621,7047
08,52,2,2011,3,57633,5030,4359
08,53,1,2011,3,22741,3505,4216
08,53,2,2011,3,20071,2897,3253
08,54,1,2011,3,97393,11227,7867
08,54,2,2011,3,73480,8953,4823
08,55,1,2011,3,17727,2050,7657
08,55,2,2011,3,16538,1791,4824
08,56,1,2011,3,80629,29296,3569
08,56,2,2011,3,59003,19368,2818
08,61,1,2011,3,57179,7544,4370
08,61,2,2011,3,120741,14183,3211
08,62,1,2011,3,59445,8042,5833
08,62,2,2011,3,205824,26936,3392
08,71,1,2011,3,29083,6120,2627
08,71,2,2011,3,27707,5270,1685
08,72,1,2011,3,113225,34439,1954
08,72,2,2011,3,119908,36358,1630
08,81,1,2011,3,32821,6523,3703
08,81,2,2011,3,35018,6841,2601
08,92,1,2011,3,59133,3838,5070
08,92,2,2011,3,50158,3620,4134
08,00,1,2012,1,1108500,151183,5026
08,00,2,2012,1,1044978,129271,3301
08,11,1,2012,1,8675,1868,2735
