geography,industry,sex,year,quarter,Emp,HirN,EarnS
09,00,1,2011,1,743597,70729,7545
09,00,2,2011,1,803383,63796,3999
09,11,1,2011,1,1999,282,2799
09,11,2,2011,1,1260,171,1898
09,21,1,2011,1,389,30,4383
09,21,2,2011,1,75,4,2803
09,22,1,2011,1,6675,133,9314
09,22,2,2011,1,1751,85,5989
09,23,1,2011,1,39220,6256,4817
09,23,2,2011,1,8883,1132,3218
09,31-33,1,2011,1,119162,4961,7579
09,31-33,2,2011,1,49386,2082,5405
09,42,1,2011,1,43317,3194,7781
09,42,2,2011,1,18841,1364,5361
09,44-45,1,2011,1,89579,8583,3409
09,44-45,2,2011,1,86630,6874,1890
09,48-49,1,2011,1,25818,2429,4182
09,48-49,2,2011,1,12816,768,2580
09,51,1,2011,1,21177,1297,8227
09,51,2,2011,1,14891,848,5306
09,52,1,2011,1,52021,3049,28570
09,52,2,2011,1,64747,2692,9270
09,53,1,2011,1,10469,1138,6577
09,53,2,2011,1,8299,643,3965
09,54,1,2011,1,43745,4176,9849
09,54,2,2011,1,40793,4147,5337
09,55,1,2011,1,14357,855,21620
09,55,2,2011,1,15128,772,7702
09,56,1,2011,1,43909,12689,3858
09,56,2,2011,1,31515,7644,2938
09,61,1,2011,1,56857,3242,5031
09,61,2,2011,1,114002,5376,3861
09,62,1,2011,1,53821,3824,5429
09,62,2,2011,1,201611,13703,3398
09,71,1,2011,1,20121,1734,3031
09,71,2,2011,1,19667,1710,2008
09,72,1,2011,1,47555,8646,1800
09,72,2,2011,1,57533,9208,1307
09,81,1,2011,1,23808,2969,3150
09,81,2,2011,1,30918,3505,2020
09,92,1,2011,1,29597,1242,6465
09,92,2,2011,1,24638,1066,5318
09,00,1,2011,3,779635,99304,6205
09,00,2,2011,3,805363,97451,3739
09,11,1,2011,3,3686,1377,3171
09,11,2,2011,3,2125,823,2280
09,21,1,2011,3,476,31,4749
09,21,2,2011,3,87,6,3217
09,22,1,2011,3,6751,185,8098
09,22,2,2011,3,1834,93,5251
09,23,1,2011,3,47590,9569,5290
09,23,2,2011,3,10139,1547,3497
09,31-33,1,2011,3,121418,5903,6659
09,31-33,2,2011,3,49950,2548,4864
09,42,1,2011,3,44922,3700,7484
09,42,2,2011,3,19476,1649,5242
09,44-45,1,2011,3,89314,13479,3359
09,44-45,2,2011,3,84142,14358,2060
09,48-49,1,2011,3,26590,3213,4283
09,48-49,2,2011,3,12273,1240,2733
09,51,1,2011,3,20837,1741,7407
09,51,2,2011,3,14625,1133,4885
09,52,1,2011,3,53867,3565,14934
09,52,2,2011,3,65041,2986,6630
09,53,1,2011,3,11271,1178,5335
09,53,2,2011,3,8509,856,3809
09,54,1,2011,3,45228,4268,8918
09,54,2,2011,3,41839,3860,5320
09,55,1,2011,3,14852,1127,13198
09,55,2,2011,3,15399,1014,6588
09,56,1,2011,3,51076,13766,3814
09,56,2,2011,3,33860,9275,3014
09,61,1,2011,3,50406,5403,5291
09,61,2,2011,3,95220,8949,3471
09,62,1,2011,3,55049,5958,6074
09,62,2,2011,3,204588,18945,3587
09,71,1,2011,3,27729,4288,3079
09,71,2,2011,3,24153,3859,2113
09,72,1,2011,3,52351,14535,1998
09,72,2,2011,3,64223,17154,1488
09,81,1,2011,3,25031,4194,3553
09,81,2,2011,3,32525,5606,2251
09,92,1,2011,3,31190,1824,6240
09,92,2,2011,3,25354,1553,4852
09,00,1,2012,1,753898,71815,7709
09,00,2,2012,1,811813,71700,4196
09,11,1,2012,1,2140,374,2800
09,11,2,2012,1,1255,239,1932
09,21,1,2012,1,413,21,4213
09,21,2,2012,1,83,9,2961
09,22,1,2012,1,6140,177,8944
09,22,2,2012,1,1623,52,5972
09,23,1,2012,1,40487,5370,5019
09,23,2,2012,1,9112,1087,3403
09,31-33,1,2012,1,119703,5114,7816
09,31-33,2,2012,1,49192,2173,5695
09,42,1,2012,1,43602,3260,8124
09,42,2,2012,1,18923,1499,5697
09,44-45,1,2012,1,92559,9387,3553
09,44-45,2,2012,1,89938,8106,2044
09,48-49,1,2012,1,26792,2430,4348
09,48-49,2,2012,1,13594,1120,2871
09,51,1,2012,1,21212,1609,9781
09,51,2,2012,1,14485,1014,7421
09,52,1,2012,1,51624,2774,28040
09,52,2,2012,1,62544,2820,9956
09,53,1,2012,1,10325,814,7518
09,53,2,2012,1,8089,646,4529
09,54,1,2012,1,44800,4401,10276
09,54,2,2012,1,42513,4138,5599
09,55,1,2012,1,15392,1119,24301
09,55,2,2012,1,16852,1099,8613
09,56,1,2012,1,46592,11726,4045
09,56,2,2012,1,33117,8454,3095
09,61,1,2012,1,54807,3314,5193
09,61,2,2012,1,111860,5910,4119
09,62,1,2012,1,54791,4206,5555
09,62,2,2012,1,203391,15619,3471
09,71,1,2012,1,20397,1892,2973
09,71,2,2012,1,19504,1718,1993
09,72,1,2012,1,49412,10031,1904
09,72,2,2012,1,60341,11233,1414
09,81,1,2012,1,23976,3038,3355
09,81,2,2012,1,31771,4103,2145
09,92,1,2012,1,28735,757,5584
09,92,2,2012,1,23626,661,4452
09,00,1,2012,3,781391,98098,5995
09,00,2,2012,3,809455,100118,3665
09,11,1,2012,3,3581,963,3066
09,11,2,2012,3,2093,673,2167
09,21,1,2012,3,484,35,4806
09,21,2,2012,3,97,8,2991
09,22,1,2012,3,6359,199,7843
09,22,2,2012,3,1764,90,5395
09,23,1,2012,3,46708,8229,5158
09,23,2,2012,3,10003,1360,3429
09,31-33,1,2012,3,120161,5594,6614
09,31-33,2,2012,3,49497,2484,4830
