geography,industry,sex,year,quarter,Emp,HirN,EarnS
11,00,1,2011,1,230350,31775,7498
11,00,2,2011,1,253678,31686,5209
11,22,1,2011,1,1511,96,8012
11,22,2,2011,1,498,37,7267
11,23,1,2011,1,9231,2462,5123
11,23,2,2011,1,1617,458,4471
11,31-33,1,2011,1,723,72,9503
11,31-33,2,2011,1,405,49,11095
11,42,1,2011,1,3013,345,10380
11,42,2,2011,1,1734,227,9106
11,44-45,1,2011,1,9009,1386,3082
11,44-45,2,2011,1,9389,1513,2248
11,48-49,1,2011,1,4845,260,5903
11,48-49,2,2011,1,1873,138,5231
11,51,1,2011,1,11444,1009,10455
11,51,2,2011,1,8068,710,8285
11,52,1,2011,1,5517,559,21808
11,52,2,2011,1,6972,597,9226
11,53,1,2011,1,6048,549,8263
11,53,2,2011,1,3947,385,5166
11,54,1,2011,1,51505,6476,11797
11,54,2,2011,1,52216,5493,7925
11,55,1,2011,1,1278,96,30220
11,55,2,2011,1,994,74,11781
11,56,1,2011,1,22978,5730,4071
11,56,2,2011,1,21158,4748,3235
11,61,1,2011,1,21239,2958,5410
11,61,2,2011,1,29309,4490,4354
11,62,1,2011,1,16051,1606,5535
11,62,2,2011,1,39395,3934,3925
11,71,1,2011,1,2664,539,3784
11,71,2,2011,1,2874,565,2509
11,72,1,2011,1,28771,4804,2539
11,72,2,2011,1,24104,4118,2146
11,81,1,2011,1,25769,2709,7780
11,81,2,2011,1,39134,3953,5612
11,92,1,2011,1,8755,120,4846
11,92,2,2011,1,9994,197,4280
11,00,1,2011,3,239167,37333,7304
11,00,2,2011,3,260688,39532,5490
11,22,1,2011,3,1580,37,8435
11,22,2,2011,3,584,17,7118
11,23,1,2011,3,10450,3467,5468
11,23,2,2011,3,1907,501,4505
11,31-33,1,2011,3,748,63,7846
11,31-33,2,2011,3,408,46,8436
11,42,1,2011,3,3015,423,8168
11,42,2,2011,3,1660,237,6966
11,44-45,1,2011,3,9418,1745,3229
11,44-45,2,2011,3,9875,2196,2474
11,48-49,1,2011,3,4747,271,6338
11,48-49,2,2011,3,1890,131,5715
11,51,1,2011,3,11464,1080,9224
11,51,2,2011,3,8117,789,7413
11,52,1,2011,3,6681,638,14180
11,52,2,2011,3,7374,680,7681
11,53,1,2011,3,6352,773,7304
11,53,2,2011,3,4139,542,4902
11,54,1,2011,3,53219,6554,11507
11,54,2,2011,3,52838,6035,7887
11,55,1,2011,3,1288,101,13274
11,55,2,2011,3,1007,92,7784
11,56,1,2011,3,23376,6112,4287
11,56,2,2011,3,21425,6415,3431
11,61,1,2011,3,20378,3188,6047
11,61,2,2011,3,27561,5022,4979
11,62,1,2011,3,17455,2075,7169
11,62,2,2011,3,43707,5010,5557
11,71,1,2011,3,3659,644,4924
11,71,2,2011,3,3310,597,2507
11,72,1,2011,3,30649,6650,2688
11,72,2,2011,3,26347,6115,2312
11,81,1,2011,3,26373,3168,7561
11,81,2,2011,3,38984,4536,5760
11,92,1,2011,3,8313,344,5486
11,92,2,2011,3,9556,571,4865
11,00,1,2012,1,235588,32598,7867
11,00,2,2012,1,257915,32612,5528
11,22,1,2012,1,1547,41,8276
11,22,2,2012,1,583,19,8055
11,23,1,2012,1,10877,2698,5421
11,23,2,2012,1,1914,416,5048
11,31-33,1,2012,1,619,88,9790
11,31-33,2,2012,1,345,46,11079
11,42,1,2012,1,3036,496,10514
11,42,2,2012,1,1708,338,8853
11,44-45,1,2012,1,9464,1447,3296
11,44-45,2,2012,1,10203,1517,2452
11,48-49,1,2012,1,4708,290,6739
11,48-49,2,2012,1,1839,138,6014
11,51,1,2012,1,10577,1173,11080
11,51,2,2012,1,7765,890,8720
11,52,1,2012,1,7062,457,21962
11,52,2,2012,1,8191,541,10677
11,53,1,2012,1,6627,749,7765
11,53,2,2012,1,4278,530,5032
11,54,1,2012,1,52850,6347,12301
11,54,2,2012,1,52505,5265,8424
11,55,1,2012,1,1209,76,35139
11,55,2,2012,1,977,119,12340
11,56,1,2012,1,23646,5192,4160
11,56,2,2012,1,21187,4901,3496
11,61,1,2012,1,18276,3158,5186
11,61,2,2012,1,26011,4392,4300
11,62,1,2012,1,17452,1798,5857
11,62,2,2012,1,43322,4178,4459
11,71,1,2012,1,3321,596,6580
11,71,2,2012,1,3324,548,2504
11,72,1,2012,1,30095,5325,2622
11,72,2,2012,1,25832,4850,2213
11,81,1,2012,1,25904,2491,8174
11,81,2,2012,1,38354,3705,5920
11,92,1,2012,1,8319,176,4946
11,92,2,2012,1,9577,220,4436
11,00,1,2012,3,244279,36828,7070
11,00,2,2012,3,262432,38883,5219
11,22,1,2012,3,1634,25,8051
11,22,2,2012,3,634,22,6856
11,23,1,2012,3,12500,3074,5355
11,23,2,2012,3,2182,512,4402
11,31-33,1,2012,3,678,61,7488
11,31-33,2,2012,3,368,31,8395
11,42,1,2012,3,3203,370,8875
11,42,2,2012,3,1933,218,6951
11,44-45,1,2012,3,9826,1704,3251
11,44-45,2,2012,3,10250,2022,2511
11,48-49,1,2012,3,4992,503,6501
11,48-49,2,2012,3,1937,199,5751
11,51,1,2012,3,10694,792,9450
11,51,2,2012,3,7870,736,7560
11,52,1,2012,3,7116,667,12673
11,52,2,2012,3,8308,622,7310
11,53,1,2012,3,6559,741,6972
11,53,2,2012,3,4312,537,4575
11,54,1,2012,3,55726,6803,11260
11,54,2,2012,3,55214,5900,7833
11,55,1,2012,3,1188,68,13276
11,55,2,2012,3,992,77,8345
11,56,1,2012,3,24193,5777,4143
11,56,2,2012,3,21917,5996,3445
11,61,1,2012,3,17954,4212,5433
11,61,2,2012,3,25405,6198,4535
11,62,1,2012,3,16386,1687,5773
11,62,2,2012,3,39464,4306,4256
11,71,1,2012,3,3946,676,7644
11,71,2,2012,3,3492,644,2698
11,72,1,2012,3,32422,6365,2666
11,72,2,2012,3,28507,5947,2218
11,81,1,2012,3,27158,2928,7491
11,81,2,2012,3,40294,4371,5762
11,92,1,2012,3,8104,376,5103
11,92,2,2012,3,9353,545,4604
11,00,1,2013,1,241944,31087,7919
11,00,2,2013,1,263846,30489,5685
11,22,1,2013,1,1564,44,8685
11,22,2,2013,1,599,13,8290
11,23,1,2013,1,11391,2323,5241
11,23,2,2013,1,2039,420,4723
11,31-33,1,2013,1,656,77,10383
11,31-33,2,2013,1,327,32,13810
11,42,1,2013,1,3152,325,11396
11,42,2,2013,1,1821,200,10369
11,44-45,1,2013,1,9473,1382,3675
11,44-45,2,2013,1,10254,1565,2642
11,48-49,1,2013,1,5013,312,7124
11,48-49,2,2013,1,1978,135,6322
11,51,1,2013,1,10352,860,12876
11,51,2,2013,1,7645,741,9693
11,52,1,2013,1,6967,513,21883
11,52,2,2013,1,7973,507,10927
11,53,1,2013,1,6415,791,8588
11,53,2,2013,1,4124,518,5483
11,54,1,2013,1,53889,6342,11821
11,54,2,2013,1,53553,5689,8486
11,55,1,2013,1,1196,87,35710
11,55,2,2013,1,1009,99,13841
11,56,1,2013,1,24114,4976,4369
11,56,2,2013,1,21768,4799,3591
11,61,1,2013,1,22146,2239,5325
11,61,2,2013,1,31150,2697,4331
11,62,1,2013,1,17272,1478,5821
11,62,2,2013,1,42797,3390,4488
11,71,1,2013,1,3416,562,5744
11,71,2,2013,1,3317,541,2670
11,72,1,2013,1,30650,6144,2715
11,72,2,2013,1,26758,5529,2278
11,81,1,2013,1,26028,2424,8351
11,81,2,2013,1,37341,3379,6395
11,92,1,2013,1,8249,207,5072
11,92,2,2013,1,9391,234,4499
11,00,1,2013,3,253361,39423,7275
11,00,2,2013,3,272040,40966,5413
11,22,1,2013,3,1677,37,8147
11,22,2,2013,3,634,17,6919
11,23,1,2013,3,12619,3484,5333
11,23,2,2013,3,2201,592,4522
11,31-33,1,2013,3,701,87,7484
11,31-33,2,2013,3,314,48,8162
11,42,1,2013,3,2979,371,9353
11,42,2,2013,3,1763,274,7789
11,44-45,1,2013,3,9814,1920,3302
11,44-45,2,2013,3,10373,2302,2481
11,48-49,1,2013,3,5189,473,6793
11,48-49,2,2013,3,1993,168,6004
11,51,1,2013,3,10814,980,10382
11,51,2,2013,3,7984,904,8243
11,52,1,2013,3,7322,638,14191
11,52,2,2013,3,8161,575,7667
11,53,1,2013,3,6899,729,8056
11,53,2,2013,3,4401,515,4829
11,54,1,2013,3,56984,6448,11316
11,54,2,2013,3,56014,5601,8004
11,55,1,2013,3,1225,126,15652
11,55,2,2013,3,1034,146,9295
11,56,1,2013,3,25225,6361,4438
11,56,2,2013,3,22538,5989,3629
11,61,1,2013,3,22962,3771,5660
11,61,2,2013,3,31540,5876,4727
11,62,1,2013,3,16284,2080,6172
11,62,2,2013,3,39930,4650,4525
11,71,1,2013,3,3901,708,4432
11,71,2,2013,3,3423,616,2627
11,72,1,2013,3,33182,7815,2682
11,72,2,2013,3,29545,7316,2307
11,81,1,2013,3,27303,2999,7705
11,81,2,2013,3,40704,4745,6048
11,92,1,2013,3,8283,397,5112
11,92,2,2013,3,9488,630,4583
11,00,1,2014,1,249938,31326,8267
11,00,2,2014,1,269902,30989,5834
11,22,1,2014,1,1638,39,8793
11,22,2,2014,1,600,19,8305
11,23,1,2014,1,11536,3136,5591
11,23,2,2014,1,2152,483,4758
11,31-33,1,2014,1,709,55,10767
11,31-33,2,2014,1,350,44,11824
11,42,1,2014,1,3014,402,11983
11,42,2,2014,1,1792,298,10547
11,44-45,1,2014,1,10172,1490,3773
11,44-45,2,2014,1,11112,1625,2536
11,48-49,1,2014,1,4914,328,7237
11,48-49,2,2014,1,1916,161,6251
11,51,1,2014,1,10768,842,12908
11,51,2,2014,1,7910,730,10321
11,52,1,2014,1,7194,508,25074
11,52,2,2014,1,7987,547,12434
11,53,1,2014,1,7345,747,11442
11,53,2,2014,1,4628,569,6227
11,54,1,2014,1,55540,5616,12209
11,54,2,2014,1,54689,4974,8748
11,55,1,2014,1,1218,85,30246
11,55,2,2014,1,1056,99,13918
11,56,1,2014,1,24597,4998,4636
11,56,2,2014,1,21499,4636,3661
11,61,1,2014,1,23987,2378,5666
11,61,2,2014,1,32636,3477,4638
11,62,1,2014,1,16657,1855,5905
11,62,2,2014,1,42205,4366,4366
11,71,1,2014,1,3496,845,7163
11,71,2,2014,1,3306,841,3000
11,72,1,2014,1,31800,5555,2763
11,72,2,2014,1,28122,4730,2303
11,81,1,2014,1,26340,2269,8578
11,81,2,2014,1,37686,3130,6565
11,92,1,2014,1,9014,179,5097
11,92,2,2014,1,10257,261,4608
11,00,1,2014,3,256415,39375,7518
11,00,2,2014,3,276985,42548,5557
11,22,1,2014,3,1655,75,10030
11,22,2,2014,3,629,28,9521
11,23,1,2014,3,12452,3352,5419
11,23,2,2014,3,2286,658,4685
11,31-33,1,2014,3,666,63,6774
11,31-33,2,2014,3,360,34,6580
11,42,1,2014,3,3117,349,9202
11,42,2,2014,3,1901,235,7527
11,44-45,1,2014,3,10216,2185,3546
11,44-45,2,2014,3,11025,2700,2539
11,48-49,1,2014,3,5230,525,6899
11,48-49,2,2014,3,2046,235,6085
11,51,1,2014,3,10412,1041,10291
11,51,2,2014,3,7824,988,8615
11,52,1,2014,3,6946,672,15136
11,52,2,2014,3,7206,817,8232
11,53,1,2014,3,7530,732,7567
11,53,2,2014,3,4784,581,5298
11,54,1,2014,3,56667,6717,11523
11,54,2,2014,3,54941,6242,8272
11,55,1,2014,3,1250,128,15665
11,55,2,2014,3,1086,130,9143
11,56,1,2014,3,25528,6234,4549
11,56,2,2014,3,22409,6325,3708
11,61,1,2014,3,22733,3602,6012
11,61,2,2014,3,30727,5590,4989
11,62,1,2014,3,18368,2126,6370
11,62,2,2014,3,45493,4889,4658
11,71,1,2014,3,3918,691,10262
11,71,2,2014,3,3534,633,2981
11,72,1,2014,3,33188,7290,2939
11,72,2,2014,3,30160,6812,2409
11,81,1,2014,3,27347,3084,7975
11,81,2,2014,3,40018,4817,6277
11,92,1,2014,3,9192,509,5565
11,92,2,2014,3,10555,833,4889
11,00,1,2015,1,254050,31644,8364
11,00,2,2015,1,277269,31847,5942
11,11,1,2015,1,0,0,
11,11,2,2015,1,0,,
11,21,1,2015,1,,0,74229
11,21,2,2015,1,0,0,
11,22,1,2015,1,1632,63,9855
11,22,2,2015,1,608,47,9486
11,23,1,2015,1,11368,2483,5267
11,23,2,2015,1,1987,390,4437
11,31-33,1,2015,1,687,62,8220
11,31-33,2,2015,1,375,59,11824
11,42,1,2015,1,3105,353,12411
11,42,2,2015,1,1912,230,10865
11,44-45,1,2015,1,10850,1530,3646
11,44-45,2,2015,1,11821,1711,2505
11,48-49,1,2015,1,5433,475,7063
11,48-49,2,2015,1,2040,238,6524
11,51,1,2015,1,10217,825,12581
11,51,2,2015,1,7538,785,10163
11,52,1,2015,1,6783,489,26560
11,52,2,2015,1,7075,499,13496
11,53,1,2015,1,7448,660,10894
11,53,2,2015,1,4812,523,6328
11,54,1,2015,1,55670,6289,12629
11,54,2,2015,1,54227,5751,8959
11,55,1,2015,1,1217,82,35294
11,55,2,2015,1,1085,68,14934
11,56,1,2015,1,24871,5086,4682
11,56,2,2015,1,22331,4985,3762
11,61,1,2015,1,23834,2125,5810
11,61,2,2015,1,32716,2831,4794
11,62,1,2015,1,18405,1625,6039
11,62,2,2015,1,46346,3813,4555
11,71,1,2015,1,3791,702,6541
11,71,2,2015,1,3653,645,3049
11,72,1,2015,1,33166,5726,2808
11,72,2,2015,1,29752,5361,2363
11,81,1,2015,1,26463,2611,8856
11,81,2,2015,1,38424,3521,6756
11,92,1,2015,1,9108,459,5630
11,92,2,2015,1,10568,389,5086
11,00,1,2015,3,260393,40927,7593
11,00,2,2015,3,286111,46050,5609
11,21,1,2015,3,,0,16874
11,21,2,2015,3,0,0,
11,22,1,2015,3,1686,55,9643
11,22,2,2015,3,670,27,8211
11,23,1,2015,3,11796,3020,5557
11,23,2,2015,3,2228,602,4614
11,31-33,1,2015,3,745,91,6550
11,31-33,2,2015,3,394,76,7713
11,42,1,2015,3,2918,318,8834
11,42,2,2015,3,1823,274,8117
11,44-45,1,2015,3,10886,2202,3230
11,44-45,2,2015,3,11706,2831,2527
11,48-49,1,2015,3,5715,482,7668
11,48-49,2,2015,3,2338,276,6696
11,51,1,2015,3,10450,1042,10332
11,51,2,2015,3,7899,1056,8483
11,52,1,2015,3,7312,769,15523
11,52,2,2015,3,7786,697,8434
11,53,1,2015,3,7618,826,7761
11,53,2,2015,3,4937,650,5486
11,54,1,2015,3,57865,7527,11577
11,54,2,2015,3,56443,7004,8309
11,55,1,2015,3,1204,136,18903
11,55,2,2015,3,1054,122,10308
11,56,1,2015,3,25230,5981,4549
11,56,2,2015,3,22775,6275,3821
11,61,1,2015,3,22574,4327,6052
11,61,2,2015,3,31010,7062,5038
11,62,1,2015,3,19435,2316,6352
11,62,2,2015,3,48229,5377,4695
11,71,1,2015,3,4120,718,11412
11,71,2,2015,3,3815,692,3152
11,72,1,2015,3,34541,7345,2901
11,72,2,2015,3,31313,7177,2497
11,81,1,2015,3,27192,3197,8130
11,81,2,2015,3,40994,4873,6316
11,92,1,2015,3,9104,574,5571
11,92,2,2015,3,10696,980,5013
11001,00,1,2011,1,230350,31775,7498
11001,00,2,2011,1,253678,31686,5209
11001,22,1,2011,1,1511,96,8012
11001,22,2,2011,1,498,37,7267
11001,23,1,2011,1,9231,2462,5123
11001,23,2,2011,1,1617,458,4471
11001,31-33,1,2011,1,723,72,9503
