geography,industry,sex,year,quarter,Emp,HirN,EarnS
10,00,1,2011,1,182735,20854,4921
10,00,2,2011,1,201025,18473,3396
10,11,1,2011,1,888,178,2813
10,11,2,2011,1,270,49,1782
10,22,1,2011,1,1446,44,7994
10,22,2,2011,1,468,12,6919
10,23,1,2011,1,15773,2894,4079
10,23,2,2011,1,2824,366,2905
10,31-33,1,2011,1,17388,1513,4932
10,31-33,2,2011,1,8171,506,3748
10,42,1,2011,1,8199,769,6783
10,42,2,2011,1,4068,430,7745
10,44-45,1,2011,1,23521,2614,2625
10,44-45,2,2011,1,24970,2379,1654
10,48-49,1,2011,1,7072,724,3461
10,48-49,2,2011,1,2922,207,2328
10,51,1,2011,1,3581,201,5074
10,51,2,2011,1,2596,132,3831
10,52,1,2011,1,15040,1478,9900
10,52,2,2011,1,20530,1794,5959
10,53,1,2011,1,3028,278,3815
10,53,2,2011,1,2197,190,2829
10,54,1,2011,1,14230,1421,9241
10,54,2,2011,1,12948,1290,5821
10,55,1,2011,1,3584,254,10134
10,55,2,2011,1,3215,196,7433
10,56,1,2011,1,11834,2757,2759
10,56,2,2011,1,8728,1910,2247
10,61,1,2011,1,11144,749,3758
10,61,2,2011,1,22438,1138,3042
10,62,1,2011,1,12299,952,5300
10,62,2,2011,1,48861,3630,3276
10,71,1,2011,1,3915,384,2725
10,71,2,2011,1,3718,363,1925
10,72,1,2011,1,13673,2646,1592
10,72,2,2011,1,16882,3008,1165
10,81,1,2011,1,5586,658,2883
10,81,2,2011,1,7079,626,1748
10,92,1,2011,1,10534,341,3991
10,92,2,2011,1,8138,247,3082
10,00,1,2011,3,193257,29251,4739
10,00,2,2011,3,208392,28890,3444
10,11,1,2011,3,1326,357,2751
10,11,2,2011,3,480,173,2009
10,22,1,2011,3,1449,40,7993
10,22,2,2011,3,476,13,6234
10,23,1,2011,3,16547,3066,4562
10,23,2,2011,3,3037,401,3280
10,31-33,1,2011,3,17668,2060,5214
10,31-33,2,2011,3,8226,1042,3983
10,42,1,2011,3,8597,682,6105
10,42,2,2011,3,4303,377,5780
10,44-45,1,2011,3,24333,3952,2882
10,44-45,2,2011,3,25321,4670,1876
10,48-49,1,2011,3,7300,849,3680
10,48-49,2,2011,3,2746,270,2556
10,51,1,2011,3,3561,208,5458
10,51,2,2011,3,2565,128,4069
10,52,1,2011,3,15890,1234,7265
10,52,2,2011,3,21562,1445,4890
10,53,1,2011,3,3631,584,3983
10,53,2,2011,3,2643,453,3050
10,54,1,2011,3,14351,1579,7800
10,54,2,2011,3,13003,1297,5148
10,55,1,2011,3,3510,354,6658
10,55,2,2011,3,3195,509,4823
10,56,1,2011,3,13010,3862,3141
10,56,2,2011,3,9132,2549,2528
10,61,1,2011,3,10341,1336,4395
10,61,2,2011,3,20602,2144,3632
10,62,1,2011,3,12644,1583,6067
10,62,2,2011,3,50120,5073,3749
10,71,1,2011,3,5415,837,2697
10,71,2,2011,3,4786,712,2023
10,72,1,2011,3,16478,4880,1779
10,72,2,2011,3,20350,5801,1420
10,81,1,2011,3,5982,861,3219
10,81,2,2011,3,7421,1139,2104
10,92,1,2011,3,11224,926,4676
10,92,2,2011,3,8425,695,3609
10,00,1,2012,1,183002,21564,5066
10,00,2,2012,1,203246,20603,3563
10,11,1,2012,1,671,122,2710
10,11,2,2012,1,212,36,1810
10,21,1,2012,1,0,,
10,21,2,2012,1,0,0,
10,22,1,2012,1,1436,50,8551
10,22,2,2012,1,469,17,7239
10,23,1,2012,1,14836,2253,4194
10,23,2,2012,1,2807,339,3163
10,31-33,1,2012,1,17158,1420,5330
10,31-33,2,2012,1,7844,620,4020
10,42,1,2012,1,8499,656,7289
10,42,2,2012,1,4251,361,8444
10,44-45,1,2012,1,23395,3089,2789
10,44-45,2,2012,1,24598,2869,1772
10,48-49,1,2012,1,7568,831,4032
10,48-49,2,2012,1,2950,277,2600
10,51,1,2012,1,3498,170,5432
10,51,2,2012,1,2561,145,4139
10,52,1,2012,1,14463,1618,9840
10,52,2,2012,1,19914,1732,6080
10,53,1,2012,1,2931,280,4011
10,53,2,2012,1,2083,223,2952
10,54,1,2012,1,14474,1544,9103
10,54,2,2012,1,13326,1432,5873
10,55,1,2012,1,3457,270,10117
10,55,2,2012,1,3125,222,7586
10,56,1,2012,1,11733,2782,3026
10,56,2,2012,1,8671,2114,2489
10,61,1,2012,1,11502,818,3837
10,61,2,2012,1,23046,1152,3119
10,62,1,2012,1,12880,981,5549
10,62,2,2012,1,50522,3676,3520
10,71,1,2012,1,3890,363,2797
10,71,2,2012,1,3608,314,2074
10,72,1,2012,1,14223,3308,1602
10,72,2,2012,1,17586,3867,1251
10,81,1,2012,1,5743,696,3109
10,81,2,2012,1,7470,945,2000
10,92,1,2012,1,10645,311,4139
10,92,2,2012,1,8202,262,3196
10,00,1,2012,3,193849,26689,4607
10,00,2,2012,3,208582,26666,3347
10,11,1,2012,3,1181,276,2685
10,11,2,2012,3,485,153,1963
10,21,1,2012,3,,,10517
10,21,2,2012,3,0,0,
10,22,1,2012,3,1478,35,8041
10,22,2,2012,3,510,32,6356
10,23,1,2012,3,15920,3001,4416
10,23,2,2012,3,2987,395,3229
10,31-33,1,2012,3,17727,1233,4934
10,31-33,2,2012,3,8338,597,3859
10,42,1,2012,3,8594,694,5957
10,42,2,2012,3,4086,341,5822
10,44-45,1,2012,3,24992,3875,2778
10,44-45,2,2012,3,26192,4498,1815
10,48-49,1,2012,3,7558,953,3720
10,48-49,2,2012,3,2806,356,2536
10,51,1,2012,3,3363,177,5344
10,51,2,2012,3,2433,115,4053
10,52,1,2012,3,15606,1262,7184
10,52,2,2012,3,20279,1350,4859
10,53,1,2012,3,3515,502,3838
10,53,2,2012,3,2703,372,2934
10,54,1,2012,3,14616,1400,7690
10,54,2,2012,3,13499,1259,5220
10,55,1,2012,3,3408,285,6823
10,55,2,2012,3,2995,185,4979
10,56,1,2012,3,12671,3379,3148
10,56,2,2012,3,8915,2316,2572
10,61,1,2012,3,10732,1152,4200
10,61,2,2012,3,20858,1961,3398
10,62,1,2012,3,12931,1374,5755
10,62,2,2012,3,50506,4624,3603
10,71,1,2012,3,5410,860,2565
10,71,2,2012,3,4671,648,1981
10,72,1,2012,3,16612,4706,1753
10,72,2,2012,3,19972,5681,1391
10,81,1,2012,3,5983,844,3012
10,81,2,2012,3,7823,1091,1945
10,92,1,2012,3,11552,679,4284
10,92,2,2012,3,8524,690,3268
10,00,1,2013,1,186789,23437,5091
10,00,2,2013,1,206311,21342,3604
10,11,1,2013,1,839,100,2822
10,11,2,2013,1,278,56,1960
10,21,1,2013,1,28,,5633
10,21,2,2013,1,7,,3689
10,22,1,2013,1,1490,48,8787
10,22,2,2013,1,519,34,7713
10,23,1,2013,1,15185,2591,4241
10,23,2,2013,1,2837,424,3255
10,31-33,1,2013,1,17235,2114,5459
10,31-33,2,2013,1,8026,622,4188
10,42,1,2013,1,8231,638,6751
10,42,2,2013,1,3748,289,7381
10,44-45,1,2013,1,24142,3062,2764
10,44-45,2,2013,1,25558,2840,1753
10,48-49,1,2013,1,8124,762,3922
10,48-49,2,2013,1,3266,259,2644
10,51,1,2013,1,3258,173,5376
10,51,2,2013,1,2388,124,4021
10,52,1,2013,1,15979,2532,10230
10,52,2,2013,1,21448,2498,6449
10,53,1,2013,1,2887,261,3888
10,53,2,2013,1,2142,224,2985
10,54,1,2013,1,14723,1418,9091
10,54,2,2013,1,13556,1329,5981
10,55,1,2013,1,2876,128,9523
10,55,2,2013,1,2483,132,7129
10,56,1,2013,1,12487,3033,3156
10,56,2,2013,1,9154,2035,2598
10,61,1,2013,1,11480,791,3938
10,61,2,2013,1,22973,1181,3208
10,62,1,2013,1,13309,1127,5439
10,62,2,2013,1,51463,4088,3549
10,71,1,2013,1,3824,363,2642
10,71,2,2013,1,3502,425,1978
10,72,1,2013,1,14448,3137,1601
10,72,2,2013,1,17530,3502,1238
10,81,1,2013,1,5624,718,3031
10,81,2,2013,1,7215,926,1927
10,92,1,2013,1,10621,440,4206
10,92,2,2013,1,8219,354,3249
10,00,1,2013,3,199082,30493,4638
10,00,2,2013,3,212261,30933,3382
10,11,1,2013,3,1149,320,2804
10,11,2,2013,3,458,187,2110
10,21,1,2013,3,,,5628
10,21,2,2013,3,,0,3902
10,22,1,2013,3,1434,42,7687
10,22,2,2013,3,537,15,6334
10,23,1,2013,3,16759,3192,4636
10,23,2,2013,3,3101,444,3448
10,31-33,1,2013,3,18198,1438,4633
10,31-33,2,2013,3,8153,666,3759
10,42,1,2013,3,8216,660,6057
10,42,2,2013,3,3773,322,5548
10,44-45,1,2013,3,25177,4661,2841
10,44-45,2,2013,3,26327,5436,1841
10,48-49,1,2013,3,8159,1406,3876
10,48-49,2,2013,3,3233,806,2574
10,51,1,2013,3,3177,206,5364
10,51,2,2013,3,2329,172,4018
10,52,1,2013,3,16757,1339,7348
10,52,2,2013,3,21591,1443,5047
10,53,1,2013,3,3424,537,3891
10,53,2,2013,3,2592,418,3007
10,54,1,2013,3,15356,1447,7999
10,54,2,2013,3,13840,1182,5458
10,55,1,2013,3,2851,105,6861
10,55,2,2013,3,2506,148,5038
10,56,1,2013,3,13613,5178,3224
10,56,2,2013,3,9331,3759,2597
10,61,1,2013,3,10668,1203,4251
10,61,2,2013,3,20996,2123,3427
10,62,1,2013,3,13592,1447,5690
10,62,2,2013,3,51540,5133,3634
10,71,1,2013,3,5389,796,2591
10,71,2,2013,3,4658,775,1975
10,72,1,2013,3,17649,5203,1835
10,72,2,2013,3,21230,6426,1440
10,81,1,2013,3,5953,779,3121
10,81,2,2013,3,7455,929,2027
10,92,1,2013,3,11532,531,3757
10,92,2,2013,3,8603,548,2937
10,00,1,2014,1,191352,22983,5138
10,00,2,2014,1,209915,20903,3724
10,11,1,2014,1,859,95,2798
10,11,2,2014,1,292,39,2123
10,21,1,2014,1,30,0,5510
10,21,2,2014,1,7,,3332
