geography,industry,sex,year,quarter,Emp,HirN,EarnS
12,00,1,2011,1,3410206,517859,4240
12,00,2,2011,1,3547116,497927,2834
12,11,1,2011,1,60428,19137,2145
12,11,2,2011,1,36873,12990,1494
12,21,1,2011,1,3419,374,5639
12,21,2,2011,1,671,95,3777
12,22,1,2011,1,22485,668,8565
12,22,2,2011,1,7660,312,5988
12,23,1,2011,1,262491,49011,3475
12,23,2,2011,1,73101,13532,2601
12,31-33,1,2011,1,214050,18696,4756
12,31-33,2,2011,1,98256,8912,3191
12,42,1,2011,1,200701,20194,5804
12,42,2,2011,1,105201,11812,3929
12,44-45,1,2011,1,457414,58816,2823
12,44-45,2,2011,1,464091,52965,1858
12,48-49,1,2011,1,146323,18051,3905
12,48-49,2,2011,1,61928,6461,2882
12,51,1,2011,1,82130,7132,6533
12,51,2,2011,1,59130,5394,4510
12,52,1,2011,1,120934,12331,9887
12,52,2,2011,1,206270,40327,4520
12,53,1,2011,1,81154,11438,3978
12,53,2,2011,1,68857,9566,2926
12,54,1,2011,1,220494,35738,6440
12,54,2,2011,1,218976,34865,3672
12,55,1,2011,1,42251,3695,9812
12,55,2,2011,1,46031,3768,4385
12,56,1,2011,1,293661,84835,3117
12,56,2,2011,1,217012,60917,2344
12,61,1,2011,1,168866,17225,3609
12,61,2,2011,1,384148,35467,2989
12,62,1,2011,1,233875,25426,5540
12,62,2,2011,1,755220,73572,3039
12,71,1,2011,1,106355,16584,3114
12,71,2,2011,1,90020,14140,2079
12,72,1,2011,1,361000,92987,2052
12,72,2,2011,1,373900,90622,1589
12,81,1,2011,1,117596,20505,2951
12,81,2,2011,1,111717,17537,2123
12,92,1,2011,1,214579,5017,4054
12,92,2,2011,1,168056,4673,3120
12,00,1,2011,3,3415021,526442,4266
12,00,2,2011,3,3461462,483754,2893
12,11,1,2011,3,39068,8000,2455
12,11,2,2011,3,21298,4797,1677
12,21,1,2011,3,3331,312,5800
12,21,2,2011,3,632,72,4329
12,22,1,2011,3,22505,872,7100
12,22,2,2011,3,7706,348,5046
12,23,1,2011,3,266314,57824,3751
12,23,2,2011,3,73045,13492,2820
12,31-33,1,2011,3,216243,19222,4932
12,31-33,2,2011,3,98293,8768,3407
12,42,1,2011,3,201277,18745,5759
12,42,2,2011,3,104495,10572,4025
12,44-45,1,2011,3,460930,71929,2898
12,44-45,2,2011,3,456723,74953,1990
