geography,industry,sex,year,quarter,Emp,HirN,EarnS
13,00,1,2011,1,1736662,237291,4907
13,00,2,2011,1,1822843,209730,2947
13,11,1,2011,1,14858,2771,2699
13,11,2,2011,1,5543,1347,1790
13,21,1,2011,1,4132,139,4900
13,21,2,2011,1,504,31,3950
13,22,1,2011,1,14428,601,8431
13,22,2,2011,1,4800,325,6149
13,23,1,2011,1,113501,21473,3915
13,23,2,2011,1,24820,4321,2793
13,31-33,1,2011,1,234573,19048,5017
13,31-33,2,2011,1,108706,8115,3473
13,42,1,2011,1,132912,10573,6712
13,42,2,2011,1,61955,5406,4533
13,44-45,1,2011,1,202864,26594,2854
13,44-45,2,2011,1,221531,25883,1761
13,48-49,1,2011,1,117112,14375,4929
13,48-49,2,2011,1,51682,5145,3405
13,51,1,2011,1,59735,4632,8979
13,51,2,2011,1,46229,3322,6111
13,52,1,2011,1,55547,4213,12804
13,52,2,2011,1,96589,6025,4705
13,53,1,2011,1,28684,3192,4905
13,53,2,2011,1,24912,2926,3238
13,54,1,2011,1,113331,18011,7694
13,54,2,2011,1,105836,16268,4329
13,55,1,2011,1,28154,2187,10467
13,55,2,2011,1,29069,2083,5123
13,56,1,2011,1,135607,47329,3394
13,56,2,2011,1,110276,32443,2482
13,61,1,2011,1,100012,5563,3863
13,61,2,2011,1,262630,10123,2902
13,62,1,2011,1,79533,7633,5647
13,62,2,2011,1,360844,32636,2813
13,71,1,2011,1,18768,3376,2939
13,71,2,2011,1,16459,3098,1457
13,72,1,2011,1,140174,33927,1776
13,72,2,2011,1,178879,40987,1258
13,81,1,2011,1,46775,7725,2970
13,81,2,2011,1,42709,6351,2011
13,92,1,2011,1,95963,3927,3058
13,92,2,2011,1,68870,2895,2682
13,00,1,2011,3,1809277,286895,4648
13,00,2,2011,3,1843427,273418,3008
13,11,1,2011,3,17179,3763,2838
13,11,2,2011,3,7147,2054,1797
13,21,1,2011,3,3970,210,4244
13,21,2,2011,3,496,31,3493
13,22,1,2011,3,14277,319,6544
13,22,2,2011,3,4906,148,4734
13,23,1,2011,3,121564,25101,4171
13,23,2,2011,3,26193,4380,3057
13,31-33,1,2011,3,241663,20334,4922
13,31-33,2,2011,3,109997,9004,3460
13,42,1,2011,3,135612,12132,6232
