geography,industry,sex,year,quarter,Emp,HirN,EarnS
15,00,1,2011,1,246791,30361,3909
15,00,2,2011,1,236299,25199,2789
15,11,1,2011,1,4139,329,3161
15,11,2,2011,1,2426,176,2338
15,21,1,2011,1,222,5,6032
15,21,2,2011,1,35,,4579
15,22,1,2011,1,3992,112,7319
15,22,2,2011,1,1458,68,5764
15,23,1,2011,1,24225,3006,4854
15,23,2,2011,1,4539,481,3498
15,31-33,1,2011,1,8431,824,4099
15,31-33,2,2011,1,5130,376,2287
15,42,1,2011,1,11297,824,4376
15,42,2,2011,1,6112,407,3223
15,44-45,1,2011,1,28875,2911,2885
15,44-45,2,2011,1,37821,3537,2117
15,48-49,1,2011,1,16830,1356,4080
15,48-49,2,2011,1,8629,597,2892
15,51,1,2011,1,6227,1845,5473
15,51,2,2011,1,3976,1117,4112
15,52,1,2011,1,4720,276,8345
15,52,2,2011,1,10494,515,4415
15,53,1,2011,1,5943,568,3817
15,53,2,2011,1,5331,479,3211
15,54,1,2011,1,12339,1264,6199
15,54,2,2011,1,11924,1472,3766
15,55,1,2011,1,2868,184,7156
15,55,2,2011,1,4888,307,4498
15,56,1,2011,1,26917,5749,2789
15,56,2,2011,1,16417,3227,2289
15,61,1,2011,1,4958,644,3074
15,61,2,2011,1,7927,807,2659
15,62,1,2011,1,14975,2004,5105
15,62,2,2011,1,43556,3920,3186
15,71,1,2011,1,6693,755,2680
15,71,2,2011,1,4672,589,1943
15,72,1,2011,1,43768,6249,2616
15,72,2,2011,1,46532,5873,2172
15,81,1,2011,1,11889,1318,2751
15,81,2,2011,1,11398,1153,2156
15,92,1,2011,1,7483,141,5224
15,92,2,2011,1,3035,96,3646
15,00,1,2011,3,251359,34063,4097
15,00,2,2011,3,239786,30388,2967
15,11,1,2011,3,3854,446,3453
15,11,2,2011,3,2295,238,2509
15,21,1,2011,3,219,11,7148
15,21,2,2011,3,34,3,4970
15,22,1,2011,3,4086,120,7403
15,22,2,2011,3,1576,59,5596
15,23,1,2011,3,25168,4234,5681
15,23,2,2011,3,4717,626,3950
15,31-33,1,2011,3,8472,724,4064
15,31-33,2,2011,3,5077,508,2469
15,42,1,2011,3,11189,915,4721
15,42,2,2011,3,6091,485,3474
15,44-45,1,2011,3,29033,3956,3062
15,44-45,2,2011,3,37321,5415,2279
15,48-49,1,2011,3,16880,1378,4112
15,48-49,2,2011,3,8633,694,2809
15,51,1,2011,3,5645,1868,4605
15,51,2,2011,3,3786,1063,3765
15,52,1,2011,3,4776,401,6822
15,52,2,2011,3,10475,812,4162
15,53,1,2011,3,6123,636,3814
15,53,2,2011,3,5353,549,3364
15,54,1,2011,3,12400,1267,6518
15,54,2,2011,3,11702,1121,3964
15,55,1,2011,3,2865,199,6313
15,55,2,2011,3,4889,311,4330
15,56,1,2011,3,28090,6016,3040
15,56,2,2011,3,17151,3749,2483
15,61,1,2011,3,4958,868,3392
15,61,2,2011,3,7732,1271,2977
15,62,1,2011,3,16186,1620,5710
15,62,2,2011,3,45908,4230,3598
15,71,1,2011,3,6937,836,2846
15,71,2,2011,3,4910,714,2108
15,72,1,2011,3,44741,6987,2669
15,72,2,2011,3,47330,7025,2291
15,81,1,2011,3,12144,1421,2963
15,81,2,2011,3,11590,1409,2298
15,92,1,2011,3,7591,161,5396
