geography,industry,sex,year,quarter,Emp,HirN,EarnS
19,00,1,2011,1,687963,77329,4020
19,00,2,2011,1,709694,69147,2574
19,11,1,2011,1,10952,1707,3566
19,11,2,2011,1,4007,701,2703
19,21,1,2011,1,1678,83,3488
19,21,2,2011,1,203,14,2721
19,22,1,2011,1,6123,98,6549
19,22,2,2011,1,1946,48,4649
19,23,1,2011,1,47201,5921,3415
19,23,2,2011,1,6675,730,2505
19,31-33,1,2011,1,147928,10765,4511
19,31-33,2,2011,1,57251,3494,3224
19,42,1,2011,1,49012,3413,4888
19,42,2,2011,1,16572,1237,3561
19,44-45,1,2011,1,81010,8519,2507
19,44-45,2,2011,1,89647,9299,1519
19,48-49,1,2011,1,42104,6452,3233
19,48-49,2,2011,1,11722,1091,2398
19,51,1,2011,1,14265,1270,4545
19,51,2,2011,1,14043,1169,3230
19,52,1,2011,1,31118,1684,8464
19,52,2,2011,1,55311,2980,4210
19,53,1,2011,1,6517,665,4189
19,53,2,2011,1,6077,530,2865
19,54,1,2011,1,19701,2153,5639
19,54,2,2011,1,22236,2629,3098
19,55,1,2011,1,7523,562,5976
19,55,2,2011,1,7733,533,3176
19,56,1,2011,1,36763,13917,2487
19,56,2,2011,1,28685,8518,2010
19,61,1,2011,1,45473,2765,3866
19,61,2,2011,1,101501,5383,2801
19,62,1,2011,1,35756,3010,5409
19,62,2,2011,1,168425,13414,2622
19,71,1,2011,1,8143,1098,2021
19,71,2,2011,1,9287,1114,1355
19,72,1,2011,1,42769,9533,1243
19,72,2,2011,1,59286,12231,992
19,81,1,2011,1,19163,2559,2948
19,81,2,2011,1,21808,2955,1584
19,92,1,2011,1,34765,1154,3849
19,92,2,2011,1,27280,1077,2965
19,00,1,2011,3,737105,116033,4187
19,00,2,2011,3,717972,104849,2727
19,11,1,2011,3,12801,5508,3389
19,11,2,2011,3,4821,2725,2619
19,21,1,2011,3,2234,179,4960
19,21,2,2011,3,262,16,3540
19,22,1,2011,3,6186,100,6426
19,22,2,2011,3,1948,45,4306
19,23,1,2011,3,62720,13566,4138
19,23,2,2011,3,8296,1352,2842
19,31-33,1,2011,3,155311,12285,4726
19,31-33,2,2011,3,58679,4363,3524
19,42,1,2011,3,51754,4959,4829
19,42,2,2011,3,17532,2019,3534
19,44-45,1,2011,3,84787,12712,2691
19,44-45,2,2011,3,91586,16657,1708
19,48-49,1,2011,3,43745,7331,3616
19,48-49,2,2011,3,11756,1548,2604
19,51,1,2011,3,14248,1169,4831
19,51,2,2011,3,13660,1206,3339
19,52,1,2011,3,31738,3547,6326
19,52,2,2011,3,55708,4054,3822
19,53,1,2011,3,6952,1113,3865
19,53,2,2011,3,6294,843,2835
19,54,1,2011,3,20478,2556,6018
19,54,2,2011,3,21987,2530,3331
19,55,1,2011,3,8289,709,5525
19,55,2,2011,3,8106,793,3138
