geography,industry,sex,year,quarter,Emp,HirN,EarnS
16,00,1,2011,1,288779,33269,3559
16,00,2,2011,1,282654,29378,2203
16,11,1,2011,1,12579,1724,2480
16,11,2,2011,1,4895,761,1818
16,21,1,2011,1,1906,170,5757
16,21,2,2011,1,273,25,4188
16,22,1,2011,1,2460,92,6089
16,22,2,2011,1,745,36,4245
16,23,1,2011,1,22863,3424,2862
16,23,2,2011,1,4412,607,2059
16,31-33,1,2011,1,39209,2761,4544
16,31-33,2,2011,1,14926,929,3094
16,42,1,2011,1,17759,1519,4403
16,42,2,2011,1,7311,695,2581
16,44-45,1,2011,1,36417,3530,2679
16,44-45,2,2011,1,37384,3240,1635
16,48-49,1,2011,1,13322,1682,3025
16,48-49,2,2011,1,4077,390,2046
16,51,1,2011,1,5371,517,3821
16,51,2,2011,1,4586,413,2472
16,52,1,2011,1,6342,461,6597
16,52,2,2011,1,14107,950,3199
16,53,1,2011,1,3291,363,2530
16,53,2,2011,1,3207,381,1870
16,54,1,2011,1,17238,1860,5298
16,54,2,2011,1,13198,1931,2959
16,55,1,2011,1,3299,179,8047
16,55,2,2011,1,2963,150,3672
16,56,1,2011,1,19857,5143,2594
16,56,2,2011,1,15942,3159,1934
16,61,1,2011,1,17714,1419,3159
16,61,2,2011,1,37946,2205,2161
16,62,1,2011,1,17737,1992,4844
16,62,2,2011,1,63359,6630,2412
16,71,1,2011,1,4448,696,1792
16,71,2,2011,1,4696,644,1264
16,72,1,2011,1,20242,3904,1271
16,72,2,2011,1,26161,4577,1017
16,81,1,2011,1,7697,1107,2514
16,81,2,2011,1,7708,1000,1584
16,92,1,2011,1,19025,725,3299
16,92,2,2011,1,14759,654,2584
16,00,1,2011,3,312968,58746,3851
16,00,2,2011,3,291616,49138,2408
16,11,1,2011,3,16268,5627,2760
16,11,2,2011,3,6347,2688,1927
16,21,1,2011,3,2423,373,5893
16,21,2,2011,3,361,66,4349
16,22,1,2011,3,2643,121,5498
16,22,2,2011,3,777,47,3833
