geography,industry,sex,year,quarter,Emp,HirN,EarnS
17,00,1,2011,1,2634255,279100,5489
17,00,2,2011,1,2706630,242698,3241
17,11,1,2011,1,9213,1086,3025
17,11,2,2011,1,3615,523,2019
17,21,1,2011,1,7851,685,5222
17,21,2,2011,1,840,70,3529
17,22,1,2011,1,20901,586,9075
17,22,2,2011,1,5787,173,6622
17,23,1,2011,1,145295,24849,4768
17,23,2,2011,1,27316,3657,3090
17,31-33,1,2011,1,393486,22444,5792
17,31-33,2,2011,1,172000,9344,3936
17,42,1,2011,1,189098,12335,6558
17,42,2,2011,1,93623,6383,4423
17,44-45,1,2011,1,282617,27064,2846
17,44-45,2,2011,1,313912,25348,1810
17,48-49,1,2011,1,155786,14787,4068
17,48-49,2,2011,1,66451,4647,2991
17,51,1,2011,1,62328,4207,6904
17,51,2,2011,1,51083,3922,4693
17,52,1,2011,1,118546,8677,16650
17,52,2,2011,1,165026,8714,5849
17,53,1,2011,1,38335,3508,5604
17,53,2,2011,1,29984,2774,3415
17,54,1,2011,1,181718,19970,8503
17,54,2,2011,1,158792,17718,4856
17,55,1,2011,1,51064,2325,12830
17,55,2,2011,1,50050,2133,6712
17,56,1,2011,1,201000,60335,3276
17,56,2,2011,1,154370,40086,2479
17,61,1,2011,1,165290,10922,4363
17,61,2,2011,1,372441,18010,3449
17,62,1,2011,1,154488,13424,5274
17,62,2,2011,1,575082,45926,2931
17,71,1,2011,1,42440,5645,2730
17,71,2,2011,1,46053,5199,1528
17,72,1,2011,1,191511,31094,1684
17,72,2,2011,1,228379,34289,1284
17,81,1,2011,1,90518,11099,3415
17,81,2,2011,1,102114,10762,2349
17,92,1,2011,1,132771,4058,4767
17,92,2,2011,1,89710,3020,3561
17,00,1,2011,3,2778688,424580,5123
17,00,2,2011,3,2730957,382497,3226
17,11,1,2011,3,12153,5400,3278
17,11,2,2011,3,5077,2850,2221
17,21,1,2011,3,8766,1140,5837
17,21,2,2011,3,976,120,3637
17,22,1,2011,3,21208,655,7724
17,22,2,2011,3,5973,181,5465
17,23,1,2011,3,180633,47469,5420
17,23,2,2011,3,31601,5765,3428
17,31-33,1,2011,3,403226,28114,5374
17,31-33,2,2011,3,174406,11743,3834
17,42,1,2011,3,195138,15151,6328
17,42,2,2011,3,95562,7881,4482
17,44-45,1,2011,3,289372,45973,3097
17,44-45,2,2011,3,315333,53409,2014
17,48-49,1,2011,3,162084,19418,4259
17,48-49,2,2011,3,66450,6789,3136
17,51,1,2011,3,62574,5296,6168
17,51,2,2011,3,51037,4016,4317
17,52,1,2011,3,120043,9687,9768
17,52,2,2011,3,164985,10558,4715
17,53,1,2011,3,41048,5047,5095
17,53,2,2011,3,31506,3925,3409
17,54,1,2011,3,191174,33972,8279
17,54,2,2011,3,161492,29257,5056
17,55,1,2011,3,51379,3484,8650
17,55,2,2011,3,50207,3123,5690
17,56,1,2011,3,226891,87151,3361
17,56,2,2011,3,162391,61075,2630
17,61,1,2011,3,151883,18243,4257
17,61,2,2011,3,321211,30945,2940
17,62,1,2011,3,155398,17301,6123
17,62,2,2011,3,582997,60490,3272
17,71,1,2011,3,67217,12008,3174
17,71,2,2011,3,65610,11574,1713
17,72,1,2011,3,204389,49340,1869
17,72,2,2011,3,243486,58231,1471
17,81,1,2011,3,96391,13984,3660
17,81,2,2011,3,106684,15966,2562
17,92,1,2011,3,137721,5748,5079
17,92,2,2011,3,93974,4602,3845
17,00,1,2012,1,2681547,301110,5813
17,00,2,2012,1,2741368,269441,3468
17,11,1,2012,1,9580,1211,3135
17,11,2,2012,1,3713,555,2116
17,21,1,2012,1,8511,876,5842
17,21,2,2012,1,916,97,3962
17,22,1,2012,1,20781,725,9716
17,22,2,2012,1,5792,249,7032
17,23,1,2012,1,142439,22277,4824
17,23,2,2012,1,26778,3439,3184
17,31-33,1,2012,1,401540,26511,6215
17,31-33,2,2012,1,172184,10901,4370
17,42,1,2012,1,192825,13416,7035
17,42,2,2012,1,95369,6988,4806
17,44-45,1,2012,1,285431,29212,2999
17,44-45,2,2012,1,317936,28571,1927
17,48-49,1,2012,1,161342,14597,4491
17,48-49,2,2012,1,68425,5161,3360
17,51,1,2012,1,62492,4845,7258
