geography,industry,sex,year,quarter,Emp,HirN,EarnS
18,00,1,2011,1,1331554,164503,4293
18,00,2,2011,1,1321807,137963,2588
18,11,1,2011,1,8025,906,2986
18,11,2,2011,1,3110,433,2130
18,21,1,2011,1,5976,386,5423
18,21,2,2011,1,475,26,3472
18,22,1,2011,1,12729,241,7759
18,22,2,2011,1,3918,106,5349
18,23,1,2011,1,89781,16213,3933
18,23,2,2011,1,13919,2043,2563
18,31-33,1,2011,1,330722,24201,5397
18,31-33,2,2011,1,131309,8141,3909
18,42,1,2011,1,80363,5968,5056
18,42,2,2011,1,31582,2536,3314
18,44-45,1,2011,1,141624,15722,2588
18,44-45,2,2011,1,163033,15640,1609
18,48-49,1,2011,1,77888,9107,3214
18,48-49,2,2011,1,30258,2392,2303
18,51,1,2011,1,21700,1639,4629
18,51,2,2011,1,20007,1263,3049
18,52,1,2011,1,30483,2296,8830
18,52,2,2011,1,62868,3187,3803
18,53,1,2011,1,17029,1879,3549
18,53,2,2011,1,14338,1424,2393
18,54,1,2011,1,47482,5792,6135
18,54,2,2011,1,49191,6274,3334
18,55,1,2011,1,13491,1101,10154
18,55,2,2011,1,16409,1148,3641
18,56,1,2011,1,87427,35358,2567
18,56,2,2011,1,62450,21246,1992
18,61,1,2011,1,84756,5441,4041
18,61,2,2011,1,178603,8530,2704
18,62,1,2011,1,69528,5847,5438
18,62,2,2011,1,308885,26304,2730
18,71,1,2011,1,18394,2295,3054
18,71,2,2011,1,18886,2158,1782
18,72,1,2011,1,92928,21837,1350
18,72,2,2011,1,129317,27476,1072
18,81,1,2011,1,38003,5702,2787
18,81,2,2011,1,39623,5641,1659
18,92,1,2011,1,63224,2571,3497
18,92,2,2011,1,43627,1995,2671
18,00,1,2011,3,1395520,236378,4309
18,00,2,2011,3,1317378,209285,2705
18,11,1,2011,3,9767,5643,3309
18,11,2,2011,3,3949,2841,2464
18,21,1,2011,3,6512,512,6048
18,21,2,2011,3,532,50,3711
18,22,1,2011,3,12969,261,7023
18,22,2,2011,3,4002,143,4690
18,23,1,2011,3,110099,30227,4747
18,23,2,2011,3,16368,3027,2985
18,31-33,1,2011,3,337366,29325,4952
18,31-33,2,2011,3,132807,11415,3567
18,42,1,2011,3,84121,7707,5150
18,42,2,2011,3,32557,3389,3482
18,44-45,1,2011,3,147116,25087,2793
18,44-45,2,2011,3,163868,31302,1793
18,48-49,1,2011,3,81766,12178,3667
18,48-49,2,2011,3,29658,3842,2517
18,51,1,2011,3,21721,1963,4770
18,51,2,2011,3,20083,1776,3163
18,52,1,2011,3,29842,2474,6781
18,52,2,2011,3,58683,3884,3425
18,53,1,2011,3,18571,2803,3649
18,53,2,2011,3,15211,2176,2678
18,54,1,2011,3,48424,6291,6227
18,54,2,2011,3,47923,6262,3575
18,55,1,2011,3,14075,1460,6700
18,55,2,2011,3,16575,1565,3627
18,56,1,2011,3,98177,50526,2910
18,56,2,2011,3,65212,33508,2249
18,61,1,2011,3,70612,8546,4040
18,61,2,2011,3,139644,15075,2682
18,62,1,2011,3,72527,7908,6441
18,62,2,2011,3,318602,36007,3104
18,71,1,2011,3,24694,3793,2829
18,71,2,2011,3,22796,3394,1827
18,72,1,2011,3,99337,29875,1490
18,72,2,2011,3,140181,40586,1202
18,81,1,2011,3,40450,6893,3104
18,81,2,2011,3,41275,6676,1845
18,92,1,2011,3,67375,2907,3788
18,92,2,2011,3,47452,2368,2928
18,00,1,2012,1,1367260,191922,4565
