geography,industry,sex,year,quarter,Emp,HirN,EarnS
20,00,1,2011,1,623156,75618,4097
20,00,2,2011,1,631772,66660,2518
20,11,1,2011,1,7032,921,3052
20,11,2,2011,1,2448,349,2132
20,21,1,2011,1,7184,1069,4536
20,21,2,2011,1,1294,145,3032
20,22,1,2011,1,7830,213,7405
20,22,2,2011,1,2318,66,5122
20,23,1,2011,1,41053,7076,3396
20,23,2,2011,1,7468,1020,2300
20,31-33,1,2011,1,118559,7498,4697
20,31-33,2,2011,1,43646,2413,3367
20,42,1,2011,1,41874,3611,5228
20,42,2,2011,1,16404,1416,3565
20,44-45,1,2011,1,67470,8419,2526
20,44-45,2,2011,1,70327,8196,1558
20,48-49,1,2011,1,29516,4156,3409
20,48-49,2,2011,1,10220,840,2213
20,51,1,2011,1,16884,923,6974
20,51,2,2011,1,14653,778,4787
20,52,1,2011,1,19853,1481,8607
20,52,2,2011,1,36286,2298,3664
20,53,1,2011,1,7382,878,3227
20,53,2,2011,1,6693,838,2386
20,54,1,2011,1,28911,3609,6057
20,54,2,2011,1,29593,3687,3170
20,55,1,2011,1,7577,554,7341
20,55,2,2011,1,6622,506,3723
20,56,1,2011,1,37134,13553,3429
20,56,2,2011,1,30618,8519,2499
20,61,1,2011,1,42384,2505,3433
20,61,2,2011,1,99706,4345,2461
20,62,1,2011,1,35884,3992,4867
20,62,2,2011,1,145343,14604,2564
20,71,1,2011,1,6735,1109,1590
20,71,2,2011,1,7839,1116,1003
20,72,1,2011,1,44029,10406,1379
20,72,2,2011,1,53257,11836,1083
20,81,1,2011,1,15502,2084,2789
20,81,2,2011,1,17953,2433,1684
20,92,1,2011,1,40365,1561,3120
20,92,2,2011,1,29083,1255,2570
20,00,1,2011,3,649482,103125,4247
20,00,2,2011,3,626434,97167,2655
20,11,1,2011,3,7995,1321,3394
20,11,2,2011,3,2917,409,2409
20,21,1,2011,3,7721,1711,4813
20,21,2,2011,3,1431,188,3270
20,22,1,2011,3,8159,204,6847
20,22,2,2011,3,2431,72,4645
20,23,1,2011,3,47150,10583,4084
20,23,2,2011,3,8444,1531,2765
20,31-33,1,2011,3,120647,9762,4798
20,31-33,2,2011,3,43667,3443,3559
20,42,1,2011,3,43019,3891,5308
20,42,2,2011,3,16779,1759,3737
20,44-45,1,2011,3,69279,11887,2721
20,44-45,2,2011,3,70638,14192,1736
20,48-49,1,2011,3,30724,4661,3841
20,48-49,2,2011,3,9800,1371,2534
20,51,1,2011,3,16811,1118,5940
20,51,2,2011,3,14401,888,4245
20,52,1,2011,3,20663,3397,7011
20,52,2,2011,3,36650,3842,3493
20,53,1,2011,3,7954,1199,3519
20,53,2,2011,3,7175,1062,2582
20,54,1,2011,3,30090,4146,6387
20,54,2,2011,3,29903,3992,3405
20,55,1,2011,3,8049,879,6289
20,55,2,2011,3,6898,864,3681
