geography,industry,sex,year,quarter,Emp,HirN,EarnS
21,00,1,2011,1,825463,106127,4015
21,00,2,2011,1,839492,89579,2596
21,11,1,2011,1,4535,667,2699
21,11,2,2011,1,2059,359,2196
21,21,1,2011,1,20977,2289,5782
21,21,2,2011,1,1053,110,3706
21,22,1,2011,1,9126,192,5441
21,22,2,2011,1,2524,68,3891
21,23,1,2011,1,51357,9786,3424
21,23,2,2011,1,7564,979,2507
21,31-33,1,2011,1,156745,10137,4651
21,31-33,2,2011,1,57938,3078,3312
21,42,1,2011,1,49429,4089,4795
21,42,2,2011,1,20570,1672,3474
21,44-45,1,2011,1,92893,12025,2574
21,44-45,2,2011,1,110280,12656,1746
21,48-49,1,2011,1,60060,5788,4460
21,48-49,2,2011,1,21902,1334,2735
21,51,1,2011,1,15812,1254,4074
21,51,2,2011,1,14583,1120,2804
21,52,1,2011,1,20787,1380,7951
21,52,2,2011,1,43592,2368,3705
21,53,1,2011,1,10249,1187,3646
21,53,2,2011,1,8147,980,2472
21,54,1,2011,1,33313,4538,5494
21,54,2,2011,1,34848,4814,3236
21,55,1,2011,1,10069,814,8468
21,55,2,2011,1,10488,863,4203
21,56,1,2011,1,53375,22342,2329
21,56,2,2011,1,35017,12205,1963
21,61,1,2011,1,53549,3035,3664
21,61,2,2011,1,130026,5245,2855
21,62,1,2011,1,46681,3664,5544
21,62,2,2011,1,198176,16442,2792
21,71,1,2011,1,8161,1271,2131
21,71,2,2011,1,7732,1092,1384
21,72,1,2011,1,62547,16282,1473
21,72,2,2011,1,80538,19096,1134
21,81,1,2011,1,22295,3294,2813
21,81,2,2011,1,22509,3813,1728
21,92,1,2011,1,43503,2094,3240
21,92,2,2011,1,29946,1285,2764
21,00,1,2011,3,851748,158414,4172
21,00,2,2011,3,825761,140438,2693
21,11,1,2011,3,4918,987,3023
21,11,2,2011,3,2243,462,2441
21,21,1,2011,3,20940,2990,6092
21,21,2,2011,3,1033,153,4092
21,22,1,2011,3,9282,255,5543
21,22,2,2011,3,2555,85,3955
21,23,1,2011,3,58980,15625,4084
21,23,2,2011,3,8349,1520,2857
21,31-33,1,2011,3,158201,14601,4715
21,31-33,2,2011,3,57141,5272,3522
21,42,1,2011,3,51331,5128,4881
21,42,2,2011,3,21279,2327,3622
21,44-45,1,2011,3,95050,16477,2786
21,44-45,2,2011,3,109663,21290,1911
21,48-49,1,2011,3,62242,9467,4581
21,48-49,2,2011,3,22547,3131,2870
21,51,1,2011,3,15778,1839,4318
21,51,2,2011,3,14119,1756,2989
21,52,1,2011,3,23065,1918,6803
21,52,2,2011,3,45407,3621,3603
21,53,1,2011,3,10833,1708,3537
21,53,2,2011,3,8405,1344,2680
21,54,1,2011,3,33658,4597,5708
21,54,2,2011,3,33719,4670,3472
21,55,1,2011,3,9948,1514,7534
21,55,2,2011,3,10585,1458,4397
21,56,1,2011,3,58596,38342,2656
21,56,2,2011,3,36736,22691,2210
21,61,1,2011,3,45473,4999,3557
21,61,2,2011,3,104288,8937,2285
21,62,1,2011,3,47509,5528,6319
21,62,2,2011,3,200728,23513,3141
21,71,1,2011,3,12371,3028,2219
21,71,2,2011,3,11030,2337,1525
21,72,1,2011,3,66660,22167,1569
21,72,2,2011,3,85793,29349,1266
21,81,1,2011,3,23109,4545,3107
21,81,2,2011,3,23576,4717,1895
21,92,1,2011,3,43801,2697,3449
21,92,2,2011,3,26568,1806,2958
21,00,1,2012,1,846480,117999,4278
21,00,2,2012,1,846794,101087,2779
21,11,1,2012,1,4736,756,2807
21,11,2,2012,1,2148,477,2288
21,21,1,2012,1,21739,1928,5931
21,21,2,2012,1,1015,76,4014
21,22,1,2012,1,9088,220,5807
21,22,2,2012,1,2582,61,4099
21,23,1,2012,1,53714,10238,3677
21,23,2,2012,1,7714,1061,2667
21,31-33,1,2012,1,161947,12390,4825
21,31-33,2,2012,1,58998,4130,3528
21,42,1,2012,1,50173,4161,5182
21,42,2,2012,1,20901,1810,3725
21,44-45,1,2012,1,94123,12974,2764
21,44-45,2,2012,1,110686,13887,1847
21,48-49,1,2012,1,62286,6653,4673
21,48-49,2,2012,1,22787,2157,2895
21,51,1,2012,1,15495,1446,4671
21,51,2,2012,1,13878,1322,3103
21,52,1,2012,1,22123,2037,9118
21,52,2,2012,1,43663,3719,4058
21,53,1,2012,1,10300,1171,3827
21,53,2,2012,1,8146,892,3021
21,54,1,2012,1,32278,3869,5808
21,54,2,2012,1,34108,4480,3422
21,55,1,2012,1,10542,855,9869
21,55,2,2012,1,10977,956,4640
21,56,1,2012,1,58535,26812,2561
21,56,2,2012,1,38370,14293,2123
21,61,1,2012,1,54242,2986,3856
21,61,2,2012,1,131622,5517,3062
21,62,1,2012,1,47080,4130,6049
21,62,2,2012,1,199447,18258,3004
21,71,1,2012,1,8855,1501,2211
21,71,2,2012,1,8704,1304,1419
21,72,1,2012,1,63777,18577,1565
21,72,2,2012,1,81981,21665,1211
21,81,1,2012,1,23288,3541,2992
21,81,2,2012,1,23227,3779,1823
21,92,1,2012,1,42160,1754,3330
21,92,2,2012,1,25839,1246,2878
21,00,1,2012,3,872966,143557,4087
21,00,2,2012,3,836683,133004,2650
21,11,1,2012,3,5073,654,2914
21,11,2,2012,3,2349,372,2380
21,21,1,2012,3,19366,1053,5628
21,21,2,2012,3,973,58,3907
21,22,1,2012,3,9195,257,5384
21,22,2,2012,3,2633,62,3856
21,23,1,2012,3,59386,13436,4108
21,23,2,2012,3,8336,1309,2873
21,31-33,1,2012,3,169174,15594,4643
21,31-33,2,2012,3,60988,5474,3470
21,42,1,2012,3,51220,4639,4760
21,42,2,2012,3,21414,2194,3521
21,44-45,1,2012,3,97036,16134,2730
21,44-45,2,2012,3,110413,20818,1872
21,48-49,1,2012,3,63146,7793,4451
21,48-49,2,2012,3,22892,2683,2862
21,51,1,2012,3,15807,1468,4205
21,51,2,2012,3,14043,1706,2921
21,52,1,2012,3,23745,1804,6803
21,52,2,2012,3,46701,3148,3733
