geography,industry,sex,year,quarter,Emp,HirN,EarnS
22,00,1,2011,1,893358,150469,4339
22,00,2,2011,1,871760,127634,2543
22,11,1,2011,1,6712,1068,2693
22,11,2,2011,1,1683,313,1842
22,21,1,2011,1,43199,6308,6855
22,21,2,2011,1,5078,640,5000
22,22,1,2011,1,9940,438,6326
22,22,2,2011,1,3163,125,3765
22,23,1,2011,1,105711,28875,4011
22,23,2,2011,1,17904,3772,2750
22,31-33,1,2011,1,112212,9451,5812
22,31-33,2,2011,1,27835,2384,3802
22,42,1,2011,1,52386,5053,4972
22,42,2,2011,1,19400,1956,3395
22,44-45,1,2011,1,97590,15625,2680
22,44-45,2,2011,1,121562,19244,1688
22,48-49,1,2011,1,56799,6625,4805
22,48-49,2,2011,1,12216,1311,2766
22,51,1,2011,1,14771,3380,4128
22,51,2,2011,1,12552,2419,3059
22,52,1,2011,1,17179,1497,7613
22,52,2,2011,1,41507,2879,3439
22,53,1,2011,1,21022,2814,4424
22,53,2,2011,1,11420,1393,2540
22,54,1,2011,1,40677,5204,5881
22,54,2,2011,1,40260,5269,3171
22,55,1,2011,1,13215,1304,5819
22,55,2,2011,1,12766,1166,3232
22,56,1,2011,1,53090,20076,3108
22,56,2,2011,1,35454,10867,2119
22,61,1,2011,1,42821,3763,3908
22,61,2,2011,1,116472,8567,2865
22,62,1,2011,1,49917,5622,5080
22,62,2,2011,1,221377,28177,2691
22,71,1,2011,1,16347,2331,2376
22,71,2,2011,1,19365,2621,1725
22,72,1,2011,1,72836,24576,1770
22,72,2,2011,1,91539,29316,1346
22,81,1,2011,1,23085,4023,3220
22,81,2,2011,1,22350,3507,1919
22,92,1,2011,1,43847,2438,3326
22,92,2,2011,1,37858,1706,2914
22,00,1,2011,3,918430,175512,4638
22,00,2,2011,3,861896,145907,2689
22,11,1,2011,3,7586,2273,3245
22,11,2,2011,3,1932,541,2064
22,21,1,2011,3,45224,7906,7157
22,21,2,2011,3,5287,677,4730
22,22,1,2011,3,9664,533,5866
22,22,2,2011,3,3369,199,3804
22,23,1,2011,3,114653,30602,4434
22,23,2,2011,3,19238,3853,3077
22,31-33,1,2011,3,114969,13883,5655
22,31-33,2,2011,3,28169,3562,3734
22,42,1,2011,3,53281,6076,5269
22,42,2,2011,3,19845,2082,3504
22,44-45,1,2011,3,100031,18563,2878
22,44-45,2,2011,3,122551,25420,1819
22,48-49,1,2011,3,58211,8413,5405
22,48-49,2,2011,3,12157,1730,2957
22,51,1,2011,3,15287,2389,4260
22,51,2,2011,3,12638,1643,3091
22,52,1,2011,3,16935,1676,7782
22,52,2,2011,3,39412,3356,3298
22,53,1,2011,3,21453,3587,4922
22,53,2,2011,3,11170,1556,2787
22,54,1,2011,3,40760,7494,6546
22,54,2,2011,3,37734,5109,3460
22,55,1,2011,3,14507,2177,6476
22,55,2,2011,3,14203,1903,3394
22,56,1,2011,3,57269,25276,3470
22,56,2,2011,3,35487,12877,2305
22,61,1,2011,3,38252,4844,4031
22,61,2,2011,3,95671,9092,2857
22,62,1,2011,3,51989,6515,6018
22,62,2,2011,3,227426,31339,3004
22,71,1,2011,3,17390,2398,2717
22,71,2,2011,3,20823,3116,1807
22,72,1,2011,3,73987,23498,1818
22,72,2,2011,3,94541,31703,1417
22,81,1,2011,3,24407,4862,3499
22,81,2,2011,3,22477,3950,1971
22,92,1,2011,3,42575,2546,3631
22,92,2,2011,3,37768,2198,3247
22,00,1,2012,1,900724,166119,4878
22,00,2,2012,1,870853,138882,2748
22,11,1,2012,1,6751,1148,2969
22,11,2,2012,1,1717,344,1973
22,21,1,2012,1,46036,6674,8124
22,21,2,2012,1,5426,708,5917
22,22,1,2012,1,9451,420,7190
22,22,2,2012,1,3161,177,4686
22,23,1,2012,1,106147,31200,4481
22,23,2,2012,1,18010,4188,3343
22,31-33,1,2012,1,114101,11769,6117
22,31-33,2,2012,1,27593,2933,3980
22,42,1,2012,1,52851,5428,5471
22,42,2,2012,1,19503,1987,3645
22,44-45,1,2012,1,98171,17362,2929
22,44-45,2,2012,1,122280,21706,1787
22,48-49,1,2012,1,57737,7652,5316
22,48-49,2,2012,1,12500,1693,2924
22,51,1,2012,1,15195,3812,4506
22,51,2,2012,1,12263,2178,3235
22,52,1,2012,1,16760,1526,9334
22,52,2,2012,1,40794,3269,3726
22,53,1,2012,1,21364,3553,4854
22,53,2,2012,1,11512,1585,2763
22,54,1,2012,1,41765,6677,6527
22,54,2,2012,1,41654,6409,3420
22,55,1,2012,1,13809,1710,8142
22,55,2,2012,1,13349,1682,3917
22,56,1,2012,1,54987,22272,3404
22,56,2,2012,1,36853,12034,2284
22,61,1,2012,1,40900,3061,4016
22,61,2,2012,1,107421,6091,2903
22,62,1,2012,1,50740,6767,5670
22,62,2,2012,1,226310,32192,2871
22,71,1,2012,1,15917,2253,3500
22,71,2,2012,1,19063,2678,1828
22,72,1,2012,1,76094,25954,1890
22,72,2,2012,1,96383,31014,1422
22,81,1,2012,1,23525,4637,3495
22,81,2,2012,1,21092,4208,2036
22,92,1,2012,1,38420,2246,4770
22,92,2,2012,1,33968,1809,4013
22,00,1,2012,3,923330,166779,4516
22,00,2,2012,3,873784,140289,2587
22,11,1,2012,3,7373,1957,3255
22,11,2,2012,3,1910,484,2007
22,21,1,2012,3,44113,5639,6921
22,21,2,2012,3,5534,526,4693
22,22,1,2012,3,9885,358,5893
22,22,2,2012,3,3458,154,3767
