geography,industry,sex,year,quarter,Emp,HirN,EarnS
25,00,1,2011,1,1472339,152075,6944
25,00,2,2011,1,1554382,135736,3859
25,11,1,2011,1,3275,604,4516
25,11,2,2011,1,1872,236,3001
25,21,1,2011,1,699,69,3980
25,21,2,2011,1,122,9,3426
25,22,1,2011,1,9613,286,8327
25,22,2,2011,1,3537,180,5601
25,23,1,2011,1,86644,12738,5014
25,23,2,2011,1,19865,1983,3547
25,31-33,1,2011,1,176188,9110,7553
25,31-33,2,2011,1,77987,3982,4896
25,42,1,2011,1,83074,6570,7558
25,42,2,2011,1,38086,3039,5284
25,44-45,1,2011,1,170312,16467,2925
25,44-45,2,2011,1,166847,13652,1817
25,48-49,1,2011,1,52805,4966,3946
25,48-49,2,2011,1,22341,1618,2675
25,51,1,2011,1,53924,4135,9890
25,51,2,2011,1,35730,2467,6362
25,52,1,2011,1,74889,4636,19922
25,52,2,2011,1,94761,4404,7483
25,53,1,2011,1,22705,2009,6173
25,53,2,2011,1,15577,1318,4005
25,54,1,2011,1,137815,13164,15367
25,54,2,2011,1,111504,10799,7495
25,55,1,2011,1,28418,2043,10235
25,55,2,2011,1,33406,1955,5563
25,56,1,2011,1,91142,26640,3581
25,56,2,2011,1,59001,14724,2771
25,61,1,2011,1,125636,8644,4890
25,61,2,2011,1,189815,12256,3623
25,62,1,2011,1,119459,7786,5664
25,62,2,2011,1,392916,24972,3657
25,71,1,2011,1,22747,3335,3465
25,71,2,2011,1,24228,3247,1710
25,72,1,2011,1,112462,19520,1870
25,72,2,2011,1,132175,20789,1351
25,81,1,2011,1,52945,7194,2977
25,81,2,2011,1,78593,11573,1831
25,92,1,2011,1,47588,2161,4755
25,92,2,2011,1,56020,2535,3782
25,00,1,2011,3,1563284,221775,6067
25,00,2,2011,3,1580972,214200,3776
25,11,1,2011,3,4918,1630,5428
25,11,2,2011,3,3138,867,2651
25,21,1,2011,3,850,56,4900
25,21,2,2011,3,141,7,3623
25,22,1,2011,3,9706,285,8009
25,22,2,2011,3,3394,134,5461
25,23,1,2011,3,105992,22089,5601
25,23,2,2011,3,21463,2851,3607
25,31-33,1,2011,3,180114,10409,6863
25,31-33,2,2011,3,79659,5023,4811
25,42,1,2011,3,86046,7129,7374
25,42,2,2011,3,38728,3320,5180
25,44-45,1,2011,3,175975,27034,3151
25,44-45,2,2011,3,170011,29803,2024
25,48-49,1,2011,3,55035,6341,4203
25,48-49,2,2011,3,22273,2320,2817
25,51,1,2011,3,55767,5395,8826
25,51,2,2011,3,36388,3396,5859
25,52,1,2011,3,76710,5332,12120
25,52,2,2011,3,95384,5332,5961
25,53,1,2011,3,25368,2715,7355
25,53,2,2011,3,16986,1887,4157
25,54,1,2011,3,144882,14335,9846
25,54,2,2011,3,115727,11750,6149
25,55,1,2011,3,29269,2440,8665
25,55,2,2011,3,33304,2716,5086
25,56,1,2011,3,105607,33123,3846
25,56,2,2011,3,63699,19406,3037
25,61,1,2011,3,116323,14968,5543
25,61,2,2011,3,165166,22276,3709
25,62,1,2011,3,120893,12755,6267
25,62,2,2011,3,392963,36429,3924
25,71,1,2011,3,33409,7055,3826
25,71,2,2011,3,30637,6641,1817
25,72,1,2011,3,131170,34961,2159
25,72,2,2011,3,155920,40444,1617
25,81,1,2011,3,58340,9648,3185
25,81,2,2011,3,84375,15418,2040
25,92,1,2011,3,46912,4075,5382
25,92,2,2011,3,51615,4183,4029
25,00,1,2012,1,1501806,163167,6784
25,00,2,2012,1,1573900,156611,4023
25,11,1,2012,1,3474,670,5102
25,11,2,2012,1,1998,245,3194
25,21,1,2012,1,663,36,3962
25,21,2,2012,1,117,7,3207
25,22,1,2012,1,9736,256,8618
25,22,2,2012,1,3609,124,6014
25,23,1,2012,1,91569,13569,5320
25,23,2,2012,1,20357,2277,3856
25,31-33,1,2012,1,175235,8568,7757
25,31-33,2,2012,1,77194,3877,5227
25,42,1,2012,1,82739,6470,7700
25,42,2,2012,1,36427,3114,5416
25,44-45,1,2012,1,173167,17363,3083
25,44-45,2,2012,1,170077,14818,1948
25,48-49,1,2012,1,53780,4133,4121
25,48-49,2,2012,1,22840,1468,2864
25,51,1,2012,1,54805,3935,10060
25,51,2,2012,1,35989,2754,6700
25,52,1,2012,1,74180,4354,19937
25,52,2,2012,1,92810,4439,7878
25,53,1,2012,1,23232,1857,6487
25,53,2,2012,1,15711,1357,4319
25,54,1,2012,1,144122,13902,11535
25,54,2,2012,1,114726,11272,6829
25,55,1,2012,1,30245,1901,11683
25,55,2,2012,1,35029,2122,6261
25,56,1,2012,1,93643,24455,3843
25,56,2,2012,1,58935,15091,3023
25,61,1,2012,1,127000,13204,5173
25,61,2,2012,1,190334,18641,3892
25,62,1,2012,1,122291,8628,5954
25,62,2,2012,1,400078,28293,3871
25,71,1,2012,1,23360,4308,4778
25,71,2,2012,1,24556,4050,1840
25,72,1,2012,1,116920,22921,1977
25,72,2,2012,1,137380,24256,1454
25,81,1,2012,1,55158,7163,3050
25,81,2,2012,1,80764,11544,1948
25,92,1,2012,1,46489,5473,5268
25,92,2,2012,1,54967,6862,4286
25,00,1,2012,3,1588356,214172,5989
25,00,2,2012,3,1614777,212091,3759
25,11,1,2012,3,5033,1234,5006
25,11,2,2012,3,3264,802,2538
25,21,1,2012,3,797,61,4834
25,21,2,2012,3,125,6,3640
25,22,1,2012,3,9697,370,7763
25,22,2,2012,3,3372,165,5429
25,23,1,2012,3,108222,20949,5513
25,23,2,2012,3,21880,2698,3656
25,31-33,1,2012,3,177573,9418,6990
25,31-33,2,2012,3,77836,4495,4778
25,42,1,2012,3,84412,6198,7076
25,42,2,2012,3,37142,2817,5019
25,44-45,1,2012,3,176891,25593,3047
25,44-45,2,2012,3,170770,27755,1988
25,48-49,1,2012,3,55327,5918,4131
25,48-49,2,2012,3,22315,2290,2808
25,51,1,2012,3,57003,6152,8998
25,51,2,2012,3,36956,4403,6021
25,52,1,2012,3,75649,6204,11263
25,52,2,2012,3,92971,5958,5756
25,53,1,2012,3,25824,2505,7292
25,53,2,2012,3,17186,1843,4128
25,54,1,2012,3,149329,14351,9756
25,54,2,2012,3,118337,11506,6154
25,55,1,2012,3,31055,2311,9000
25,55,2,2012,3,35731,2902,5279
25,56,1,2012,3,106784,30881,3726
25,56,2,2012,3,63288,18957,2948
25,61,1,2012,3,120876,15401,5612
25,61,2,2012,3,171244,23574,3768
25,62,1,2012,3,126200,12363,6244
25,62,2,2012,3,410633,35567,3908
25,71,1,2012,3,33867,6698,3751
25,71,2,2012,3,31159,6465,1823
25,72,1,2012,3,134994,33263,2105
25,72,2,2012,3,159529,39228,1593
25,81,1,2012,3,59579,9467,3092
25,81,2,2012,3,86629,14787,1999
25,92,1,2012,3,49244,4836,5635
25,92,2,2012,3,54413,5875,4228
25,00,1,2013,1,1534414,159327,6821
25,00,2,2013,1,1614925,148503,4119
25,11,1,2013,1,3363,526,5583
25,11,2,2013,1,2022,218,3512
25,21,1,2013,1,668,27,3947
25,21,2,2013,1,103,3,3862
25,22,1,2013,1,9533,390,9506
25,22,2,2013,1,3401,150,6319
25,23,1,2013,1,97098,14773,5383
25,23,2,2013,1,21571,2133,3965
25,31-33,1,2013,1,174519,8552,7639
25,31-33,2,2013,1,76472,4405,5340
25,42,1,2013,1,83368,6186,7683
25,42,2,2013,1,36626,3073,5602
25,44-45,1,2013,1,173738,16728,3097
25,44-45,2,2013,1,169974,14390,1980
25,48-49,1,2013,1,55261,4897,4136
25,48-49,2,2013,1,23910,1591,2905
25,51,1,2013,1,54894,4255,10078
25,51,2,2013,1,36522,2708,6728
25,52,1,2013,1,74305,4932,20340
25,52,2,2013,1,91884,5116,8121
25,53,1,2013,1,23799,2014,6843
25,53,2,2013,1,15958,1287,4461
25,54,1,2013,1,148999,13661,11218
25,54,2,2013,1,119136,11508,6889
25,55,1,2013,1,31005,1832,12354
25,55,2,2013,1,36204,2197,6801
25,56,1,2013,1,93550,25893,3820
25,56,2,2013,1,60202,16271,3029
25,61,1,2013,1,134566,9260,5458
25,61,2,2013,1,200760,13083,4080
25,62,1,2013,1,134376,10511,5783
25,62,2,2013,1,435089,33220,3787
25,71,1,2013,1,22784,3735,4039
25,71,2,2013,1,25100,3640,1866
25,72,1,2013,1,119838,22424,1979
25,72,2,2013,1,139606,23373,1456
25,81,1,2013,1,48005,5900,3362
25,81,2,2013,1,60247,6988,2277
25,92,1,2013,1,50744,2830,5658
25,92,2,2013,1,60139,3149,4516
25,00,1,2013,3,1620622,226172,6161
25,00,2,2013,3,1645696,224441,3867
25,11,1,2013,3,4969,1281,4733
25,11,2,2013,3,3353,856,2531
25,21,1,2013,3,832,59,5042
25,21,2,2013,3,125,8,3553
25,22,1,2013,3,9649,360,8109
25,22,2,2013,3,3293,193,5512
25,23,1,2013,3,115620,21236,5723
25,23,2,2013,3,23262,3288,3684
25,31-33,1,2013,3,176899,9584,7102
25,31-33,2,2013,3,77743,4969,5023
25,42,1,2013,3,86137,7246,7278
25,42,2,2013,3,37800,3421,5289
25,44-45,1,2013,3,178957,27098,3147
25,44-45,2,2013,3,171611,28982,2028
25,48-49,1,2013,3,55707,7829,4145
25,48-49,2,2013,3,22752,2967,2851
25,51,1,2013,3,57400,5453,8891
25,51,2,2013,3,37344,3829,6013
25,52,1,2013,3,75892,5077,11740
25,52,2,2013,3,92293,4905,5920
25,53,1,2013,3,26405,2828,8031
25,53,2,2013,3,17490,1977,4387
25,54,1,2013,3,155004,14456,10327
25,54,2,2013,3,122946,12355,6464
25,55,1,2013,3,32167,2602,9019
25,55,2,2013,3,37062,2959,5424
25,56,1,2013,3,109345,33299,3789
25,56,2,2013,3,65933,20941,3004
25,61,1,2013,3,123349,15528,5716
25,61,2,2013,3,177254,23667,3888
25,62,1,2013,3,136622,14814,6002
25,62,2,2013,3,438731,43176,3832
25,71,1,2013,3,34678,7641,3983
25,71,2,2013,3,32342,7194,1889
25,72,1,2013,3,138147,35848,2159
25,72,2,2013,3,162817,41995,1639
25,81,1,2013,3,51949,8758,3440
25,81,2,2013,3,64089,10791,2381
25,92,1,2013,3,50893,5176,5707
25,92,2,2013,3,57455,5969,4298
25,00,1,2014,1,1568667,158828,7224
25,00,2,2014,1,1649304,149824,4294
25,11,1,2014,1,3217,480,5906
25,11,2,2014,1,2104,239,3607
25,21,1,2014,1,690,55,4236
25,21,2,2014,1,109,8,3626
25,22,1,2014,1,9872,563,9050
25,22,2,2014,1,3948,196,6176
25,23,1,2014,1,102027,13863,5552
25,23,2,2014,1,22931,2260,4103
25,31-33,1,2014,1,174316,8423,8382
25,31-33,2,2014,1,77907,4297,6080
25,42,1,2014,1,83321,6230,8063
25,42,2,2014,1,36835,2788,5928
25,44-45,1,2014,1,175707,18001,3198
25,44-45,2,2014,1,170940,15417,2037
25,48-49,1,2014,1,56852,5239,4371
25,48-49,2,2014,1,24502,2056,2971
25,51,1,2014,1,55520,3759,10835
25,51,2,2014,1,36970,2570,7192
25,52,1,2014,1,74798,5013,23189
25,52,2,2014,1,90903,4905,8954
25,53,1,2014,1,24559,2096,7325
25,53,2,2014,1,16404,1457,4770
25,54,1,2014,1,152145,13890,11936
25,54,2,2014,1,121905,11608,7301
25,55,1,2014,1,30906,1899,13766
25,55,2,2014,1,35503,2163,6985
25,56,1,2014,1,96571,24391,3881
25,56,2,2014,1,63221,15556,3062
25,61,1,2014,1,139042,8408,5567
25,61,2,2014,1,208277,11594,4163
25,62,1,2014,1,137655,11164,5759
25,62,2,2014,1,442868,35237,3835
25,71,1,2014,1,24363,3994,3904
25,71,2,2014,1,26227,3808,1901
25,72,1,2014,1,123632,22778,2018
25,72,2,2014,1,143179,23839,1498
25,81,1,2014,1,49438,6262,3487
25,81,2,2014,1,60694,7121,2359
25,92,1,2014,1,54036,2322,5793
25,92,2,2014,1,63878,2704,4595
25,00,1,2014,3,1659565,236363,6315
25,00,2,2014,3,1691767,239854,3983
25,11,1,2014,3,5072,1245,4441
25,11,2,2014,3,3480,1038,2644
25,21,1,2014,3,874,80,5081
25,21,2,2014,3,128,12,3441
25,22,1,2014,3,9671,872,8380
25,22,2,2014,3,3652,337,5782
25,23,1,2014,3,121393,22175,5960
25,23,2,2014,3,24983,3520,3896
25,31-33,1,2014,3,175657,9809,7267
25,31-33,2,2014,3,78461,5160,5205
25,42,1,2014,3,86100,7216,7430
25,42,2,2014,3,37728,3280,5524
25,44-45,1,2014,3,179437,28607,3272
25,44-45,2,2014,3,171742,30863,2101
25,48-49,1,2014,3,59640,7714,4348
25,48-49,2,2014,3,24477,2810,2871
25,51,1,2014,3,57189,5043,9507
25,51,2,2014,3,37004,3329,6295
25,52,1,2014,3,76880,5497,12183
25,52,2,2014,3,91866,5435,6147
25,53,1,2014,3,27291,2823,7726
25,53,2,2014,3,17950,1884,4570
25,54,1,2014,3,158774,16914,10603
25,54,2,2014,3,126559,13892,6738
25,55,1,2014,3,32103,2539,9237
