geography,industry,sex,year,quarter,Emp,HirN,EarnS
24,00,1,2011,1,1107484,121486,5176
24,00,2,2011,1,1165193,108373,3376
24,11,1,2011,1,2830,494,2759
24,11,2,2011,1,1492,265,1969
24,21,1,2011,1,1178,62,4563
24,21,2,2011,1,145,12,4591
24,22,1,2011,1,7792,199,12297
24,22,2,2011,1,2154,72,8990
24,23,1,2011,1,111931,14807,4607
24,23,2,2011,1,24629,3265,3314
24,31-33,1,2011,1,78042,4380,6206
24,31-33,2,2011,1,34072,1922,4671
24,42,1,2011,1,58314,4806,6341
24,42,2,2011,1,25725,2202,4696
24,44-45,1,2011,1,138946,15245,2827
24,44-45,2,2011,1,136681,13632,1809
24,48-49,1,2011,1,51664,5017,4134
24,48-49,2,2011,1,20822,1589,3129
24,51,1,2011,1,26268,2042,7399
24,51,2,2011,1,21326,1521,5048
24,52,1,2011,1,36357,2745,13031
24,52,2,2011,1,59784,3362,5255
24,53,1,2011,1,22817,2071,6387
24,53,2,2011,1,18221,1626,3932
24,54,1,2011,1,125530,12683,8304
24,54,2,2011,1,98912,10183,5231
24,55,1,2011,1,10424,756,11731
24,55,2,2011,1,11306,799,6286
24,56,1,2011,1,76108,18534,3384
24,56,2,2011,1,59440,13290,2556
24,61,1,2011,1,79905,4577,4525
24,61,2,2011,1,176680,7537,3776
24,62,1,2011,1,72204,5966,5089
24,62,2,2011,1,253586,19359,3189
24,71,1,2011,1,14895,2268,2289
24,71,2,2011,1,15197,2300,1359
24,72,1,2011,1,87721,16885,1744
24,72,2,2011,1,96377,17520,1347
24,81,1,2011,1,37381,4749,3441
24,81,2,2011,1,47968,5183,2351
24,92,1,2011,1,67177,3199,4413
24,92,2,2011,1,60676,2734,3640
24,00,1,2011,3,1160892,169952,5207
24,00,2,2011,3,1174990,159115,3469
24,11,1,2011,3,3540,664,3019
24,11,2,2011,3,1949,384,2198
24,21,1,2011,3,1299,178,4853
24,21,2,2011,3,156,21,3769
24,22,1,2011,3,7861,218,8353
24,22,2,2011,3,2192,67,6334
24,23,1,2011,3,121272,21798,5015
24,23,2,2011,3,26279,4168,3671
