geography,industry,sex,year,quarter,Emp,HirN,EarnS
23,00,1,2011,1,258192,23984,3752
23,00,2,2011,1,284234,23040,2519
23,11,1,2011,1,4139,437,3113
23,11,2,2011,1,982,101,1688
23,21,1,2011,1,97,7,2954
23,21,2,2011,1,18,,2421
23,22,1,2011,1,2191,30,5200
23,22,2,2011,1,608,14,3888
23,23,1,2011,1,21157,2212,3203
23,23,2,2011,1,3366,329,2249
23,31-33,1,2011,1,38499,1929,4616
23,31-33,2,2011,1,12389,660,3157
23,42,1,2011,1,13967,928,4711
23,42,2,2011,1,4559,319,3498
23,44-45,1,2011,1,39467,3073,2576
23,44-45,2,2011,1,39212,2900,1607
23,48-49,1,2011,1,11460,1081,3214
23,48-49,2,2011,1,4814,230,2297
23,51,1,2011,1,5067,279,4413
23,51,2,2011,1,4027,204,2933
23,52,1,2011,1,7361,459,8869
23,52,2,2011,1,17194,809,4413
23,53,1,2011,1,3606,373,2962
23,53,2,2011,1,2711,240,2305
23,54,1,2011,1,10744,1162,5381
23,54,2,2011,1,12134,1395,3184
23,55,1,2011,1,3181,167,6313
23,55,2,2011,1,4295,223,3479
23,56,1,2011,1,14023,3863,2866
23,56,2,2011,1,10691,2361,2479
23,61,1,2011,1,19280,1314,3274
23,61,2,2011,1,40487,1897,2613
23,62,1,2011,1,20796,1651,4902
23,62,2,2011,1,80070,5881,2668
23,71,1,2011,1,4765,679,2373
23,71,2,2011,1,3666,530,1490
23,72,1,2011,1,17633,2919,1423
23,72,2,2011,1,24539,3495,1101
23,81,1,2011,1,7791,907,2916
23,81,2,2011,1,8429,1082,1733
23,92,1,2011,1,12965,515,3488
23,92,2,2011,1,10044,365,2926
23,00,1,2011,3,282274,42841,3852
23,00,2,2011,3,299365,44572,2629
23,11,1,2011,3,4747,1694,3236
23,11,2,2011,3,1311,631,1831
23,21,1,2011,3,199,28,4479
23,21,2,2011,3,31,,3332
23,22,1,2011,3,2236,74,5257
23,22,2,2011,3,635,27,3834
23,23,1,2011,3,26237,4468,3646
23,23,2,2011,3,3990,518,2457
23,31-33,1,2011,3,39671,2912,4620
23,31-33,2,2011,3,12983,1205,3171
