geography,industry,sex,year,quarter,Emp,HirN,EarnS
26,00,1,2011,1,1788283,206958,4770
26,00,2,2011,1,1900399,181761,2786
26,11,1,2011,1,12234,2150,2443
26,11,2,2011,1,5798,1360,1588
26,21,1,2011,1,4790,226,6698
26,21,2,2011,1,783,31,4393
26,22,1,2011,1,14999,286,9673
26,22,2,2011,1,5424,114,6597
26,23,1,2011,1,96171,14013,3964
26,23,2,2011,1,16948,2102,2731
26,31-33,1,2011,1,366696,25658,5828
26,31-33,2,2011,1,133262,8527,4091
26,42,1,2011,1,107547,7758,6069
26,42,2,2011,1,45402,3557,3891
26,44-45,1,2011,1,205651,18795,2676
26,44-45,2,2011,1,224165,17557,1651
26,48-49,1,2011,1,64068,6861,3714
26,48-49,2,2011,1,23650,1883,2690
26,51,1,2011,1,32176,2559,5872
26,51,2,2011,1,26855,1839,3913
26,52,1,2011,1,42374,2929,9747
26,52,2,2011,1,88306,4494,4080
26,53,1,2011,1,25892,2864,3538
26,53,2,2011,1,22872,2375,2474
26,54,1,2011,1,129094,15409,7478
26,54,2,2011,1,103662,12418,4088
26,55,1,2011,1,31094,1595,11019
26,55,2,2011,1,20932,1060,6011
26,56,1,2011,1,137165,50502,3104
26,56,2,2011,1,110234,32682,2041
26,61,1,2011,1,108066,7522,4033
26,61,2,2011,1,246545,11617,3119
26,62,1,2011,1,125664,10860,5146
26,62,2,2011,1,489146,38225,2735
26,71,1,2011,1,20721,3119,3237
26,71,2,2011,1,20975,2849,1263
26,72,1,2011,1,131652,23977,1460
26,72,2,2011,1,179152,28171,1137
26,81,1,2011,1,54488,7285,2820
26,81,2,2011,1,67512,7881,1770
26,92,1,2011,1,77740,2591,4361
26,92,2,2011,1,68775,3016,3363
26,00,1,2011,3,1892137,294206,4729
26,00,2,2011,3,1909254,276915,2922
26,11,1,2011,3,17697,12230,2643
26,11,2,2011,3,9147,8677,1777
26,21,1,2011,3,5669,440,6307
26,21,2,2011,3,915,55,4205
26,22,1,2011,3,15986,430,8171
26,22,2,2011,3,5673,113,5884
26,23,1,2011,3,124764,27694,4642
26,23,2,2011,3,19765,3467,3040
26,31-33,1,2011,3,371336,32489,5310
26,31-33,2,2011,3,134003,12234,3820
26,42,1,2011,3,112944,10040,6081
26,42,2,2011,3,46802,4664,3966
26,44-45,1,2011,3,214138,32716,2967
26,44-45,2,2011,3,232704,40437,1861
26,48-49,1,2011,3,71927,7866,4274
