geography,industry,sex,year,quarter,Emp,HirN,EarnS
27,00,1,2011,1,1210267,126064,4988
27,00,2,2011,1,1294048,121778,3112
27,11,1,2011,1,11494,1820,2692
27,11,2,2011,1,4362,714,1942
27,21,1,2011,1,4703,211,7643
27,21,2,2011,1,478,27,5314
27,22,1,2011,1,10593,546,7883
27,22,2,2011,1,3253,101,5883
27,23,1,2011,1,72617,8660,4210
27,23,2,2011,1,11993,1175,3164
27,31-33,1,2011,1,209416,12072,5275
27,31-33,2,2011,1,89384,4959,3858
27,42,1,2011,1,84789,5952,6524
27,42,2,2011,1,37773,3068,4569
27,44-45,1,2011,1,132373,12416,2559
27,44-45,2,2011,1,143059,12147,1629
27,48-49,1,2011,1,49837,4952,3303
27,48-49,2,2011,1,15910,1192,2530
27,51,1,2011,1,30661,2007,5936
27,51,2,2011,1,25169,1571,4055
27,52,1,2011,1,51431,3803,13317
27,52,2,2011,1,80752,4468,6040
27,53,1,2011,1,20712,1914,5786
27,53,2,2011,1,20496,1980,4148
27,54,1,2011,1,64275,7346,7486
27,54,2,2011,1,60745,7009,4457
27,55,1,2011,1,33259,3839,12095
27,55,2,2011,1,34110,4136,6213
27,56,1,2011,1,72462,21855,2936
27,56,2,2011,1,51182,13430,2409
27,61,1,2011,1,74190,6169,4086
27,61,2,2011,1,161585,11495,3084
27,62,1,2011,1,87991,8092,5132
27,62,2,2011,1,325101,27960,2855
27,71,1,2011,1,21597,2695,2830
27,71,2,2011,1,22065,2491,1496
27,72,1,2011,1,84934,14225,1407
27,72,2,2011,1,105621,15753,1154
27,81,1,2011,1,35855,4241,2880
27,81,2,2011,1,47555,5512,1769
27,92,1,2011,1,57077,3248,3993
27,92,2,2011,1,53455,2591,3494
27,00,1,2011,3,1292122,197009,4883
27,00,2,2011,3,1303359,189976,3193
27,11,1,2011,3,14442,3565,2848
27,11,2,2011,3,6094,1640,2079
27,21,1,2011,3,5729,400,7259
27,21,2,2011,3,597,41,5591
27,22,1,2011,3,11037,460,7169
27,22,2,2011,3,3413,157,5163
27,23,1,2011,3,98878,21341,4900
27,23,2,2011,3,14278,2569,3367
27,31-33,1,2011,3,221027,17758,5296
27,31-33,2,2011,3,92363,7684,4113
27,42,1,2011,3,90353,6971,6250
27,42,2,2011,3,40090,3442,4584
27,44-45,1,2011,3,139974,23934,2876
27,44-45,2,2011,3,147285,29296,1873
27,48-49,1,2011,3,51771,6621,3657
27,48-49,2,2011,3,16232,2012,2732
27,51,1,2011,3,28949,2662,6287
27,51,2,2011,3,23277,2076,4295
27,52,1,2011,3,52722,4428,8576
27,52,2,2011,3,81235,5738,4808
27,53,1,2011,3,21573,3114,4884
27,53,2,2011,3,20755,2603,3815
27,54,1,2011,3,66946,8841,7693
27,54,2,2011,3,61816,7883,4836
27,55,1,2011,3,34186,3079,9345
27,55,2,2011,3,34730,3988,5960
27,56,1,2011,3,81128,36330,3141
27,56,2,2011,3,55039,23103,2551
27,61,1,2011,3,62165,7970,4185
27,61,2,2011,3,126362,16664,2815
27,62,1,2011,3,89967,10318,5698
27,62,2,2011,3,331314,35304,3174
27,71,1,2011,3,29106,5334,3181
27,71,2,2011,3,26885,4789,1631
27,72,1,2011,3,92294,24208,1607
27,72,2,2011,3,117055,29950,1338
27,81,1,2011,3,38807,6155,3217
27,81,2,2011,3,49533,7741,1950
27,92,1,2011,3,61068,3521,4293
27,92,2,2011,3,55005,3297,3818
27,00,1,2012,1,1238379,137644,5332
27,00,2,2012,1,1315015,134871,3352
27,11,1,2012,1,12543,1782,2778
27,11,2,2012,1,4744,727,2044
27,21,1,2012,1,5218,227,7639
27,21,2,2012,1,517,26,6048
27,22,1,2012,1,10557,419,8335
27,22,2,2012,1,3287,160,6396
27,23,1,2012,1,76343,9066,4444
27,23,2,2012,1,12416,1318,3506
27,31-33,1,2012,1,215879,13035,5589
27,31-33,2,2012,1,89899,4859,4170
27,42,1,2012,1,86381,6017,6989
27,42,2,2012,1,38738,2835,4927
27,44-45,1,2012,1,136027,13606,2782
27,44-45,2,2012,1,145617,14105,1778
27,48-49,1,2012,1,53448,5472,3582
27,48-49,2,2012,1,17584,1379,2749
27,51,1,2012,1,27391,2223,6108
27,51,2,2012,1,21414,1806,4238
27,52,1,2012,1,51714,4452,14833
27,52,2,2012,1,79709,5952,6623
27,53,1,2012,1,21209,2016,6835
27,53,2,2012,1,20477,1960,4816
27,54,1,2012,1,65482,6802,7691
27,54,2,2012,1,62659,6409,4760
27,55,1,2012,1,35832,3061,12850
27,55,2,2012,1,37919,3063,6890
27,56,1,2012,1,73351,25808,3108
27,56,2,2012,1,53941,17142,2549
