geography,industry,sex,year,quarter,Emp,HirN,EarnS
29,00,1,2011,1,1191462,142226,4125
29,00,2,2011,1,1271645,134187,2573
29,11,1,2011,1,7313,1015,2435
29,11,2,2011,1,2737,396,1915
29,21,1,2011,1,3440,202,5846
29,21,2,2011,1,453,34,4223
29,22,1,2011,1,15041,267,6245
29,22,2,2011,1,4749,109,4317
29,23,1,2011,1,91849,13104,3748
29,23,2,2011,1,17134,1913,2797
29,31-33,1,2011,1,164956,11036,4401
29,31-33,2,2011,1,68643,4058,3161
29,42,1,2011,1,81871,6794,5325
29,42,2,2011,1,32903,2874,3677
29,44-45,1,2011,1,142795,16111,2542
29,44-45,2,2011,1,151333,15664,1625
29,48-49,1,2011,1,62765,6642,3440
29,48-49,2,2011,1,24498,1794,2462
29,51,1,2011,1,25630,1730,6779
29,51,2,2011,1,22572,1551,3823
29,52,1,2011,1,37793,4355,9368
29,52,2,2011,1,68811,5025,3919
29,53,1,2011,1,18419,1989,3458
29,53,2,2011,1,15713,1660,2438
29,54,1,2011,1,59506,6860,6625
29,54,2,2011,1,62493,7480,3740
29,55,1,2011,1,31661,1972,8901
29,55,2,2011,1,33785,2067,4471
29,56,1,2011,1,79576,25762,2835
29,56,2,2011,1,61175,17164,2173
29,61,1,2011,1,67458,3714,3303
29,61,2,2011,1,163384,6719,2630
29,62,1,2011,1,81001,7755,5202
29,62,2,2011,1,308261,29530,2670
29,71,1,2011,1,24139,2610,2899
29,71,2,2011,1,20635,2337,1656
29,72,1,2011,1,100427,21441,1449
29,72,2,2011,1,121119,23740,1129
29,81,1,2011,1,39198,5781,2647
29,81,2,2011,1,47877,8228,1556
29,92,1,2011,1,56623,3087,3191
29,92,2,2011,1,43370,1845,2500
29,00,1,2011,3,1245506,200048,4240
29,00,2,2011,3,1268030,192373,2676
29,11,1,2011,3,8652,2006,2776
29,11,2,2011,3,3314,890,2137
29,21,1,2011,3,3700,332,5599
29,21,2,2011,3,514,47,4161
29,22,1,2011,3,15194,281,6202
29,22,2,2011,3,4943,140,4273
29,23,1,2011,3,107075,23178,4423
29,23,2,2011,3,19100,2855,2999
29,31-33,1,2011,3,168311,14003,4502
29,31-33,2,2011,3,69546,5156,3262
29,42,1,2011,3,84277,7672,5276
29,42,2,2011,3,33671,3392,3730
29,44-45,1,2011,3,146586,24334,2739
29,44-45,2,2011,3,152231,28452,1792
29,48-49,1,2011,3,63946,8857,3790
29,48-49,2,2011,3,23283,2637,2586
29,51,1,2011,3,25724,2274,6401
29,51,2,2011,3,22856,2124,3773
29,52,1,2011,3,40268,4138,7078
29,52,2,2011,3,71174,5661,3657
29,53,1,2011,3,19924,4067,3531
29,53,2,2011,3,16287,2560,2664
29,54,1,2011,3,60753,6574,6738
29,54,2,2011,3,61687,6413,3987
29,55,1,2011,3,32173,2423,7282
29,55,2,2011,3,33502,2516,4254
29,56,1,2011,3,88102,34494,3184
29,56,2,2011,3,63325,23084,2456
29,61,1,2011,3,56207,6763,3315
29,61,2,2011,3,125818,12354,2217
29,62,1,2011,3,81821,10009,6118
29,62,2,2011,3,309857,38839,3019
29,71,1,2011,3,34121,5465,3275
29,71,2,2011,3,29109,4661,1787
29,72,1,2011,3,108205,32528,1618
29,72,2,2011,3,131415,38863,1293
29,81,1,2011,3,41689,7350,2937
29,81,2,2011,3,50599,9042,1678
29,92,1,2011,3,58777,3299,3326
29,92,2,2011,3,45800,2687,2579
29,00,1,2012,1,1209076,156486,4435
29,00,2,2012,1,1279456,151812,2747
29,11,1,2012,1,7726,1343,2605
29,11,2,2012,1,2851,455,2046
29,21,1,2012,1,3428,240,6014
29,21,2,2012,1,464,52,4403
29,22,1,2012,1,14784,296,6568
29,22,2,2012,1,4643,146,4533
29,23,1,2012,1,94299,15036,4067
29,23,2,2012,1,17366,2163,2958
29,31-33,1,2012,1,163950,12331,4632
29,31-33,2,2012,1,66627,4441,3331
29,42,1,2012,1,82933,6895,5638
29,42,2,2012,1,33646,3058,4006
29,44-45,1,2012,1,144464,17099,2761
29,44-45,2,2012,1,152499,17449,1758
29,48-49,1,2012,1,64062,8868,3659
29,48-49,2,2012,1,24466,2169,2636
29,51,1,2012,1,25327,1881,7524
29,51,2,2012,1,22431,1716,4180
29,52,1,2012,1,41512,3906,10532
29,52,2,2012,1,72268,6364,4309
29,53,1,2012,1,18690,2188,3810
29,53,2,2012,1,15498,1802,2634
29,54,1,2012,1,62790,7388,7003
29,54,2,2012,1,64337,7645,3979
29,55,1,2012,1,31032,2056,8996
29,55,2,2012,1,32389,1980,4526
29,56,1,2012,1,80115,27553,3040
29,56,2,2012,1,61495,18358,2322
29,61,1,2012,1,68627,4122,3439
29,61,2,2012,1,163889,7671,2723
29,62,1,2012,1,82190,8750,5607
29,62,2,2012,1,308590,35375,2874
29,71,1,2012,1,25719,3414,3831
29,71,2,2012,1,21220,2904,1954
29,72,1,2012,1,102140,24906,1538
29,72,2,2012,1,122035,27583,1217
29,81,1,2012,1,39887,5961,2853
29,81,2,2012,1,49435,8485,1632
29,92,1,2012,1,55403,2254,3309
29,92,2,2012,1,43304,1996,2571
29,00,1,2012,3,1258142,193166,4174
29,00,2,2012,3,1277410,191398,2647
29,11,1,2012,3,8990,2300,2714
29,11,2,2012,3,3583,936,2074
29,21,1,2012,3,3659,195,4607
29,21,2,2012,3,511,38,3683
29,22,1,2012,3,15057,393,6057
29,22,2,2012,3,4885,170,4338
29,23,1,2012,3,105422,21226,4300
29,23,2,2012,3,19042,2745,2969
29,31-33,1,2012,3,165372,13725,4220
29,31-33,2,2012,3,66657,4979,3118
29,42,1,2012,3,85499,7766,5189
29,42,2,2012,3,34230,3348,3738
29,44-45,1,2012,3,147361,23209,2716
29,44-45,2,2012,3,152392,27467,1783
29,48-49,1,2012,3,66298,8885,3718
29,48-49,2,2012,3,23462,2768,2575
29,51,1,2012,3,25679,2476,6448
29,51,2,2012,3,22706,2172,3729
29,52,1,2012,3,41427,4553,7388
29,52,2,2012,3,71034,7621,3732
29,53,1,2012,3,19836,2805,3566
29,53,2,2012,3,16448,2481,2660
29,54,1,2012,3,64926,7224,6577
29,54,2,2012,3,64414,6924,3963
29,55,1,2012,3,31300,2306,7066
29,55,2,2012,3,32495,2333,4210
29,56,1,2012,3,87902,32914,3031
29,56,2,2012,3,63556,22733,2326
29,61,1,2012,3,56427,6609,3350
29,61,2,2012,3,125258,12745,2223
29,62,1,2012,3,84593,10026,6097
29,62,2,2012,3,315640,38607,2971
29,71,1,2012,3,36033,4854,4004
29,71,2,2012,3,29796,4337,1887
29,72,1,2012,3,110593,32295,1596
29,72,2,2012,3,132780,37426,1279
29,81,1,2012,3,42034,6629,2880
29,81,2,2012,3,51766,9064,1640
29,92,1,2012,3,59735,2775,3288
29,92,2,2012,3,46755,2504,2600
29,00,1,2013,1,1221665,153768,4392
29,00,2,2013,1,1294437,146786,2787
29,11,1,2013,1,7852,1204,2650
29,11,2,2013,1,2902,435,2050
29,21,1,2013,1,3376,166,5793
29,21,2,2013,1,467,29,4530
29,22,1,2013,1,14714,293,6709
29,22,2,2013,1,4639,151,4699
29,23,1,2013,1,95040,14647,4040
29,23,2,2013,1,17635,2153,3010
29,31-33,1,2013,1,163744,11511,4488
29,31-33,2,2013,1,65839,4400,3324
29,42,1,2013,1,84312,7086,5654
29,42,2,2013,1,34070,3152,4088
29,44-45,1,2013,1,144792,17497,2762
29,44-45,2,2013,1,151623,17211,1773
29,48-49,1,2013,1,65806,7335,3677
29,48-49,2,2013,1,24973,2098,2642
29,51,1,2013,1,24926,2147,7349
29,51,2,2013,1,21962,1801,4288
29,52,1,2013,1,41413,3617,10293
29,52,2,2013,1,71155,5821,4370
29,53,1,2013,1,18243,2125,3877
29,53,2,2013,1,15721,1819,2709
29,54,1,2013,1,65707,7629,6700
29,54,2,2013,1,67075,8216,4054
29,55,1,2013,1,31757,2170,9018
29,55,2,2013,1,33402,2061,4800
29,56,1,2013,1,80052,27635,3004
29,56,2,2013,1,62233,17816,2302
29,61,1,2013,1,69291,4076,3456
29,61,2,2013,1,163806,7183,2765
29,62,1,2013,1,87036,8893,5476
29,62,2,2013,1,329664,35724,2848
29,71,1,2013,1,25989,3292,3977
29,71,2,2013,1,21801,2919,2024
